ELD: WisdomTree Emerging Markets Local Debt Fund
Inception Date: 2010-08-09
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	128638
Shares Outstanding: 3700000
Expense Ratio: 0.55%
Tracks This Index: n/a
ETFdb.com Category: Emerging Markets Bonds
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ELD


Holding,Symbol,Weighting
U.S. Dollar,Other,3.46%
Government of Poland 2.5% 25-JUL-2027,Other,2.11%
Government of Poland 2.5% 25-JUL-2026,Other,2.02%
Government of Brazil 10.0% 01-JAN-2023,Other,1.92%
International Finance Corporation 7.5% 18-JAN-2028,Other,1.65%
Government of Colombia 10.0% 24-JUL-2024,Other,1.64%
European Investment Bank 7.5% 30-JUL-2023,Other,1.63%
Government of Brazil 0.0% 01-JUL-2023,Other,1.61%
International Finance Corporation 5.75% 02-MAR-2023,Other,1.61%
Government of Indonesia 8.375% 15-SEP-2026,Other,1.5%
Government of Indonesia 6.5% 15-JUN-2025,Other,1.49%
European Investment Bank 8.0% 05-MAY-2027,Other,1.46%
Government of Peru 6.95% 12-AUG-2031,Other,1.4%
Government of Russia 6.5% 28-FEB-2024,Other,1.34%
Government of Colombia 6.0% 28-APR-2028,Other,1.32%
Government of the Philippines 6.25% 14-JAN-2036,Other,1.27%
Government of India 7.88% 19-MAR-2030,Other,1.22%
Government of Mexico 8.5% 18-NOV-2038,Other,1.22%
Government of Indonesia 7.0% 15-SEP-2030,Other,1.22%
Government of India 9.2% 30-SEP-2030,Other,1.2%
Government of India 7.59% 20-MAR-2029,Other,1.2%
Government of Brazil 10.0% 01-JAN-2027,Other,1.2%
Government of Colombia 7.0% 30-JUN-2032,Other,1.16%
Government of Russia 7.05% 19-JAN-2028,Other,1.15%
TREASURY ISSUES (LONG-TERM),Other,1.13%
Government of Brazil 10.0% 01-JAN-2029,Other,1.13%
Government of Brazil 10.0% 01-JAN-2025,Other,1.1%
Government of Peru 6.9% 12-AUG-2037,Other,1.05%
Government of Indonesia 8.375% 15-MAR-2034,Other,1.05%
Russia Ministry of Finance 7.4% 17-JUL-2024,Other,1.04%
Government of Indonesia 6.125% 15-MAY-2028,Other,1.03%
Government of Peru 8.2% 12-AUG-2026,Other,1.02%
Government of Colombia 7.75% 18-SEP-2030,Other,1.02%
Government of Indonesia 8.375% 15-MAR-2024,Other,1.02%
Government of Russia 7.7% 23-MAR-2033,Other,1.01%
Government of Mexico 5.75% 05-MAR-2026,Other,1.0%
Government of Indonesia 9.0% 15-MAR-2029,Other,1.0%
Government of Colombia 7.5% 26-AUG-2026,Other,0.99%
Government of China 3.25% 22-NOV-2028,Other,0.97%
Government of China 3.29% 23-MAY-2029,Other,0.97%
Government of China 3.12% 05-DEC-2026,Other,0.97%
Government of Indonesia 8.25% 15-MAY-2036,Other,0.96%
Government of Malaysia 3.899% 16-NOV-2027,Other,0.95%
Government of Mexico 7.75% 29-MAY-2031,Other,0.94%
Government of Mexico 8.0% 07-NOV-2047,Other,0.94%
Government of Hungary 3.0% 27-OCT-2027,Other,0.94%
Government of Romania 3.5% 19-DEC-2022,Other,0.91%
Government of Indonesia 8.75% 15-MAY-2031,Other,0.91%
Government of South Africa 8.75% 28-FEB-2048,Other,0.89%
Government of India 8.4% 28-JUL-2024,Other,0.89%
Government of Mexico 7.75% 13-NOV-2042,Other,0.88%
Government of Russia 7.1% 16-OCT-2024,Other,0.86%
Government of South Africa 8.75% 31-JAN-2045,Other,0.85%
Government of Turkey 12.2% 18-JAN-2023,Other,0.83%
Government of Brazil 0.0% 01-JAN-2024,Other,0.78%
Government of Russia 7.25% 10-MAY-2034,Other,0.77%
International Bank for Reconstruction & Development 8.25% 21-DEC-2026,Other,0.77%
Government of Russia 7.0% 16-AUG-2023,Other,0.76%
Government of Indonesia 8.25% 15-JUN-2032,Other,0.75%
Government of China 3.22% 06-DEC-2025,Other,0.75%
Government of South Africa 8.0% 31-JAN-2030,Other,0.74%
Government of Romania 5.85% 26-APR-2023,Other,0.74%
Government of Brazil 0.0% 01-JUL-2022,Other,0.74%
Government of China 3.25% 06-JUN-2026,Other,0.71%
Government of Russia 7.75% 16-SEP-2026,Other,0.69%
Government of Romania 5.8% 26-JUL-2027,Other,0.68%
Government of Indonesia 8.375% 15-APR-2039,Other,0.67%
Government of Russia 8.5% 17-SEP-2031,Other,0.66%
Government of South Africa 9.0% 31-JAN-2040,Other,0.66%
Government of South Africa 6.25% 31-MAR-2036,Other,0.64%
Government of Russia 6.9% 23-MAY-2029,Other,0.63%
Government of Colombia 7.0% 04-MAY-2022,Other,0.62%
Government of Malaysia 3.955% 15-SEP-2025,Other,0.61%
Government of Hungary 3.0% 26-JUN-2024,Other,0.61%
Government of South Africa 7.0% 28-FEB-2031,Other,0.61%
