EMIF: iShares Emerging Markets Infrastructure ETF
Inception Date: 2009-06-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	16018
Shares Outstanding: 650000
Expense Ratio: 0.75%
Tracks This Index: S&P Emerging Markets Infrastructure Index
ETFdb.com Category: Emerging Markets Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EMIF


Holding,Symbol,Weighting
Airports of Thailand Public Co. Ltd. NVDR,AOT.R,9.35%
Ultrapar Participacoes S.A. Sponsored ADR,UGP,6.84%
Grupo Aeroportuario del Pacifico SAB de CV Sponsored ADR Class B,PAC,6.4%
China Gas Holdings Limited,384,6.31%
Transneft PJSC Pref.,TRNFP,5.71%
Tenaga Nasional Bhd,5347,5.63%
Korea Electric Power Corporation Sponsored ADR,KEP,4.92%
Grupo Aeroportuario del Sureste SA de CV Sponsored ADR Class B,ASR,4.78%
CCR S.A.,CCRO3,4.18%
Guangdong Investment Limited,270,4.05%
Enel Americas S.A. Sponsored ADR,ENIA,3.61%
China Resources Gas Group Limited,1193,3.52%
Grupo Aeroportuario del Centro Norte SAB de CV Sponsored ADR Class B,OMAB,3.23%
KunLun Energy Co. Ltd.,135,2.69%
China Oilfield Services Limited Class H,2883,2.64%
Shenzhen International Holdings Limited,152,2.62%
"China Merchants Port Holdings Co., Ltd.",144,2.37%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP Sponsored ADR,SBS,2.29%
"Beijing Capital International Airport Co., Ltd. Class H",694,2.27%
Jiangsu Expressway Co. Ltd. Class H,177,2.0%
Centrais Eletricas Brasileiras SA-Eletrobras Sponsored ADR,EBR,1.97%
Zhejiang Expressway Co. Ltd. Class H,576,1.76%
"CGN Power Co., Ltd. Class H",1816,1.71%
COSCO SHIPPING Ports Limited,1199,1.67%
Beijing Enterprises Water Group Limited,371,1.6%
China Resources Power Holdings Co. Ltd.,836,1.49%
SK Discovery Co. Ltd.,006120,1.34%
Hainan Meilan International Airport Company Limited Class H,357,1.03%
China Suntien Green Energy Corporation Limited Class H,956,1.02%
"COSCO SHIPPING Energy Transportation Co., Ltd. Class H",1138,0.89%
BlackRock Cash Funds Prime SL Agency Shares,TBBYL4.F,0.06%
U.S. Dollar,Other,0.02%
