ENFR: Alerian Energy Infrastructure ETF
Inception Date: 2013-10-31
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	43188
Shares Outstanding: 2950000
Expense Ratio: 0.65%
Tracks This Index: Alerian Energy Infrastructure Index
ETFdb.com Category: Energy Equities
Issuer: ALPS
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ENFR


Holding,Symbol,Weighting
Enbridge Inc.,ENB,10.19%
Enterprise Products Partners L.P.,EPD,9.24%
TC Energy Corporation,TRP,8.2%
Kinder Morgan Inc Class P,KMI,5.42%
"Cheniere Energy, Inc.",LNG,5.22%
Targa Resources Corp.,TRGP,5.07%
Plains GP Holdings LP Class A,PAGP,5.07%
"Williams Companies, Inc.",WMB,5.02%
"ONEOK, Inc.",OKE,4.89%
"Energy Transfer, L.P.",ET,4.87%
Pembina Pipeline Corporation,PPL,4.8%
Inter Pipeline Ltd.,IPL,4.17%
Keyera Corp.,KEY,4.06%
"Magellan Midstream Partners, L.P.",MMP,3.31%
Equitrans Midstream Corp.,ETRN,3.28%
MPLX LP,MPLX,2.94%
Macquarie Infrastructure Corporation,MIC,2.89%
Antero Midstream Corp.,AM,2.5%
Gibson Energy Inc.,GEI,2.44%
Western Midstream Partners LP,WES,1.03%
EnLink Midstream LLC,ENLC,1.0%
Phillips 66 Partners LP,PSXP,0.68%
NuStar Energy L.P.,NS,0.51%
Shell Midstream Partners LP,SHLX,0.45%
Rattler Midstream LP,RTLR,0.43%
Crestwood Equity Partners LP,CEQP,0.33%
Hess Midstream LP Class A,HESM,0.33%
Tellurian Inc.,TELL,0.28%
"Genesis Energy, L.P.",GEL,0.24%
"Holly Energy Partners, L.P.",HEP,0.23%
BP Midstream Partners LP,BPMP,0.18%
Enable Midstream Partners LP,ENBL,0.16%
U.S. Dollar,Other,0.14%
Noble Midstream Partners LP,NBLX,0.13%
PBF Logistics LP,PBFX,0.11%
NGL Energy Partners LP,NGL,0.1%
Delek Logistics Partners LP,DKL,0.1%
STATE STR INSTL INVT TR TREA PLUS INST,TPIXX,0.01%
