ENTR: Entrepreneur 30 Fund
Inception Date: 2017-11-08
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	150708
Shares Outstanding: 5750000
Expense Ratio: 0.49%
Tracks This Index: Entrepreneur 30 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: EntrepreneurShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ENTR


Holding,Symbol,Weighting
"Square, Inc. Class A",SQ,5.95%
"Roku, Inc. Class A",ROKU,5.41%
Twist Bioscience Corp.,TWST,5.38%
"Teladoc Health, Inc.",TDOC,4.68%
CRISPR Therapeutics AG,CRSP,4.27%
Invitae Corp.,NVTA,3.83%
"Amazon.com, Inc.",AMZN,3.75%
"Zillow Group, Inc. Class A",ZG,3.69%
"Twilio, Inc. Class A",TWLO,3.51%
Alphabet Inc. Class A,GOOGL,3.49%
NVIDIA Corporation,NVDA,3.47%
"Twitter, Inc.",TWTR,3.27%
"Netflix, Inc.",NFLX,3.05%
"Okta, Inc. Class A",OKTA,2.74%
10x Genomics Inc Class A,TXG,2.73%
Veeva Systems Inc Class A,VEEV,2.73%
"Synopsys, Inc.",SNPS,2.72%
Masimo Corporation,MASI,2.65%
"Trade Desk, Inc. Class A",TTD,2.61%
Tesla Inc,TSLA,2.61%
"RingCentral, Inc. Class A",RNG,2.58%
"Facebook, Inc. Class A",FB,2.57%
ResMed Inc.,RMD,2.5%
"CrowdStrike Holdings, Inc. Class A",CRWD,2.44%
"Seagen, Inc.",SGEN,2.31%
"Copart, Inc.",CPRT,2.3%
Datadog Inc Class A,DDOG,2.27%
"Zoom Video Communications, Inc. Class A",ZM,2.19%
Spotify Technology SA,SPOT,2.08%
"Wayfair, Inc. Class A",W,2.03%
Veracyte Inc,VCYT,1.9%
Exact Sciences Corporation,EXAS,1.73%
U.S. Dollar,Other,0.55%
