EPRF: Innovator S&P High Quality Preferred ETF
Inception Date: 2016-05-24
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	172883
Shares Outstanding: 7000000
Expense Ratio: 0.47%
Tracks This Index:  S&P U.S. High Quality Preferred Stock Index
ETFdb.com Category: Preferred Stock/Convertible Bonds
Issuer: Innovator Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EPRF


Holding,Symbol,Weighting
PPL Capital Funding Inc 5.9 % Notes 2013-30.4.73 Gtd Jr Subord Ser B,PPX,2.68%
Highland Income Fund 5.375 % Cum Red Pfd Registered Shs Series A,HFRO.PRA,2.68%
Brookfield Infrastructure Partners LP 5.125 % Cum Red Pfd Partnership Units A Series -13-,BIP.PRA,2.65%
Gabelli Equity Trust Inc 5 % Cum Red Perp Pfd Registered Shs Series K,GAB.PRK,2.64%
Northern Trust Corporation Depositary Shs Repr 1/1000 Non-Cum Red Perp Pfd Registered Shs Ser E,NTRSO,2.63%
Aegon NV Floating Rate Perpetual Capital Security 2005 Without fixed maturity,AEB,2.63%
Brookfield Renewable Partners LP 5.25 % Cum Conv Red Perp Pfd Partnership Units A -Series 17-,BEP.PRA,2.62%
Wells Fargo & Company Deposit Shs Repr 1/1000th 5 1/8 % Non-Cum Perp Pfd Shs A Series 0,WFC.PRO,2.62%
American International Group Inc Depositary Shs Repr 1/1000th 5.85 % Non-Cum Red Perp Pfd Rg Shs Ser A,AIG.PRA,2.61%
Axis Capital Holdings Ltd Deposit Shs Repr 1/100th 5.50 % Non-Cum Pfd Shs Series E,AXS.PRE,2.59%
First Citizens Bancshares Inc Non-Cum Red Perp Pfd Registered Shs Series A,FCNCP,2.58%
Ares Management Corporation 7 % Non-Cum Pfd Registered Shs Series A,ARES.PRA,2.57%
"PNC Financial Services Group, Inc. Deposit Shs Repr 1/4000th Non-Cum Perp Pfd Shs Series P",PNC.PRP,2.57%
National Retail Properties Inc Deposit Shs Repr 1/100th 5.20 % Cum Red Pfd Registered Shs Series F,NNN.PRF,2.54%
Alabama Power Company 5 % Cum Pfd Registered Shs A,ALP.PRQ,2.54%
Federal Realty Investment Trust Deposit Shs Repr 1/1000th 5 % Cum Perp Red Pfd Registered Sh Series C,FRT.PRC,2.48%
Prudential PLC 6 3/4 % Cap Secs 2004-Without Fixed Maturity,PUK.PR,1.4%
Prudential PLC 6 1/2 % Exchg Perp Subordinated Cap Secs 2005-Without Fixed Maturity,PUK.PRA,1.38%
Hartford Financial Services Group Inc Depositary Shs Repr 1/1000th 6 % Non-Cum Red Pfd Registered Shs Series G,HIG.PRG,1.36%
First Republic Bank Depositary Shs Repr 1/40th 4.125 % Non-Cum Red Perp Pfd Shs Series K,FRC.PRK,1.35%
RenaissanceRe Holdings Ltd. Deposit Shs Repr 1/1000th Non-Cum Red Perp Pfd Shs Series F,RNR.PRF,1.34%
State Street Corp Deposit Shs Repr 1/4000th Non Cum Perp Pfd Shs Series G,STT.PRG,1.34%
Duke Energy Corp 5 1/8 % Debs 2013-15.1.73 Jr Subord,DUKH,1.34%
Apollo Global Management Inc. 6.375 % Non Cum Red Pfd Registered Shs Series A,APO.PRA,1.34%
Duke Energy Corp Depositary Shs Repr 1/1000th Cum Red Perp Pfd Registered Sh Series A,DUK.PRA,1.33%
Oaktree Capital Group LLC 6.550 % Non-Cum Red Pfd Units Series B,OAK.PRB,1.31%
Arch Capital Group Ltd Deposit Repr 1/1000th Non-Cum Pfd Series E,ACGLP,1.31%
Kimco Realty Corp Deposit Shs Repr 1/1000th 5.25% Cum Red Pfd Registered Shs M,KIM.PRM,1.31%
State Street Corp Deposit Shs Repr 1/4000th Non-Cum Perp Pfd Shs Series D,STT.PRD,1.3%
Kimco Realty Corp Deposit Shs Repr 1/1000th 5.125 % Cum Red Pfd Registered Shs Ser L,KIM.PRL,1.3%
Oaktree Capital Group LLC Non Cum Red Perp Pfd Registered Units Series A,OAK.PRA,1.3%
Arch Capital Group Ltd. Deposit Shs Repr 1/1000th 5.45 % Non-Cum Pfd Shs Series F,ACGLO,1.3%
Apollo Global Management Inc. 6.375 % Non-Cum Red Perp Pfd Registered Shs Series B,APO.PRB,1.3%
Charles Schwab Corp Deposit Shs Repr 1/40th % Non-Cum Pfd Shs Series D,SCHW.PRD,1.3%
First Republic Bank Depositary Shs Repr 1/40th Non-Cum Red Perp Pfd Shs Series J,FRC.PRJ,1.29%
Charles Schwab Corp Deposit Shs Repr 1/40th 6 % Non-Cum Pfd Shs Series C,SCHW.PRC,1.28%
PartnerRe Ltd 5 7/8 % Non-Cum Red Pfd Shs Series I,PRE.PRI,1.28%
RenaissanceRe Holdings Ltd. 5.375 % Pref Series E,RNR.PRE,1.28%
