ERUS: iShares MSCI Russia ETF
Inception Date: 2010-11-09
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	472673
Shares Outstanding: 12500000
Expense Ratio: 0.59%
Tracks This Index: MSCI Russia 25/50 Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ERUS


Holding,Symbol,Weighting
Sberbank Russia PJSC,SBER,14.41%
Gazprom PJSC,GAZP,13.52%
Oil company LUKOIL PJSC,LKOH,11.45%
Yandex NV Class A,YNDX,7.16%
MMC Norilsk Nickel PJSC,GMKN,4.92%
TATNEFT PJSC,TATN,4.27%
NOVATEK JSC Sponsored GDR RegS,NVTK,4.11%
Polyus PJSC,PLZL,3.77%
Magnit PJSC Sponsored GDR RegS,MGNT,3.71%
Polymetal International Plc,POLY,3.19%
X5 Retail Group N.V. Sponsored GDR RegS,FIVE,2.8%
Severstal PAO,CHMF,2.69%
Rosneft Oil Co.,ROSN,2.69%
ALROSA PJSC,ALRS,2.64%
Mobile TeleSystems PJSC Sponsored ADR,MBT,2.54%
Novolipetsk Steel,NLMK,2.49%
Surgutneftegas PJSC Pfd,SNGSP,2.34%
Moscow Exchange MICEX-RTS PJSC,MOEX,2.15%
Surgutneftegas PJSC,SNGS,2.09%
Mail.ru Group Ltd. Sponsored GDR,MAIL,1.91%
Inter RAO UES PJSC,IRAO,1.9%
PhosAgro PJSC Sponsored GDR RegS,PHOR,1.63%
VTB Bank PJSC,VTBR,0.88%
Rosneft Oil Co. Sponsored GDR RegS,ROSN,0.44%
MUTUAL FUND (OTHER),Other,0.38%
U.S. Dollar,Other,-0.08%
