ESGA: American Century Sustainable Equity ETF
Inception Date: 2020-07-13
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	109864
Shares Outstanding: 2330000
Expense Ratio: 0.39%
Tracks This Index: n/a
ETFdb.com Category: Large Cap Growth Equities
Issuer: American Century Investments
Structure: 
ETF Home Page: https://etfdb.com/etf/ESGA


Holding,Symbol,Weighting
Cash Component,CASH,4.7994%
PayPal Holdings Inc,PYPL,2.0308%
Prologis Inc,PLD,2.0092%
NVIDIA Corp,NVDA,2.0086%
Apple Inc,AAPL,2.0034%
Home Depot Inc,HD,2.0017%
Mastercard Inc,MA,1.9947%
Facebook Inc,FB,1.9879%
Visa Inc,V,1.9877%
Adobe Inc,ADBE,1.974%
Microsoft Corp,MSFT,1.9673%
Procter & Gamble Co,PG,1.9543%
Nextera Energy Inc,NEE,1.9483%
Thermo Fisher Scientific Inc,TMO,1.8552%
Alphabet Inc,GOOG,1.7433%
Alphabet Inc,GOOGL,1.7394%
S&P Global Inc,SPGI,1.6942%
Nike Inc,NKE,1.5891%
UnitedHealth Group Inc,UNH,1.5878%
PepsiCo Inc,PEP,1.4972%
Amazon.com Inc,AMZN,1.4925%
Accenture PLC,ACN,1.4889%
Salesforce.Com Inc,CRM,1.468%
Morgan Stanley,MS,1.4461%
Amgen Inc,AMGN,1.3552%
Union Pacific Corp,UNP,1.2637%
Cisco Systems Inc,CSCO,1.2606%
Walt Disney Co,DIS,1.22%
Activision Blizzard Inc,ATVI,1.2076%
Bank of America Corp,BAC,1.1563%
ASML Holding NV,ASML,1.1537%
JPMorgan Chase & Co,JPM,1.1313%
Verizon Communications Inc,VZ,1.1105%
Lockheed Martin Corp,LMT,1.107%
Abbvie Inc,ABBV,1.0928%
Merck & Co Inc,MRK,1.0883%
BlackRock Inc,BLK,1.0532%
Bristol-Myers Squibb Co,BMY,1.0092%
Broadcom Inc,AVGO,0.9508%
Honeywell International Inc,HON,0.9369%
Mondelez International Inc,MDLZ,0.9248%
Applied Materials Inc,AMAT,0.9201%
Texas Instruments Inc,TXN,0.9066%
Vertex Pharmaceuticals Inc,VRTX,0.898%
TJX Companies Inc,TJX,0.8611%
Edwards Lifesciences Corp,EW,0.8362%
Intercontinental Exchange Inc,ICE,0.8236%
Medtronic PLC,MDT,0.8041%
ConocoPhillips,COP,0.7549%
SBA Communications Corp,SBAC,0.7448%
Berkshire Hathaway Inc,BRK.B,0.6991%
IHS Markit Ltd,INFO,0.6981%
Comcast Corp,CMCSA,0.6688%
Norfolk Southern Corp,NSC,0.6657%
CVS Health Corp,CVS,0.6554%
Eaton Corporation PLC,ETN,0.6483%
Masco Corp,MAS,0.6392%
Parker-Hannifin Corp,PH,0.6237%
Cummins Inc,CMI,0.6062%
Johnson Controls International PLC,JCI,0.6026%
Cadence Design Systems Inc,CDNS,0.6024%
Chipotle Mexican Grill Inc,CMG,0.5988%
Agilent Technologies Inc,A,0.5945%
Expedia Group Inc,EXPE,0.588%
Netflix Inc,NFLX,0.5855%
ServiceNow Inc,NOW,0.579%
Aptiv PLC,APTV,0.5671%
Synopsys Inc,SNPS,0.5542%
Intuit Inc,INTU,0.5376%
HP Inc,HPQ,0.5118%
Estee Lauder Companies Inc,EL,0.5097%
Cigna Corp,CI,0.5069%
Colgate-Palmolive Co,CL,0.5064%
Citigroup Inc,C,0.5033%
Sherwin-Williams Co,SHW,0.5024%
Autodesk Inc,ADSK,0.4974%
Advanced Micro Devices Inc,AMD,0.4851%
Humana Inc,HUM,0.4764%
Ball Corp,BLL,0.4691%
Abbott Laboratories,ABT,0.4493%
Electronic Arts Inc,EA,0.4319%
Progressive Corp,PGR,0.4245%
Ecolab Inc,ECL,0.4217%
Costco Wholesale Corp,COST,0.4178%
Sysco Corp,SYY,0.4064%
Intel Corp,INTC,0.4009%
American Express Co,AXP,0.3943%
Baxter International Inc,BAX,0.3941%
Expeditors International of Washington Inc,EXPD,0.3914%
ANSYS Inc,ANSS,0.3791%
Marsh & McLennan Companies Inc,MMC,0.3789%
Target Corp,TGT,0.3724%
Phillips 66,PSX,0.3715%
Cognex Corp,CGNX,0.3545%
Fidelity National Information Services Inc,FIS,0.3531%
eBay Inc,EBAY,0.3498%
Zoetis Inc,ZTS,0.347%
NetApp Inc,NTAP,0.3445%
International Business Machines Corp,IBM,0.3444%
Hewlett Packard Enterprise Co,HPE,0.3183%
Keysight Technologies Inc,KEYS,0.3073%
Kraft Heinz Co,KHC,0.3019%
DexCom Inc,DXCM,0.2863%
Travelers Companies Inc,TRV,0.2804%
T-Mobile US Inc,TMUS,0.2694%
Prudential Financial Inc,PRU,0.2545%
Novo Nordisk A/S,NVO,0.2499%
Ameriprise Financial Inc,AMP,0.2498%
VF Corp,VFC,0.2314%
