ESHY: Xtrackers J.P. Morgan ESG USD High Yield Corporate Bond ETF
Inception Date: 2015-03-03
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	15839
Shares Outstanding: 750000
Expense Ratio: 0.2%
Tracks This Index: JPMorgan ESG DM Corporate High Yield USD Index
ETFdb.com Category: High Yield Bonds
Issuer: DWS
Structure: 
ETF Home Page: https://etfdb.com/etf/ESHY


Holding,Symbol,Weighting
Ford Motor Credit Company LLC 5.125% 16-JUN-2025,Other,1.39%
Altice France SA 7.375% 01-MAY-2026,Other,1.35%
"Hilton Domestic Operating Co., Inc. 5.75% 01-MAY-2028",Other,1.03%
Columbia/HCA Healthcare Corp. 7.69% 15-JUN-2025,Other,0.77%
Springleaf Finance Corporation 6.875% 15-MAR-2025,Other,0.75%
"Lumen Technologies, Inc. 6.75% 01-DEC-2023",Other,0.72%
MGM Growth Properties Operating Partnership LP 5.75% 01-FEB-2027,Other,0.72%
"CSC Holdings, LLC 5.75% 15-JAN-2030",Other,0.71%
Centene Corporation 4.625% 15-DEC-2029,Other,0.71%
CIT Group Inc. 5.0% 01-AUG-2023,Other,0.7%
Targa Resources Partners LP 6.5% 15-JUL-2027,Other,0.7%
CCO Holdings LLC 4.75% 01-MAR-2030,Other,0.69%
Prime Security Services Borrower LLC 5.25% 15-APR-2024,Other,0.69%
EQM Midstream Partners LP 4.75% 15-JUL-2023,Other,0.69%
"United Rentals (North America), Inc. 4.875% 15-JAN-2028",Other,0.69%
"Quebecor Media, Inc. 5.75% 15-JAN-2023",Other,0.69%
FMG Resources (August 2006) Pty Ltd. 5.125% 15-MAY-2024,Other,0.68%
UPC Holding BV 5.5% 15-JAN-2028,Other,0.68%
"American Axle & Manufacturing, Inc. 6.25% 01-APR-2025",Other,0.67%
Tenet Healthcare Corporation 4.875% 01-JAN-2026,Other,0.67%
"Community Health Systems, Inc. 8.625% 15-JAN-2024",Other,0.65%
Occidental Petroleum Corporation 2.9% 15-AUG-2024,Other,0.62%
"Freeport-McMoRan, Inc. 5.4% 14-NOV-2034",Other,0.6%
Newell Brands Inc 4.7% 01-APR-2026,Other,0.57%
Royal Caribbean Group 9.125% 15-JUN-2023,Other,0.56%
ARD Finance SA 7.25% 30-JUN-2027,Other,0.55%
Ball Corporation 4.875% 15-MAR-2026,Other,0.55%
Sirius XM Radio Inc. 5.0% 01-AUG-2027,Other,0.55%
"TransDigm, Inc. 6.25% 15-MAR-2026",Other,0.53%
H. J. Heinz Company 3.95% 15-JUL-2025,Other,0.53%
Crown Americas LLC 4.5% 15-JAN-2023,Other,0.52%
Apache Corporation 5.1% 01-SEP-2040,Other,0.52%
Ford Motor Company 4.346% 08-DEC-2026,Other,0.51%
Sprint Capital Corp. 8.75% 15-MAR-2032,Other,0.51%
