ESML: iShares ESG MSCI USA Small-Cap ETF
Inception Date: 2018-04-10
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	511727
Shares Outstanding: 15000000
Expense Ratio: 0.17%
Tracks This Index: MSCI USA Small Cap Extended ESG Focus Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ESML


Holding,Symbol,Weighting
Plug Power Inc.,PLUG,0.37%
Caesars Entertainment Inc,CZR,0.33%
"Penn National Gaming, Inc.",PENN,0.33%
"Cree, Inc.",CREE,0.33%
"Entegris, Inc.",ENTG,0.31%
"Bright Horizons Family Solutions, Inc.",BFAM,0.31%
"Quanta Services, Inc.",PWR,0.31%
Toro Company,TTC,0.31%
"Five9, Inc.",FIVN,0.3%
Comerica Incorporated,CMA,0.3%
"Zions Bancorporation, N.A.",ZION,0.29%
"Nuance Communications, Inc.",NUAN,0.29%
"Aptargroup, Inc.",ATR,0.28%
"Trex Company, Inc.",TREX,0.27%
Bio-Techne Corporation,TECH,0.27%
Kilroy Realty Corporation,KRC,0.26%
Encompass Health Corporation,EHC,0.26%
Graco Inc.,GGG,0.26%
Repligen Corporation,RGEN,0.26%
"Amedisys, Inc.",AMED,0.26%
Carlisle Companies Incorporated,CSL,0.26%
Janus Henderson Group PLC,JHG,0.25%
National Instruments Corporation,NATI,0.25%
"Chegg, Inc.",CHGG,0.25%
"American Campus Communities, Inc.",ACC,0.25%
Darling Ingredients Inc.,DAR,0.25%
Deckers Outdoor Corporation,DECK,0.25%
AECOM,ACM,0.25%
WEX Inc.,WEX,0.25%
"IAA, Inc.",IAA,0.24%
"Five Below, Inc.",FIVE,0.24%
Universal Display Corporation,OLED,0.24%
"Ultragenyx Pharmaceutical, Inc.",RARE,0.24%
Ciena Corporation,CIEN,0.24%
Reliance Steel & Aluminum Co.,RS,0.24%
Flex Ltd.,FLEX,0.24%
"Williams-Sonoma, Inc.",WSM,0.23%
Paylocity Holding Corp.,PCTY,0.23%
Hubbell Incorporated Class B,HUBB,0.23%
"Badger Meter, Inc.",BMI,0.23%
LPL Financial Holdings Inc.,LPLA,0.22%
"First Solar, Inc.",FSLR,0.22%
"Aspen Technology, Inc.",AZPN,0.22%
Oshkosh Corp,OSK,0.22%
"Guardant Health, Inc.",GH,0.22%
Zynga Inc. Class A,ZNGA,0.22%
"BWX Technologies, Inc.",BWXT,0.22%
Elastic NV,ESTC,0.22%
"ITT, Inc.",ITT,0.22%
"EMCOR Group, Inc.",EME,0.22%
"Donaldson Company, Inc.",DCI,0.22%
Jones Lang LaSalle Incorporated,JLL,0.22%
"Dolby Laboratories, Inc. Class A",DLB,0.22%
"CyrusOne, Inc.",CONE,0.22%
MUTUAL FUND (OTHER),Other,0.21%
Ingredion Incorporated,INGR,0.21%
New York Times Company Class A,NYT,0.21%
"Woodward, Inc.",WWD,0.21%
"L Brands, Inc.",LB,0.21%
"BlackLine, Inc.",BL,0.21%
"Royal Gold, Inc.",RGLD,0.21%
"Tapestry, Inc.",TPR,0.21%
"SiteOne Landscape Supply, Inc.",SITE,0.21%
"Smartsheet, Inc. Class A",SMAR,0.21%
"Douglas Emmett, Inc",DEI,0.21%
"Cullen/Frost Bankers, Inc.",CFR,0.21%
"Life Storage, Inc.",LSI,0.2%
"Lumentum Holdings, Inc.",LITE,0.2%
Nielsen Holdings Plc,NLSN,0.2%
"Anaplan, Inc.",PLAN,0.2%
"Gaming and Leisure Properties, Inc.",GLPI,0.2%
Axon Enterprise Inc,AAXN,0.2%
"Tetra Tech, Inc.",TTEK,0.2%
"Charles River Laboratories International, Inc.",CRL,0.2%
PVH Corp.,PVH,0.2%
Terminix Global Holdings Inc,TMX,0.19%
STORE Capital Corporation,STOR,0.19%
Scotts Miracle-Gro Company Class A,SMG,0.19%
TCF Financial Corporation,TCF,0.19%
Freshpet Inc,FRPT,0.19%
First American Financial Corporation,FAF,0.19%
US Foods Holding Corp.,USFD,0.19%
"Boston Beer Company, Inc. Class A",SAM,0.19%
Western Alliance Bancorp,WAL,0.19%
"LHC Group, Inc.",LHCG,0.19%
"Lithia Motors, Inc. Class A",LAD,0.19%
Inphi Corporation,IPHI,0.19%
ACADIA Pharmaceuticals Inc.,ACAD,0.19%
Norwegian Cruise Line Holdings Ltd.,NCLH,0.19%
"Arrowhead Pharmaceuticals, Inc.",ARWR,0.19%
"Commerce Bancshares, Inc.",CBSH,0.19%
"People\'s United Financial, Inc.",PBCT,0.18%
"ONE Gas, Inc.",OGS,0.18%
Federal Realty Investment Trust,FRT,0.18%
"Diamondback Energy, Inc.",FANG,0.18%
CRISPR Therapeutics AG,CRSP,0.18%
Middleby Corporation,MIDD,0.18%
"Bill.com Holdings, Inc.",BILL,0.18%
"Affiliated Managers Group, Inc.",AMG,0.18%
Acceleron Pharma Inc,XLRN,0.18%
Fulton Financial Corporation,FULT,0.18%
NextEra Energy Partners LP,NEP,0.18%
"ACI Worldwide, Inc.",ACIW,0.18%
"Landstar System, Inc.",LSTR,0.18%
DXC Technology Co.,DXC,0.17%
CoreSite Realty Corporation,COR,0.17%
"PRA Health Sciences, Inc.",PRAH,0.17%
II-VI Incorporated,IIVI,0.17%
Helen of Troy Limited,HELE,0.17%
"Allison Transmission Holdings, Inc.",ALSN,0.17%
Service Corporation International,SCI,0.17%
"Novavax, Inc.",NVAX,0.17%
"Acuity Brands, Inc.",AYI,0.17%
"Floor & Decor Holdings, Inc. Class A",FND,0.17%
"Morningstar, Inc.",MORN,0.17%
Quidel Corporation,QDEL,0.17%
"Hill-Rom Holdings, Inc.",HRC,0.17%
Americold Realty Trust,COLD,0.17%
"Fastly, Inc. Class A",FSLY,0.17%
"iRhythm Technologies, Inc.",IRTC,0.17%
"Planet Fitness, Inc. Class A",PLNT,0.17%
"Proofpoint, Inc.",PFPT,0.17%
Avista Corporation,AVA,0.17%
First Horizon Corporation,FHN,0.17%
Curtiss-Wright Corporation,CW,0.17%
"FLIR Systems, Inc.",FLIR,0.17%
Mirati Therapeutics Inc.,MRTX,0.17%
Kimco Realty Corporation,KIM,0.17%
"Pinnacle Financial Partners, Inc.",PNFP,0.17%
RH,RH,0.16%
American Homes 4 Rent Class A,AMH,0.16%
