ESPO: VanEck Vectors Video Gaming and eSports ETF
Inception Date: 2018-10-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	720306
Shares Outstanding: 10300000
Expense Ratio: 0.55%
Tracks This Index: MVIS Global Video Gaming and eSports Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ESPO


Holding,Symbol,Weighting
NVIDIA Corporation,NVDA,7.75%
Tencent Holdings Ltd.,700,7.32%
"Advanced Micro Devices, Inc.",AMD,6.86%
"Nintendo Co., Ltd.",7974,6.54%
Sea Ltd. (Singapore) Sponsored ADR Class A,SE,6.13%
"Activision Blizzard, Inc.",ATVI,5.93%
"NetEase, Inc. Sponsored ADR",NTES,5.16%
"Bilibili, Inc. Sponsored ADR Class Z",BILI,5.07%
"Take-Two Interactive Software, Inc.",TTWO,4.89%
"NEXON Co., Ltd.",3659,4.68%
Electronic Arts Inc.,EA,4.66%
NCsoft Corporation,036570,4.56%
"Unity Software, Inc.",U,4.36%
BANDAI NAMCO Holdings Inc.,7832,4.15%
Zynga Inc. Class A,ZNGA,3.76%
Ubisoft Entertainment SA,UBI,2.84%
CD Projekt S.A.,CDR,2.3%
KONAMI HOLDINGS CORP,9766,1.93%
"Capcom Co., Ltd.",9697,1.9%
Embracer Group AB Class B,EMBRAC.B,1.82%
"Micro-Star International Co., Ltd.",2377,1.65%
Kingsoft Corp. Ltd.,3888,1.61%
"Square Enix Holdings Co., Ltd.",9684,1.57%
Netmarble Corp.,251270,1.38%
Stillfront Group AB,SF,1.19%
U.S. Dollar,Other,-0.01%
