EWA: iShares MSCI-Australia ETF
Inception Date: 1996-03-18
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1767190
Shares Outstanding: 73800000
Expense Ratio: 0.5%
Tracks This Index: MSCI Australia Index
ETFdb.com Category: Asia Pacific Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EWA


Holding,Symbol,Weighting
Commonwealth Bank of Australia,CBA,10.02%
CSL Limited,CSL,8.87%
BHP Group Ltd,BHP,8.62%
National Australia Bank Limited,NAB,5.13%
Westpac Banking Corporation,WBC,4.82%
Australia and New Zealand Banking Group Limited,ANZ,4.44%
Wesfarmers Limited,WES,3.94%
Woolworths Group Ltd,WOW,3.42%
Macquarie Group Limited,MQG,3.28%
Rio Tinto Limited,RIO,2.91%
Fortescue Metals Group Ltd,FMG,2.74%
Transurban Group Ltd.,TCL,2.58%
Goodman Group,GMG,2.16%
Afterpay Limited,APT,1.73%
Coles Group Ltd.,COL,1.67%
Woodside Petroleum Ltd,WPL,1.5%
Newcrest Mining Limited,NCM,1.45%
Xero Limited,XRO,1.23%
Aristocrat Leisure Limited,ALL,1.23%
James Hardie Industries PLC Chess Units of Foreign Securities,JHX,1.17%
Brambles Limited,BXB,1.1%
Sonic Healthcare Limited,SHL,1.0%
Scentre Group,SCG,0.99%
ASX Limited,ASX,0.96%
Cochlear Limited,COH,0.86%
QBE Insurance Group Limited,QBE,0.86%
Suncorp Group Limited,SUN,0.86%
Telstra Corporation Limited,TLS,0.85%
South32 Ltd.,S32,0.83%
Insurance Australia Group Limited,IAG,0.79%
APA Group,APA,0.78%
Ramsay Health Care Limited,RHC,0.78%
Santos Limited,STO,0.76%
Mirvac Group,MGR,0.72%
Dexus,DXS,0.71%
Stockland,SGP,0.69%
Seek Limited,SEK,0.66%
Northern Star Resources Ltd,NST,0.65%
Lendlease Group,LLC,0.62%
Bluescope Steel Limited,BSL,0.61%
GPT Group,GPT,0.6%
Origin Energy Limited,ORG,0.58%
Sydney Airport,SYD,0.58%
Tabcorp Holdings Limited,TAH,0.58%
Medibank Private Ltd.,MPL,0.57%
Evolution Mining Limited,EVN,0.56%
REA Group Ltd,REA,0.54%
Aurizon Holdings Ltd.,AZJ,0.51%
AGL Energy Limited,AGL,0.51%
Oil Search Limited,OSH,0.5%
EQUITY OTHER,Other,0.49%
Computershare Limited,CPU,0.49%
Magellan Financial Group Ltd,MFG,0.47%
Treasury Wine Estates Limited,TWE,0.47%
Coca-Cola Amatil Limited,CCL,0.45%
Vicinity Centres,VCX,0.43%
Orica Limited,ORI,0.42%
AMP Limited,AMP,0.37%
Qantas Airways Limited,QAN,0.31%
Wisetech Global Ltd.,WTC,0.31%
Crown Resorts Limited,CWN,0.25%
AusNet Services Limited,AST,0.23%
Washington H. Soul Pattinson and Co. Ltd.,SOL,0.22%
TPG Telecom Limited,TPG,0.19%
U.S. Dollar,Other,0.18%
CIMIC Group Limited,CIM,0.16%
BlackRock Cash Funds Treasury SL Agency Shares,Other,0.05%
