EWD: iShares MSCI Sweden ETF
Inception Date: 1996-03-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	397669
Shares Outstanding: 9900000
Expense Ratio: 0.55%
Tracks This Index: MSCI Sweden Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EWD


Holding,Symbol,Weighting
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,6.55%
Atlas Copco AB Class A,ATCO.A,6.49%
Volvo AB Class B,VOLV.B,6.34%
Investor AB Class B,INVE.B,6.27%
Nordea Bank Abp,NDA.SE,5.01%
Sandvik AB,SAND,4.91%
Hexagon AB Class B,HEXA.B,4.77%
ASSA ABLOY AB Class B,ASSA.B,4.67%
Essity AB Class B,ESSITY.B,3.62%
Atlas Copco AB Class B,ATCO.B,3.31%
H&M Hennes & Mauritz AB Class B,HM.B,3.29%
Skandinaviska Enskilda Banken AB Class A,SEB.A,3.27%
Swedbank AB Class A,SWED.A,3.11%
Svenska Handelsbanken AB Class A,SHB.A,3.07%
Swedish Match AB,SWMA,2.49%
Epiroc AB Class A,EPI.A,2.4%
Kinnevik AB Class B,KINV.B,2.33%
Evolution Gaming Group AB,EVO,2.32%
Telia Company AB,TELIA,2.03%
SKF AB Class B,SKF.B,2.0%
Boliden AB,BOL,1.96%
Skanska AB Class B,SKA.B,1.77%
Alfa Laval AB,ALFA,1.77%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,1.46%
NIBE Industrier AB Class B,NIBE.B,1.46%
Epiroc AB Class B,EPI.B,1.3%
Tele2 AB Class B,TEL2.B,1.28%
Husqvarna AB Class B,HUSQ.B,1.18%
Industrivarden AB Class C,INDU.C,1.11%
Electrolux AB Class B,ELUX.B,1.11%
Securitas AB Class B,SECU.B,1.07%
Lundin Energy AB,LUNE,1.06%
ICA Gruppen AB,ICA,1.02%
L E Lundbergforetagen AB Class B,LUND.B,0.83%
EQT AB,EQT,0.78%
Latour AB Investment Class B,LATO.B,0.69%
Industrivarden AB Class A,INDU.A,0.67%
Fastighets AB Balder Class B,BALD.B,0.59%
U.S. Dollar,Other,0.56%
MUTUAL FUND (OTHER),Other,0.07%
