EWP: iShares MSCI Spain ETF
Inception Date: 1996-03-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	535889
Shares Outstanding: 19725000
Expense Ratio: 0.5%
Tracks This Index: MSCI Spain Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EWP


Holding,Symbol,Weighting
Iberdrola SA,IBE,22.43%
Banco Santander S.A.,SAN,13.98%
"Industria de Diseno Textil, S.A.",ITX,9.09%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,5.11%
Repsol SA,REP,4.65%
Amadeus IT Group SA Class A,AMS,4.36%
Cellnex Telecom S.A.,CLNX,4.35%
"Ferrovial, S.A.",FER,4.23%
Telefonica SA,TEF,4.02%
Aena SME SA,AENA,3.89%
"Siemens Gamesa Renewable Energy, S.A.",SGRE,3.48%
CaixaBank SA,CABK,3.15%
Actividades de Construccion y Servicios SA,ACS,3.14%
"Grifols, S.A. Class A",GRF,3.11%
Endesa S.A.,ELE,3.05%
"Naturgy Energy Group, S.A.",NTGY,2.67%
Red Electrica Corp. SA,REE,2.39%
Enagas SA,ENG,1.99%
DERIVATIVE SECURITIES (OTHER),Other,0.25%
FIXED INCOME (UNCLASSFIED),Other,0.23%
U.S. Dollar,Other,0.22%
Repsol S.A. Rights 2020-08.01.21 For Shs,REP.D,0.16%
MUTUAL FUND (OTHER),Other,0.05%
