EWQ: iShares MSCI France ETF
Inception Date: 1996-03-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	889943
Shares Outstanding: 26600000
Expense Ratio: 0.5%
Tracks This Index: MSCI France Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EWQ


Holding,Symbol,Weighting
LVMH Moet Hennessy Louis Vuitton SE,MC,9.87%
Sanofi,SAN,6.2%
Total SE,FP,6.19%
L\'Oreal SA,OR,5.44%
Schneider Electric SE,SU,4.43%
Air Liquide SA,AI,4.42%
Airbus SE,AIR,3.67%
BNP Paribas SA Class A,BNP,3.37%
Kering SA,KER,3.13%
VINCI SA,DG,2.95%
AXA SA,CS,2.63%
Safran S.A.,SAF,2.58%
EssilorLuxottica SA,EL,2.52%
Danone SA,BN,2.31%
Pernod Ricard SA,RI,2.29%
Hermes International SCA,RMS,1.94%
ENGIE SA.,ENGI,1.59%
Dassault Systemes SA,DSY,1.53%
Vivendi SE,VIV,1.52%
Capgemini SE,CAP,1.42%
Legrand SA,LR,1.36%
Orange SA,ORA,1.35%
Compagnie de Saint-Gobain SA,SGO,1.35%
STMicroelectronics NV,STM,1.34%
Worldline SA,WLN,1.32%
Compagnie Generale des Etablissements Michelin SCA,ML,1.24%
Teleperformance SE,TEP,1.11%
Societe Generale S.A. Class A,GLE,0.96%
ArcelorMittal SA,MT,0.94%
Peugeot SA,UG,0.92%
Credit Agricole SA,ACA,0.83%
Alstom SA,ALO,0.81%
Edenred SA,EDEN,0.8%
Veolia Environnement SA,VIE,0.75%
Eurofins Scientific Societe Europeenne,ERF,0.63%
Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,URW,0.62%
Publicis Groupe SA,PUB,0.61%
Carrefour SA,CA,0.6%
Sartorius Stedim Biotech SA,DIM,0.56%
Thales SA,HO,0.56%
Electricite de France SA,EDF,0.56%
Bouygues SA,EN,0.54%
Valeo SA,FR,0.52%
Atos SE,ATO,0.51%
Ubisoft Entertainment SA,UBI,0.5%
Renault SA,RNO,0.48%
Eiffage SA,FGR,0.47%
Arkema SA,AKE,0.45%
Bureau Veritas SA,BVI,0.44%
Sodexo SA,SW,0.43%
Getlink SE,GET,0.43%
Gecina SA,GFC,0.4%
Orpea SA,ORP,0.39%
SUEZ SA,SEV,0.39%
Accor SA,AC,0.38%
bioMerieux SA,BIM,0.33%
Scor SE,SCR,0.29%
Amundi SA,AMUN,0.28%
Covivio SA,COV,0.27%
Klepierre SA,LI,0.25%
U.S. Dollar,Other,0.24%
SEB SA,SK,0.24%
Remy Cointreau SA,RCO,0.24%
Faurecia SA,EO,0.24%
La Francaise des Jeux SA,FDJ,0.22%
Aeroports de Paris SA,ADP,0.22%
SES SA FDR (Class A),SESG,0.21%
Bollore SA,BOL,0.21%
NATIXIS,KN,0.18%
Wendel SE,MF,0.18%
Iliad,ILD,0.18%
Ipsen SA,IPN,0.18%
Dassault Aviation SA,AM,0.16%
CNP Assurances SA,CNP,0.15%
Eurazeo SA,RF,0.15%
MUTUAL FUND (OTHER),Other,0.05%
