EWUS: iShares MSCI United Kingdom Small-Cap ETF
Inception Date: 2012-01-25
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	67532
Shares Outstanding: 1600000
Expense Ratio: 0.59%
Tracks This Index: MSCI United Kingdom Small Cap Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EWUS


Holding,Symbol,Weighting
Rightmove plc,RMV,1.57%
Weir Group PLC,WEIR,1.43%
DS Smith Plc,SMDS,1.42%
Intermediate Capital Group plc,ICP,1.39%
B&M European Value Retail SA,BME,1.29%
Howden Joinery Group PLC,HWDN,1.14%
Pennon Group Plc,PNN,1.11%
G4S plc,GFS,1.09%
Electrocomponents plc,ECM,1.07%
ITV PLC,ITV,1.07%
Dechra Pharmaceuticals PLC,DPH,1.03%
Bellway p.l.c.,BWY,1.01%
Meggitt PLC,MGGT,1.01%
ASOS plc,ASC,0.99%
Avast Plc,AVST,0.99%
boohoo group Plc,BOO,0.96%
Games Workshop Group PLC,GAW,0.96%
Hiscox Ltd,HSX,0.95%
Travis Perkins plc,TPK,0.94%
UNITE Group plc,UTG,0.92%
Derwent London plc,DLN,0.91%
Spectris plc,SXS,0.91%
Signature Aviation Plc,SIG,0.89%
IG Group Holdings plc,IGG,0.88%
ABCAM PLC,ABC,0.88%
Tate & Lyle PLC,TATE,0.87%
IMI plc,IMI,0.87%
HomeServe plc,HSV,0.86%
Royal Mail plc,RMG,0.84%
ConvaTec Group Plc,CTEC,0.83%
Tritax Big Box REIT Plc,BBOX,0.79%
Quilter Plc,QLT,0.78%
Rotork plc,ROR,0.77%
Diploma PLC,DPLM,0.76%
Genus plc,GNS,0.76%
Centrica plc,CNA,0.75%
Marks and Spencer Group plc,MKS,0.74%
William Hill PLC,WMH,0.74%
Fevertree Drinks PLC,FEVR,0.73%
IWG Plc,IWG,0.72%
Inchcape plc,INCH,0.7%
Countryside Properties Plc,CSP,0.68%
Hays plc,HAS,0.66%
Beazley Plc,BEZ,0.61%
Britvic plc,BVIC,0.6%
John Wood Group PLC,WG,0.59%
Carnival plc,CCL,0.59%
Renishaw plc,RSW,0.58%
Close Brothers Group plc,CBG,0.58%
Trainline Plc,TRN,0.58%
Vistry Group PLC,VTY,0.58%
Grafton Group Plc,GFTU,0.58%
Pets At Home Group Plc,PETS,0.57%
Victrex plc,VCT,0.56%
Man Group PLC,EMG,0.56%
Assura PLC,AGR,0.56%
WH Smith PLC,SMWH,0.55%
Keywords Studios plc,KWS,0.55%
Primary Health Properties PLC,PHP,0.55%
ITM Power PLC,ITM,0.55%
LondonMetric Property Plc,LMP,0.54%
UDG Healthcare Plc,UDG,0.54%
Grainger plc,GRI,0.53%
TUI AG,TUI,0.52%
OSB Group PLC,OSB,0.52%
Ashmore Group plc,ASHM,0.51%
Balfour Beatty plc,BBY,0.51%
Cranswick plc,CWK,0.51%
QinetiQ Group plc,QQ,0.51%
Computacenter Plc,CCC,0.5%
Greggs plc,GRG,0.5%
Big Yellow Group PLC,BYG,0.5%
SSP Group Plc,SSPG,0.49%
Lancashire Holdings Limited,LRE,0.49%
GB Group PLC,GBG,0.48%
Virgin Money UK Plc,VMUK,0.48%
Future plc,FUTR,0.47%
IntegraFin Holdings PLC,IHP,0.46%
Jet2 PLC,JET2,0.46%
Safestore Holdings plc,SAFE,0.45%
Softcat Plc,SCT,0.45%
Spirent Communications plc,SPT,0.45%
John Laing Group Plc,JLG,0.45%
Redrow plc,RDW,0.44%
