EZU: iShares MSCI EMU ETF
Inception Date: 2000-07-25
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	5091160
Shares Outstanding: 114800000
Expense Ratio: 0.49%
Tracks This Index: MSCI EMU Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EZU


Holding,Symbol,Weighting
ASML Holding NV,ASML,4.04%
LVMH Moet Hennessy Louis Vuitton SE,MC,3.39%
SAP SE,SAP,2.68%
Siemens AG,SIE,2.15%
Sanofi,SAN,2.13%
Total SE,FP,2.13%
Allianz SE,ALV,2.0%
L\'Oreal SA,OR,1.87%
Iberdrola SA,IBE,1.69%
Enel SpA,ENEL,1.61%
Air Liquide SA,AI,1.52%
Schneider Electric SE,SU,1.52%
BASF SE,BAS,1.42%
adidas AG,ADS,1.36%
Airbus SE,AIR,1.26%
Deutsche Telekom AG,DTE,1.19%
Daimler AG,DAI,1.18%
BNP Paribas SA Class A,BNP,1.16%
Bayer AG,BAYN,1.13%
Kering SA,KER,1.08%
Banco Santander S.A.,SAN,1.05%
Anheuser-Busch InBev SA/NV,ABI,1.04%
Prosus N.V. Class N,PRX,1.03%
VINCI SA,DG,1.01%
Infineon Technologies AG,IFX,0.98%
Deutsche Post AG,DPW,0.96%
Koninklijke Philips N.V.,PHIA,0.95%
AXA SA,CS,0.9%
Safran S.A.,SAF,0.89%
EssilorLuxottica SA,EL,0.87%
Adyen NV,ADYEN,0.82%
Munich Reinsurance Company,MUV2,0.81%
Pernod Ricard SA,RI,0.79%
Danone SA,BN,0.79%
Intesa Sanpaolo S.p.A.,ISP,0.75%
Vonovia SE,VNA,0.74%
ING Groep NV,INGA,0.71%
Volkswagen AG Pref,VOW3,0.68%
"Industria de Diseno Textil, S.A.",ITX,0.68%
Hermes International SCA,RMS,0.66%
Flutter Entertainment Plc,FLTR,0.65%
Amadeus IT Group SA Class A,AMS,0.64%
CRH Plc,CRG,0.64%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.64%
Deutsche Boerse AG,DB1,0.63%
Koninklijke Ahold Delhaize N.V.,AD,0.61%
Neste Corporation,NESTE,0.6%
Koninklijke DSM N.V.,DSM,0.58%
Heineken NV,HEIA,0.57%
Ferrari NV,RACE,0.57%
Bayerische Motoren Werke AG,BMW,0.57%
ENGIE SA.,ENGI,0.55%
Kone Oyj Class B,KNEBV,0.54%
RWE AG,RWE,0.53%
Dassault Systemes SA,DSY,0.53%
Vivendi SE,VIV,0.52%
Eni S.p.A.,ENI,0.52%
E.ON SE,EOAN,0.49%
Capgemini SE,CAP,0.49%
Legrand SA,LR,0.47%
STMicroelectronics NV,STM,0.46%
Orange SA,ORA,0.46%
Compagnie de Saint-Gobain SA,SGO,0.46%
Worldline SA,WLN,0.45%
Kerry Group Plc Class A,KRZ,0.45%
Wolters Kluwer NV,WKL,0.45%
Merck KGaA,MRK,0.43%
Nokia Oyj,NOKIA,0.43%
Compagnie Generale des Etablissements Michelin SCA,ML,0.43%
Deutsche Bank AG,DBK,0.42%
Akzo Nobel N.V.,AKZA,0.41%
Henkel AG & Co. KGaA Pref,HEN3,0.39%
UniCredit S.p.A.,UCG,0.39%
Delivery Hero SE,DHER,0.39%
Sampo Oyj Class A,SAMPO,0.39%
Fiat Chrysler Automobiles N.V.,FCA,0.39%
UPM-Kymmene Oyj,UPM,0.39%
Fresenius SE & Co. KGaA,FRE,0.38%
Teleperformance SE,TEP,0.38%
Assicurazioni Generali S.p.A.,G,0.38%
Telefonica SA,TEF,0.37%
Cellnex Telecom S.A.,CLNX,0.37%
Deutsche Wohnen SE,DWNI,0.36%
Fresenius Medical Care AG & Co. KGaA,FME,0.35%
KBC Group N.V.,KBC,0.34%
EDP-Energias de Portugal SA,EDP,0.34%
Symrise AG,SY1,0.33%
Zalando SE,ZAL,0.33%
Societe Generale S.A. Class A,GLE,0.33%
ArcelorMittal SA,MT,0.32%
Continental AG,CON,0.32%
Peugeot SA,UG,0.31%
Sartorius AG Pref,SRT3,0.29%
Repsol SA,REP,0.29%
Credit Agricole SA,ACA,0.29%
Siemens Energy AG,ENR,0.29%
Just Eat Takeaway.com N.V.,TKWY,0.28%
Alstom SA,ALO,0.28%
Siemens Healthineers AG,SHL,0.27%
MTU Aero Engines AG,MTX,0.27%
Edenred SA,EDEN,0.27%
BlackRock Cash Funds Treasury SL Agency Shares,Other,0.26%
Veolia Environnement SA,VIE,0.26%
arGEN-X SE,ARGX,0.26%
UCB S.A.,UCB,0.26%
"Ferrovial, S.A.",FER,0.26%
CNH Industrial NV,CNHI,0.25%
NN Group N.V.,NN,0.25%
Brenntag AG,BNR,0.23%
Beiersdorf AG,BEI,0.23%
QIAGEN NV,QIA,0.23%
Aena SME SA,AENA,0.23%
Moncler SpA,MONC,0.23%
Eurofins Scientific Societe Europeenne,ERF,0.22%
LEG Immobilien AG,LEG,0.22%
Groupe Bruxelles Lambert SA,GBLB,0.22%
Covestro AG,1COV,0.22%
HeidelbergCement AG,HEI,0.22%
Stora Enso Oyj Class R,STERV,0.22%
Smurfit Kappa Group Plc,SK3,0.22%
PUMA SE,PUM,0.22%
Snam S.p.A.,SRG,0.22%
HelloFresh SE,HFG,0.22%
Porsche Automobil Holding SE Pref,PAH3,0.21%
Royal KPN NV,KPN,0.21%
Kingspan Group Plc,KRX,0.21%
Heineken Holding N.V.,HEIO,0.21%
Publicis Groupe SA,PUB,0.21%
Fortum Oyj,FORTUM,0.21%
Terna S.p.A.,TRN,0.21%
Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,URW,0.21%
Henkel AG & Co. KGaA,HEN,0.2%
Coca-Cola European Partners Plc,CCEP,0.2%
Carrefour SA,CA,0.2%
Sartorius Stedim Biotech SA,DIM,0.19%
Umicore,UMI,0.19%
Thales SA,HO,0.19%
Hannover Rueck SE,HNR1,0.19%
"Siemens Gamesa Renewable Energy, S.A.",SGRE,0.19%
FinecoBank SpA,FBK,0.19%
Knorr-Bremse AG,KBX,0.19%
Electricite de France SA,EDF,0.19%
Atos SE,ATO,0.18%
ageas SA/NV,AGS,0.18%
