FALN: iShares U.S. Fallen Angels USD Bond ETF
Inception Date: 2016-06-14
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	410160
Shares Outstanding: 14050000
Expense Ratio: 0.25%
Tracks This Index: Barclays US High Yield Fallen Angel 3% Capped Index
ETFdb.com Category: High Yield Bonds
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FALN


Holding,Symbol,Weighting
Carnival Corporation 11.5% 01-APR-2023,Other,2.1%
Sprint Capital Corp. 6.875% 15-NOV-2028,Other,1.49%
Sprint Capital Corp. 8.75% 15-MAR-2032,Other,1.45%
Royal Caribbean Group 11.5% 01-JUN-2025,Other,1.24%
Vodafone Group PLC Notes 2019-04.04.79 Global Fixed/Floating Rate,Other,1.14%
"Freeport-McMoRan, Inc. 5.45% 15-MAR-2043",Other,1.06%
Newell Brands Inc 4.7% 01-APR-2026,Other,1.0%
Intesa Sanpaolo S.p.A. 5.017% 26-JUN-2024,Other,0.99%
Cenovus Energy Inc. 6.75% 15-NOV-2039,Other,0.85%
Embarq Corp. 7.995% 01-JUN-2036,Other,0.82%
Deutsche Bank Aktiengesellschaft 4.5% 01-APR-2025,Other,0.73%
Deutsche Bank Aktiengesellschaft 4.296% 24-MAY-2028,Other,0.71%
Alcoa Inc. 5.125% 01-OCT-2024,Other,0.69%
UniCredit S.p.A. 7.296% 02-APR-2034,Other,0.69%
"Lumen Technologies, Inc. 5.8% 15-MAR-2022",Other,0.68%
Dresdner Funding Trust I 8.151 % 1999-30.6.31 -144A- Silent Partnership CTF,Other,0.67%
Howmet Aerospace Inc. 6.875% 01-MAY-2025,Other,0.65%
Apache Corporation 5.1% 01-SEP-2040,Other,0.62%
Telecom Italia Capital SA 7.2% 18-JUL-2036,Other,0.62%
Telecom Italia Capital SA 7.721% 04-JUN-2038,Other,0.62%
FirstEnergy Corp. 7.375% 15-NOV-2031,Other,0.59%
Telecom Italia Capital SA 6.0% 30-SEP-2034,Other,0.57%
