FAN: First Trust ISE Global Wind Energy Index Fund
Inception Date: 2008-06-16
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	406333
Shares Outstanding: 17500000
Expense Ratio: 0.62%
Tracks This Index: ISE Global Wind Energy Index
ETFdb.com Category: Alternative Energy Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FAN


Holding,Symbol,Weighting
Vestas Wind Systems A/S,VWS,9.24%
"Siemens Gamesa Renewable Energy, S.A.",SGRE,9.0%
Orsted,ORSTED,8.84%
Northland Power Inc.,NPI,7.35%
Boralex Inc. Class A,BLX,5.39%
China Longyuan Power Group Corp. Ltd. Class H,916,5.06%
Innergex Renewable Energy Inc.,INE,3.67%
"TPI Composites, Inc.",TPIC,3.17%
"Xinjiang Goldwind Science & Technology Co., Ltd. Class H",2208,2.79%
General Electric Company,GE,2.39%
CS Wind Corp.,112610,2.08%
Gurit Holding AG,GUR,2.0%
Falck Renewables S.p.A.,FKR,1.88%
EDP-Energias de Portugal SA,EDP,1.88%
SSE plc,SSE,1.79%
Iberdrola SA,IBE,1.68%
Siemens AG,SIE,1.66%
Enel SpA,ENEL,1.65%
ENGIE SA.,ENGI,1.63%
Duke Energy Corporation,DUK,1.62%
ABB Ltd.,ABBN,1.61%
RWE AG,RWE,1.6%
"NextEra Energy, Inc.",NEE,1.54%
"Mitsubishi Heavy Industries, Ltd.",7011,1.47%
"Mitsui & Co.,Ltd",8031,1.45%
Terna Energy S.A.,TENERGY,1.41%
SKF AB Class B,SKF.B,1.4%
E.ON SE,EOAN,1.37%
Alliant Energy Corp,LNT,1.35%
"Toray Industries, Inc.",3402,1.34%
Prysmian S.p.A.,PRY,1.3%
Eolus Vind AB Class B,EOLU.B,1.25%
Endesa S.A.,ELE,1.24%
"China High Speed Transmission Equipment Group Co., Ltd.",658,0.85%
AGL Energy Limited,AGL,0.82%
"Woodward, Inc.",WWD,0.81%
"Unison Co., Ltd",018000,0.81%
China Datang Corp. Renewable Power Co. Ltd. Class H,1798,0.77%
PNE AG,PNE3,0.66%
Acciona SA,ANA,0.44%
"Trinity Industries, Inc.",TRN,0.38%
Neoen S.A.,NEOEN,0.35%
BKW AG,BKW,0.32%
"TransAlta Renewables, Inc.",RNW,0.27%
EQUITY OTHER,Other,0.13%
China Suntien Green Energy Corporation Limited Class H,956,0.08%
American Superconductor Corporation,AMSC,0.07%
Morgan Stanley Institutional Liquidity Funds treasury Portfolio Institutional,MISXX,0.05%
U.S. Dollar,Other,0.03%
"Dongkuk Structures & Construction Co., Ltd.",100130,0.03%
