FBT: First Trust Amex Biotechnology Index
Inception Date: 2006-06-23
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	2042100
Shares Outstanding: 12150000
Expense Ratio: 0.57%
Tracks This Index: NYSE Arca Biotechnology Index
ETFdb.com Category: Health & Biotech Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FBT


Holding,Symbol,Weighting
"Ultragenyx Pharmaceutical, Inc.",RARE,4.72%
United Therapeutics Corporation,UTHR,4.26%
"Alexion Pharmaceuticals, Inc.",ALXN,4.01%
Exact Sciences Corporation,EXAS,3.96%
ACADIA Pharmaceuticals Inc.,ACAD,3.94%
"Agios Pharmaceuticals, Inc.",AGIO,3.93%
"Ionis Pharmaceuticals, Inc.",IONS,3.83%
Bio-Techne Corporation,TECH,3.76%
"Sarepta Therapeutics, Inc.",SRPT,3.69%
Alkermes Plc,ALKS,3.66%
"Illumina, Inc.",ILMN,3.59%
BioMarin Pharmaceutical Inc.,BMRN,3.46%
IQVIA Holdings Inc,IQV,3.41%
Vertex Pharmaceuticals Incorporated,VRTX,3.35%
"Charles River Laboratories International, Inc.",CRL,3.3%
Nektar Therapeutics,NKTR,3.28%
QIAGEN NV,QGEN,3.24%
"Grifols, S.A. Sponsored ADR Class B",GRFS,3.16%
"Gilead Sciences, Inc.",GILD,3.08%
Amgen Inc.,AMGN,3.06%
Incyte Corporation,INCY,3.03%
"Neurocrine Biosciences, Inc.",NBIX,2.97%
"Exelixis, Inc.",EXEL,2.81%
"Alnylam Pharmaceuticals, Inc",ALNY,2.8%
Biogen Inc.,BIIB,2.76%
"Seagen, Inc.",SGEN,2.67%
"FibroGen, Inc.",FGEN,2.59%
"Regeneron Pharmaceuticals, Inc.",REGN,2.56%
"bluebird bio, Inc.",BLUE,2.53%
"Intercept Pharmaceuticals, Inc.",ICPT,2.5%
U.S. Dollar,Other,0.08%
