FCA: First Trust China AlphaDEX Fund
Inception Date: 2011-04-21
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	13120
Shares Outstanding: 450000
Expense Ratio: 0.8%
Tracks This Index: NASDAQ AlphaDEX China Index
ETFdb.com Category: China Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FCA


Holding,Symbol,Weighting
"BYD Electronic (International) Co., Ltd.",285,6.39%
China Hongqiao Group Ltd.,1378,5.78%
"Dongfeng Motor Group Co., Ltd. Class H",489,5.29%
"Innovent Biologics, Inc.",1801,3.85%
Meituan Class B,3690,3.72%
Zhongsheng Group Holdings Ltd.,881,3.52%
"China Merchants Port Holdings Co., Ltd.",144,2.84%
Beijing Enterprises Holdings Limited,392,2.69%
KWG Group Holdings Limited,1813,2.67%
Alibaba Health Information Technology Ltd.,241,2.59%
Yihai International Holding Ltd.,1579,2.47%
Wuxi Biologics (Cayman) Inc.,2269,2.41%
"Guangzhou R&F Properties Co., Ltd. Class H",2777,2.36%
Yanzhou Coal Mining Co. Ltd. Class H,1171,2.35%
China Coal Energy Co. Ltd. Class H,1898,2.21%
CNOOC Limited,883,2.19%
Brilliance China Automotive Holdings Limited,1114,2.16%
China Longyuan Power Group Corp. Ltd. Class H,916,2.16%
MicroPort Scientific Corp.,853,2.14%
"Zhongan Online P&C Insurance Co., Ltd. Class H",6060,2.08%
China Telecom Corp. Ltd. Class H,728,2.07%
China Literature Ltd.,772,1.88%
Kingboard Holdings Limited,148,1.81%
"Kingdee International Software Group Co., Ltd.",268,1.81%
China Mobile Limited,941,1.78%
"WuXi AppTec Co., Ltd. Class H",2359,1.71%
Kingsoft Corp. Ltd.,3888,1.68%
Ping An Healthcare and Technology Company Limited,1833,1.68%
Gemdale Properties & Investment Corp. Ltd.,535,1.67%
Shenzhen International Holdings Limited,152,1.66%
Shandong Weigao Group Medical Polymer Co. Ltd. Class H,1066,1.65%
China State Construction International Holdings Limited,3311,1.65%
Country Garden Services Holdings Co. Ltd.,6098,1.58%
KunLun Energy Co. Ltd.,135,1.53%
China Resources Power Holdings Co. Ltd.,836,1.51%
Xiaomi Corp. Class B,1810,1.51%
BAIC Motor Corporation Limited Class H,1958,1.44%
China Shenhua Energy Co. Ltd. Class H,1088,1.32%
GOME Retail Holdings Limited,493,1.22%
China Everbright Environment Group Limited,257,1.21%
AK Medical Holdings Ltd.,1789,1.14%
"Beijing Capital International Airport Co., Ltd. Class H",694,0.71%
BOC Aviation Limited,2588,0.71%
"Shandong Gold Mining Co., Ltd. Class H",1787,0.62%
China National Building Material Co. Ltd. Class H,3323,0.6%
"Logan Group Co., Ltd.",3380,0.48%
U.S. Dollar,Other,0.44%
Ausnutria Dairy Corp. Ltd.,1717,0.42%
China Overseas Land & Investment Limited,688,0.39%
China Overseas Property Holdings Limited,2669,0.27%
