FCEF: First Trust CEF Income Opportunity ETF
Inception Date: 2016-09-27
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	33994
Shares Outstanding: 1505000
Expense Ratio: 3.21%
Tracks This Index: n/a
ETFdb.com Category: Diversified Portfolio
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FCEF


Holding,Symbol,Weighting
BlackRock Science & Technology Trust,BST,5.34%
Eaton Vance Tax-Advantaged Global Dividend Income Fund,ETG,4.35%
Cohen & Steers REIT and Preferred and Income Fund Inc,RNP,4.06%
Cohen & Steers Infrastructure Fund Inc,UTF,3.78%
PIMCO Dynamic Credit and Mortgage Income Fund,PCI,3.78%
Eaton Vance Tax-Advantaged Dividend Income Fund,EVT,3.61%
"Ares Dynamic Credit Allocation Fund, Inc.",ARDC,3.39%
"PGIM Global High Yield Fund, Inc.",GHY,3.3%
Tekla Healthcare Opportunities Fund,THQ,3.29%
Tekla Healthcare Investors of Benef Interest,HQH,3.15%
Eaton Vance Tax Advantaged Global Dividend Opportunities Fund,ETO,3.13%
Nuveen Credit Strategies Income Fund,JQC,2.99%
BlackRock Science and Technology Trust II,BSTZ,2.99%
Gabelli Dividend & Income Trust,GDV,2.95%
John Hancock Tax-Advantaged Dividend Income Fund,HTD,2.79%
DoubleLine Income Solutions Fund,DSL,2.66%
Tri-Continental Corp,TY,2.55%
Nuveen Preferred & Income Opportunities Fund of Benef Interest,JPC,2.41%
Morgan Stanley Institutional Liquidity Funds treasury Portfolio Institutional,MISXX,2.23%
Source Capital Inc.,SOR,2.16%
Macquarie Global Infrastructure Total Return Fund Inc,MGU,2.13%
Blackrock Health Sciences Trust II,BMEZ,2.12%
Western Asset Emerging Markets Debt Fund Inc,EMD,2.03%
General American Investors Co Inc,GAM,2.02%
Advent Convertible and Income Fund,AVK,1.99%
Royce Value Trust Inc,RVT,1.95%
Blackstone Strategic Credit Fund Shs of Benef Interest,BGB,1.84%
Nuveen Tax-Advantaged Dividend Growth Fund,JTD,1.71%
Eaton Vance Short Duration Diversified Income Fund,EVG,1.62%
AllianzGI Artificial Intelligence & Technology Opportunities Fund,AIO,1.45%
BlackRock Multi-Sector Income Trust,BIT,1.35%
Templeton Emerging Markets Fund,EMF,1.29%
Principal Real Estate Income Fund,PGZ,1.22%
Tekla Life Sciences Investors of Benef Interest,HQL,1.17%
Nuveen Real Asset Income & Growth Fund,JRI,1.15%
Barings Global Short Duration High Yield Fund of Benef Interest,BGH,1.05%
Morgan Stanley China A Share Fund Inc,CAF,1.04%
Central Securities Corp,CET,1.01%
AllianzGI Equity & Convertible Income Fund,NIE,1.0%
Western Asset High Income Opportunity Fund Inc,HIO,0.98%
"Apollo Tactical Income Fund, Inc.",AIF,0.91%
BlackRock Corporate High Yield Fund Inc,HYT,0.79%
AllianzGI Convertible & Income 2024 Target Term Fund,CBH,0.77%
Lazard Global Total Return & Income Fund Inc,LGI,0.7%
Western Asset Inflation-Linked Opportunities & Income Fund of Benef Interest,WIW,0.53%
Eaton Vance Enhanced Equity Income Fund,EOI,0.53%
Royce Micro-Cap Trust Inc,RMT,0.51%
Blackrock Income Trust Inc,BKT,0.4%
U.S. Dollar,Other,-0.16%
