FCOM: Fidelity MSCI Communication Services Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	677935
Shares Outstanding: 14900000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Telecommunication Services 25/50 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FCOM


Holding,Symbol,Weighting
"Facebook, Inc. Class A",FB,15.68%
Alphabet Inc. Class A,GOOGL,10.54%
Alphabet Inc. Class C,GOOG,10.54%
Walt Disney Company,DIS,6.76%
"Netflix, Inc.",NFLX,4.71%
Comcast Corporation Class A,CMCSA,4.47%
AT&T Inc.,T,4.22%
Verizon Communications Inc.,VZ,4.09%
"Charter Communications, Inc. Class A",CHTR,2.86%
"T-Mobile US, Inc.",TMUS,2.35%
"Activision Blizzard, Inc.",ATVI,2.25%
"Snap, Inc. Class A",SNAP,1.65%
"Twitter, Inc.",TWTR,1.5%
"Roku, Inc. Class A",ROKU,1.45%
Electronic Arts Inc.,EA,1.42%
"Match Group, Inc.",MTCH,1.41%
Liberty Broadband Corp. Class C,LBRDK,1.26%
"Pinterest, Inc. Class A",PINS,1.18%
ViacomCBS Inc. Class B,VIAC,0.97%
"Take-Two Interactive Software, Inc.",TTWO,0.97%
"Zillow Group, Inc. Class C",Z,0.97%
"Live Nation Entertainment, Inc.",LYV,0.68%
Omnicom Group Inc,OMC,0.62%
"Cable One, Inc.",CABO,0.62%
"Interpublic Group of Companies, Inc.",IPG,0.57%
IAC/InteractiveCorp.,IAC,0.55%
News Corporation Class A,NWSA,0.55%
Zynga Inc. Class A,ZNGA,0.54%
"Discovery, Inc. Class C",DISCK,0.54%
New York Times Company Class A,NYT,0.53%
"Altice USA, Inc. Class A",ATUS,0.53%
Liberty Media Corporation Series C Liberty Formula One,FWONK,0.52%
"Lumen Technologies, Inc.",LUMN,0.51%
Liberty Global Plc Class C,LBTYK,0.51%
Fox Corporation Class A,FOXA,0.5%
Liberty Media Corp. Series C Liberty SiriusXM,LSXMK,0.49%
Iridium Communications Inc.,IRDM,0.48%
"Sirius XM Holdings, Inc.",SIRI,0.48%
DISH Network Corporation Class A,DISH,0.48%
"Discovery, Inc. Class A",DISCA,0.45%
"Nexstar Media Group, Inc. Class A",NXST,0.45%
Liberty Broadband Corp. Class A,LBRDA,0.39%
Liberty Media Corp. Series A Liberty SiriusXM,LSXMA,0.38%
Fox Corporation Class B,FOX,0.37%
Liberty Global Plc Class A,LBTYA,0.36%
"Cardlytics, Inc.",CDLX,0.34%
Vonage Holdings Corp.,VG,0.3%
"TEGNA, Inc.",TGNA,0.29%
Madison Square Garden Sports Corp. Class A,MSGS,0.29%
"TripAdvisor, Inc.",TRIP,0.29%
Bandwidth Inc. Class A,BAND,0.28%
"CarGurus, Inc. Class A",CARG,0.27%
Cogent Communications Holdings Inc,CCOI,0.26%
Yelp Inc,YELP,0.24%
State Str Instl Invt Tr Treaplu Inv Cl G,TPVXX,0.23%
"World Wrestling Entertainment, Inc. Class A",WWE,0.23%
Shenandoah Telecommunications Company,SHEN,0.21%
"John Wiley & Sons, Inc. Class A",JW.A,0.21%
"Cinemark Holdings, Inc.",CNK,0.2%
"Telephone and Data Systems, Inc.",TDS,0.18%
Liberty Latin America Ltd. Class C,LILAK,0.17%
Madison Square Garden Entertainment Corp Class A,MSGE,0.17%
"Gray Television, Inc.",GTN,0.16%
"Sinclair Broadcast Group, Inc. Class A",SBGI,0.15%
"TechTarget, Inc.",TTGT,0.14%
Glu Mobile Inc.,GLUU,0.13%
Lions Gate Entertainment Corp Class B,LGF.B,0.12%
AMC Networks Inc. Class A,AMCX,0.1%
"QuinStreet, Inc.",QNST,0.1%
ANGI Homeservices Inc Class A,ANGI,0.1%
Liberty Media Corp. Series C Liberty Braves,BATRK,0.09%
IMAX Corporation,IMAX,0.09%
"Eventbrite, Inc. Class A",EB,0.09%
"Cars.com, Inc.",CARS,0.08%
Meredith Corporation,MDP,0.08%
E. W. Scripps Company Class A,SSP,0.08%
"iHeartMedia, Inc. Class A",IHRT,0.08%
Lions Gate Entertainment Corp Class A,LGF.A,0.07%
Scholastic Corporation,SCHL,0.07%
Cincinnati Bell Inc.,CBB,0.07%
Clear Channel Outdoor Holdings Inc,CCO,0.06%
"WideOpenWest, Inc.",WOW,0.06%
"Boingo Wireless, Inc.",WIFI,0.06%
MSG Networks Inc. Class A,MSGN,0.06%
"ATN International, Inc.",ATNI,0.05%
Liberty Latin America Ltd. Class A,LILA,0.05%
"TrueCar, Inc.",TRUE,0.04%
"Consolidated Communications Holdings, Inc.",CNSL,0.04%
Anterix Inc.,ATEX,0.04%
Boston Omaha Corp. Class A,BOMN,0.04%
United States Cellular Corp,USM,0.04%
Loral Space & Communications Inc.,LORL,0.03%
"EverQuote, Inc. Class A",EVER,0.03%
U.S. Dollar,Other,0.02%
"Hemisphere Media Group, Inc. Class A",HMTV,0.02%
"Globalstar, Inc.",GSAT,0.02%
Tribune Publishing Co.,TPCO,0.02%
Liberty Media Corp. Series A Liberty Braves,BATRA,0.02%
"AMC Entertainment Holdings, Inc. Class A",AMC,0.01%
"ZoomInfo Technologies, Inc. Class A",ZI,0.01%
"Zillow Group, Inc. Class A",ZG,0.01%
Gogo Inc.,GOGO,0.0%
