FDG: American Century Focused Dynamic Growth ETF
Inception Date: 2020-03-31
Fund Holdings as of: 2020-09-30
Total Assets Under Management (in thousands):	218564
Shares Outstanding: 2940000
Expense Ratio: 0.45%
Tracks This Index: n/a
ETFdb.com Category: Global Equities
Issuer: American Century Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FDG


Holding,Symbol,Weighting
"Amazon.com, Inc.",AMZN,8.42%
Tesla Inc,TSLA,6.85%
"salesforce.com, inc.",CRM,5.48%
"Square, Inc. Class A",SQ,4.66%
Visa Inc. Class A,V,4.63%
Mastercard Incorporated Class A,MA,4.4%
"Boston Beer Company, Inc. Class A",SAM,4.36%
Alphabet Inc. Class C,GOOG,4.26%
"Facebook, Inc. Class A",FB,4.17%
Cognex Corporation,CGNX,3.98%
"Intuitive Surgical, Inc.",ISRG,3.77%
"DocuSign, Inc.",DOCU,3.7%
"Okta, Inc. Class A",OKTA,3.32%
"S&P Global, Inc.",SPGI,3.2%
"Chegg, Inc.",CHGG,2.88%
"Slack Technologies, Inc. Class A",WORK,2.78%
"Constellation Brands, Inc. Class A",STZ,2.52%
"Intercontinental Exchange, Inc.",ICE,2.35%
Westinghouse Air Brake Technologies Corporation,WAB,2.32%
"NIKE, Inc. Class B",NKE,2.24%
"Chipotle Mexican Grill, Inc.",CMG,2.21%
"Netflix, Inc.",NFLX,2.18%
"RingCentral, Inc. Class A",RNG,1.97%
Blueprint Medicines Corp.,BPMC,1.67%
"Alnylam Pharmaceuticals, Inc",ALNY,1.6%
"Silk Road Medical, Inc.",SILK,1.58%
Verisk Analytics Inc,VRSK,1.54%
argenx SE ADR,ARGX,1.51%
Adobe Inc.,ADBE,1.18%
"Ross Stores, Inc.",ROST,1.07%
"Cactus, Inc. Class A",WHD,0.9%
"Regeneron Pharmaceuticals, Inc.",REGN,0.86%
Biogen Inc.,BIIB,0.56%
Lockheed Martin Corporation,LMT,0.42%
U.S. Dollar,Other,0.22%
BigCommerce Holdings Inc,BIGC,0.14%
"Ionis Pharmaceuticals, Inc.",IONS,0.1%
