FDHY: Fidelity High Yield Factor ETF
Inception Date: 2018-06-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	174127
Shares Outstanding: 3150000
Expense Ratio: 0.45%
Tracks This Index: n/a
ETFdb.com Category: High Yield Bonds
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FDHY


Holding,Symbol,Weighting
CORPORATE BOND,Other,13.4%
Fidelity Revere Street Trust Taxable Cent Cash Fund,Other,5.48%
SBA Communications Corp. 15-FEB-2027,Other,2.58%
"TransDigm, Inc. 6.25% 15-MAR-2026",Other,2.21%
Fair Isaac Corporation 4.0% 15-JUN-2028,Other,1.79%
"Molina Healthcare, Inc. 4.375% 15-JUN-2028",Other,1.78%
"GFL Environmental, Inc. 3.75% 01-AUG-2025",Other,1.67%
"Lithia Motors, Inc. 4.375% 15-JAN-2031",Other,1.6%
CCO Holdings LLC 4.5% 01-MAY-2032,Other,1.59%
101178 BC Unlimited Liability Co. 4.0% 15-OCT-2030,Other,1.5%
1011778 B.C. UNLIMITED LIABILITY COMPANY 3.5% 15-FEB-2029,Other,1.49%
"LPL Holdings, Inc. 4.625% 15-NOV-2027",Other,1.3%
Science Applications International Corp. 4.875% 01-APR-2028,Other,1.29%
HLF Financing SARL LLC 7.25% 15-AUG-2026,Other,1.23%
IAMGOLD Corporation 5.75% 15-OCT-2028,Other,1.21%
Occidental Petroleum Corporation 6.625% 01-SEP-2030,Other,1.2%
"Cable One, Inc. 4.0% 15-NOV-2030",Other,1.17%
"Live Nation Entertainment, Inc. 3.75% 15-JAN-2028",Other,1.14%
CCO Holdings LLC 4.5% 15-AUG-2030,Other,1.03%
"Open Text Holdings, Inc. 4.125% 15-FEB-2030",Other,1.02%
AdaptHealth LLC 6.125% 01-AUG-2028,Other,0.97%
"Vail Resorts, Inc. 6.25% 15-MAY-2025",Other,0.93%
Cenovus Energy Inc. 5.375% 15-JUL-2025,Other,0.91%
"NMI Holdings, Inc. 7.375% 01-JUN-2025",Other,0.91%
MSCI Inc. 4.0% 15-NOV-2029,Other,0.89%
"TripAdvisor, Inc. 7.0% 15-JUL-2025",Other,0.88%
Fortress Transportation & Infrastructure Investors LLC 6.5% 01-OCT-2025,Other,0.88%
"Uber Technologies, Inc. 7.5% 15-MAY-2025",Other,0.88%
Encompass Health Corporation 4.75% 01-FEB-2030,Other,0.87%
William Carter Co. 5.5% 15-MAY-2025,Other,0.86%
EnerSys 4.375% 15-DEC-2027,Other,0.86%
Microchip Technology Incorporated 4.25% 01-SEP-2025,Other,0.86%
"Asbury Automotive Group, Inc. 4.75% 01-MAR-2030",Other,0.86%
Churchill Downs Incorporated 4.75% 15-JAN-2028,Other,0.85%
CCO Holdings LLC 4.25% 01-FEB-2031,Other,0.85%
USA Compression Partners LP 6.875% 01-APR-2026,Other,0.85%
Nationstar Mortgage Holdings Inc. 5.5% 15-AUG-2028,Other,0.85%
StoneX Group Inc. 8.625% 15-JUN-2025,Other,0.83%
"Live Nation Entertainment, Inc. 4.875% 01-NOV-2024",Other,0.81%
New Fortress Energy Inc. 6.75% 15-SEP-2025,Other,0.78%
"AMN Healthcare Services, Inc. 4.0% 15-APR-2029",Other,0.76%
H.B. Fuller Company 4.25% 15-OCT-2028,Other,0.76%
Occidental Petroleum Corporation 8.5% 15-JUL-2027,Other,0.76%
"Kennedy-Wilson Holdings, Inc. 5.875% 01-APR-2024",Other,0.75%
HAT Holdings I LLC 6.0% 15-APR-2025,Other,0.75%
Norbord Inc. 5.75% 15-JUL-2027,Other,0.72%
"PRA Group, Inc. 7.375% 01-SEP-2025",Other,0.71%
New Gold Inc. 7.5% 15-JUL-2027,Other,0.69%
"Warrior Met Coal, Inc. 8.0% 01-NOV-2024",Other,0.68%
"Nexstar Broadcasting, Inc. 4.75% 01-NOV-2028",Other,0.66%
XHR LP 6.375% 15-AUG-2025,Other,0.63%
"Western Midstream Operating, LP 5.05% 01-FEB-2030",Other,0.63%
Nationstar Mortgage Holdings Inc. 5.125% 15-DEC-2030,Other,0.62%
"CHS/Community Health Systems, Inc. 5.625% 15-MAR-2027",Other,0.61%
Icahn Enterprises L.P. 4.75% 15-SEP-2024,Other,0.59%
Calpine Corporation 3.75% 01-MAR-2031,Other,0.59%
Springleaf Finance Corporation 4.0% 15-SEP-2030,Other,0.59%
AdaptHealth LLC 4.625% 01-AUG-2029,Other,0.58%
"Valvoline, Inc. 3.625% 15-JUN-2031",Other,0.58%
Mineral Resources Limited 8.125% 01-MAY-2027,Other,0.55%
"SS&C Technologies, Inc. 5.5% 30-SEP-2027",Other,0.53%
FMG Resources (August 2006) Pty Ltd. 4.5% 15-SEP-2027,Other,0.53%
DISH DBS Corporation 7.375% 01-JUL-2028,Other,0.52%
Apache Corporation 4.25% 15-JAN-2030,Other,0.52%
Icahn Enterprises Finance Corp. 6.25% 15-MAY-2026,Other,0.51%
"PDC Energy, Inc. 6.125% 15-SEP-2024",Other,0.5%
Varex Imaging Corp. 7.875% 15-OCT-2027,Other,0.48%
Perenti Finance Pty Ltd. 6.5% 07-OCT-2025,Other,0.48%
DaVita Inc. 3.75% 15-FEB-2031,Other,0.47%
PBF Logistics LP 6.875% 15-MAY-2023,Other,0.47%
Northriver Midstream Finance LP 5.625% 15-FEB-2026,Other,0.46%
Fortress Transportation & Infrastructure Investors LLC 9.75% 01-AUG-2027,Other,0.46%
Forterra Finance LLC 6.5% 15-JUL-2025,Other,0.43%
"Match Group, Inc. /Old/ 4.625% 01-JUN-2028",Other,0.42%
Cimpress N.V. 7.0% 15-JUN-2026,Other,0.39%
Bally\'s Corporation 6.75% 01-JUN-2027,Other,0.39%
Intertape Polymer Group Inc. 7.0% 15-OCT-2026,Other,0.38%
