FDIV: First Trust Strategic Income ETF
Inception Date: 2014-08-13
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	59991
Shares Outstanding: 1250000
Expense Ratio: 0.87%
Tracks This Index: n/a
ETFdb.com Category: All Cap Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FDIV


Holding,Symbol,Weighting
First Trust Tactical High Yield ETF,HYLS,14.34%
First Trust Preferred Securities & Income ETF,FPE,11.88%
First Trust Emerging Markets Local Currency Bond ETF,FEMB,11.76%
First Trust Low Duration Opportunities ETF,LMBS,8.31%
iShares JP Morgan USD Emerging Markets Bond ETF,EMB,4.73%
First Trust Institutional Preferred Securities & Income ETF,FPEI,3.96%
U.S. Dollar,Other,2.4%
Enterprise Products Partners L.P.,EPD,1.42%
"TC PipeLines, LP",TCP,1.37%
"Magellan Midstream Partners, L.P.",MMP,1.36%
Meridian Bancorp Inc,EBSB,1.04%
"Northfield Bancorp, Inc.",NFBK,0.99%
"IDACORP, Inc.",IDA,0.9%
"Automatic Data Processing, Inc.",ADP,0.89%
First Trust Long Duration Opportunities ETF,LGOV,0.88%
Public Service Enterprise Group Inc,PEG,0.87%
Alliant Energy Corp,LNT,0.85%
"Paychex, Inc.",PAYX,0.84%
Hubbell Incorporated Class B,HUBB,0.83%
"Kimball International, Inc. Class B",KBAL,0.83%
ABB Ltd. Sponsored ADR,ABB,0.82%
Atmos Energy Corporation,ATO,0.81%
"National Health Investors, Inc.",NHI,0.81%
"National Presto Industries, Inc.",NPK,0.78%
Sempra Energy,SRE,0.78%
"ONE Gas, Inc.",OGS,0.77%
Novo Nordisk A/S Sponsored ADR Class B,NVO,0.76%
Agree Realty Corporation,ADC,0.75%
Realty Income Corporation,O,0.73%
NextEra Energy Partners LP,NEP,0.73%
"Independent Bank Group, Inc.",IBTX,0.71%
Associated Banc-Corp,ASB,0.68%
"Prosperity Bancshares, Inc.(R)",PB,0.67%
International Flavors & Fragrances Inc.,IFF,0.63%
Simmons First National Corporation Class A,SFNC,0.58%
Park National Corporation,PRK,0.58%
"NextEra Energy, Inc.",NEE,0.57%
iShares 3-7 Year Treasury Bond ETF,IEI,0.56%
"ONEOK, Inc.",OKE,0.56%
Independent Bank Corp.,INDB,0.55%
"Plains All American Pipeline, L.P.",PAA,0.54%
"Holly Energy Partners, L.P.",HEP,0.53%
TC Energy Corporation,TRP,0.5%
Westlake Chemical Partners LP,WLKP,0.49%
"Cheniere Energy Partners, L.P.",CQP,0.46%
Eversource Energy,ES,0.46%
Portland General Electric Company,POR,0.44%
WEC Energy Group Inc,WEC,0.43%
"Essential Utilities, Inc.",WTRG,0.43%
MDU Resources Group Inc,MDU,0.43%
Otter Tail Corporation,OTTR,0.42%
Fortis Inc.,FTS,0.41%
"Evergy, Inc.",EVRG,0.4%
Pinnacle West Capital Corporation,PNW,0.4%
"Hawaiian Electric Industries, Inc.",HE,0.39%
"American Electric Power Company, Inc.",AEP,0.36%
Enbridge Inc.,ENB,0.36%
Westamerica Bancorporation,WABC,0.36%
Shell Midstream Partners LP,SHLX,0.34%
"MGE Energy, Inc.",MGEE,0.34%
PPL Corporation,PPL,0.33%
New Jersey Resources Corporation,NJR,0.32%
City Holding Company,CHCO,0.32%
AltaGas Ltd.,ALA,0.3%
Southern Company,SO,0.27%
Equitrans Midstream Corp.,ETRN,0.26%
Phillips 66 Partners LP,PSXP,0.25%
Xcel Energy Inc.,XEL,0.23%
Dominion Energy Inc,D,0.23%
"Stock Yards Bancorp, Inc.",SYBT,0.21%
"Quanta Services, Inc.",PWR,0.21%
Keyera Corp.,KEY,0.19%
Exelon Corporation,EXC,0.19%
Chesapeake Utilities Corporation,CPK,0.18%
"Williams Companies, Inc.",WMB,0.16%
Kinder Morgan Inc Class P,KMI,0.16%
"Freddie Mac Multiclass Certificates, Series 2669  LL 5.5% 15-AUG-2033",Other,0.14%
"Horizon Bancorp, Inc.",HBNC,0.14%
FNMA 30yr Pool#724888 5.500% 01-Jun-2033 5.5% 01-JUN-2033,Other,0.13%
FHLMC 30yr Pool#A80290 5.000% 01-Nov-2035 5.0% 01-NOV-2035,Other,0.12%
Fannie Mae REMIC Trust 2007-32  KT 5.5% 25-APR-2037,Other,0.1%
FHLMC 30yr Pool#A47829 4.000% 01-Aug-2035 4.0% 01-AUG-2035,Other,0.1%
Fannie Mae REMIC Trust 1997-22  PC 4.5% 18-MAR-2027,Other,0.08%
Ginnie Mae REMIC Trust 2004-047  PD 6.0% 16-JUN-2034,Other,0.08%
FHLMC 30yr Pool#A94951 4.000% 01-Nov-2040 4.0% 01-NOV-2040,Other,0.08%
FNMA 15yr Pool#AL1024 4.500% 01-Jul-2026 4.5% 01-JUL-2026,Other,0.08%
FNMA 30yr Pool#AU4726 4.000% 01-Sep-2043 4.0% 01-SEP-2043,Other,0.08%
FNMA 20yr Pool#995700 6.500% 01-Mar-2027 6.5% 01-MAR-2027,Other,0.08%
GNMA II 30yr Pool#003975 5.500% 20-Apr-2037 5.5% 20-APR-2037,Other,0.08%
Duke Energy Corporation,DUK,0.08%
