FDNI: First Trust Dow Jones International Internet ETF
Inception Date: 2018-11-05
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	88383
Shares Outstanding: 1950000
Expense Ratio: 0.65%
Tracks This Index: Dow Jones International Internet Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FDNI


Holding,Symbol,Weighting
Meituan Class B,3690,9.71%
Tencent Holdings Ltd.,700,9.3%
Alibaba Group Holding Ltd. Sponsored ADR,BABA,8.31%
"Shopify, Inc. Class A",SHOP,7.97%
Naspers Limited Class N,NPN,5.96%
"JD.com, Inc. Sponsored ADR Class A",JD,5.13%
Sea Ltd. (Singapore) Sponsored ADR Class A,SE,4.64%
Adyen NV,ADYEN,4.57%
"Baidu, Inc. Sponsored ADR Class A",BIDU,3.92%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,3.86%
Prosus N.V. Class N,PRX,3.04%
"M3, Inc.",2413,2.78%
"NetEase, Inc. Sponsored ADR",NTES,2.57%
NAVER Corp.,035420,2.57%
Spotify Technology SA,SPOT,2.39%
Atlassian Corp. Plc Class A,TEAM,2.03%
Delivery Hero SE,DHER,1.59%
Yandex NV Class A,YNDX,1.46%
Kakao Corp.,035720,1.44%
Afterpay Limited,APT,1.37%
Ocado Group PLC,OCDO,1.28%
Zalando SE,ZAL,1.27%
Z Holdings Corporation,4689,1.08%
Trip.com Group Ltd. Sponsored ADR,TCOM,1.01%
NCsoft Corporation,036570,0.95%
Wix.com Ltd.,WIX,0.93%
"NEXON Co., Ltd.",3659,0.92%
Xero Limited,XRO,0.87%
Farfetch Limited Class A,FTCH,0.83%
Entain PLC,ENT,0.75%
Vipshop Holdings Ltd Sponsored ADR,VIPS,0.72%
PagSeguro Digital Ltd. Class A,PAGS,0.65%
Just Eat Takeaway.com N.V.,TKWY,0.61%
Scout24 AG,G24,0.58%
Auto Trader Group PLC,AUTO,0.53%
TeamViewer AG,TMV,0.52%
Rightmove plc,RMV,0.52%
"Rakuten, Inc.",4755,0.51%
Ping An Healthcare and Technology Company Limited,1833,0.44%
"Autohome, Inc. Sponsored ADR Class A",ATHM,0.37%
U.S. Dollar,Other,0.03%
