FDT: First Trust Developed Markets ex-US AlphaDEX Fund
Inception Date: 2011-04-19
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	360439
Shares Outstanding: 6336000
Expense Ratio: 0.8%
Tracks This Index: Defined Developed Markets Ex-US Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FDT


Holding,Symbol,Weighting
LG Electronics Inc.,066570,0.78%
Man Wah Holdings Limited,1999,0.78%
Mineral Resources Limited,MIN,0.77%
"Siemens Gamesa Renewable Energy, S.A.",SGRE,0.73%
Vestas Wind Systems A/S,VWS,0.71%
KIA Motors Corporation,000270,0.69%
LG Chem Ltd.,051910,0.69%
Aroundtown SA,AT1,0.69%
BT Group plc,BT.A,0.68%
Jungheinrich AG Pref,JUN3,0.65%
Washington H. Soul Pattinson and Co. Ltd.,SOL,0.65%
HANWHA SOLUTIONS CORPORATION,009830,0.64%
LANXESS AG,LXS,0.63%
China Youzan Limited,8083,0.62%
Holmen AB Class B,HOLM.B,0.61%
Kinnevik AB Class B,KINV.B,0.61%
Bellway p.l.c.,BWY,0.61%
Fortescue Metals Group Ltd,FMG,0.61%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,0.6%
"Brother Industries, Ltd.",6448,0.6%
"HANKOOK TIRE & TECHNOLOGY Co., Ltd.",161390,0.6%
Evonik Industries AG,EVK,0.6%
Hyundai Motor Company,005380,0.59%
"Lightspeed POS, Inc.",LSPD,0.59%
Afterpay Limited,APT,0.59%
RTL Group S.A.,RRTL,0.59%
Taylor Wimpey plc,TW,0.58%
Zalando SE,ZAL,0.58%
"BRP, Inc.",DOO,0.58%
POSCO,005490,0.57%
KDDI Corporation,9433,0.56%
CK Hutchison Holdings Ltd,1,0.56%
Wacker Chemie AG,WCH,0.55%
RWE AG,RWE,0.55%
OZ Minerals Limited,OZL,0.55%
1&1 Drillisch AG,DRI,0.55%
E-MART Inc.,139480,0.54%
A.P. Moller - Maersk A/S Class B,MAERSK.B,0.54%
Iliad,ILD,0.54%
"HYUNDAI GLOVIS Co., Ltd.",086280,0.53%
B&M European Value Retail SA,BME,0.53%
Jardine Cycle & Carriage Limited,C07,0.53%
Investor AB Class B,INVE.B,0.53%
"Hanmi Science Co., Ltd",008930,0.53%
JB Hi-Fi Limited,JBH,0.53%
ALSO Holding AG,ALSN,0.52%
"Techtronic Industries Co., Ltd.",669,0.52%
Allied Properties Real Estate Investment Trust,AP.UT,0.52%
Kajima Corporation,1812,0.52%
