FEP: First Trust Europe AlphaDEX Fund
Inception Date: 2011-04-26
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	442760
Shares Outstanding: 11500000
Expense Ratio: 0.8%
Tracks This Index: Defined Europe Index
ETFdb.com Category: Europe Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FEP


Holding,Symbol,Weighting
"Siemens Gamesa Renewable Energy, S.A.",SGRE,1.08%
Taylor Wimpey plc,TW,1.07%
Vestas Wind Systems A/S,VWS,1.05%
Wacker Chemie AG,WCH,1.03%
Aroundtown SA,AT1,1.03%
BT Group plc,BT.A,1.01%
A.P. Moller - Maersk A/S Class B,MAERSK.B,1.0%
Jungheinrich AG Pref,JUN3,0.96%
LANXESS AG,LXS,0.94%
Holmen AB Class B,HOLM.B,0.91%
Kinnevik AB Class B,KINV.B,0.91%
Bellway p.l.c.,BWY,0.91%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,0.9%
Evonik Industries AG,EVK,0.9%
RTL Group S.A.,RRTL,0.88%
Zalando SE,ZAL,0.87%
Indutrade AB,INDT,0.85%
Orange SA,ORA,0.83%
RWE AG,RWE,0.82%
1&1 Drillisch AG,DRI,0.82%
Gecina SA,GFC,0.82%
Telecom Italia S.p.A.,TIT,0.82%
OMV AG,OMV,0.82%
Iliad,ILD,0.81%
B&M European Value Retail SA,BME,0.79%
Investor AB Class B,INVE.B,0.79%
Fabege AB,FABG,0.79%
Soitec SA,SOI,0.78%
Bechtle AG,BC8,0.77%
ALSO Holding AG,ALSN,0.77%
Computacenter Plc,CCC,0.76%
Investec plc,INVP,0.76%
AF Poyry AB Class B,AF.B,0.76%
Addtech AB Class B,ADDT.B,0.75%
DSV Panalpina A/S,DSV,0.75%
Raiffeisen Bank International AG,RBI,0.75%
Buzzi Unicem S.p.A.,BZU,0.74%
Hypoport SE,HYQ,0.73%
KION GROUP AG,KGX,0.73%
Kesko Oyj Class B,KESKOB,0.72%
Reply S.p.A.,REY,0.72%
Logitech International S.A.,LOGN,0.71%
HeidelbergCement AG,HEI,0.7%
Netcompany Group A/S,NETC,0.7%
ITV PLC,ITV,0.7%
Adyen NV,ADYEN,0.69%
Stora Enso Oyj Class R,STERV,0.69%
Fortum Oyj,FORTUM,0.69%
ASOS plc,ASC,0.69%
Boliden AB,BOL,0.69%
Leonardo SpA,LDO,0.68%
Kingfisher Plc,KGF,0.68%
Sanofi,SAN,0.68%
Ferguson Plc,FERG,0.67%
Signify NV,LIGHT,0.67%
Inmobiliaria Colonial SOCIMI SA,COL,0.66%
Publicis Groupe SA,PUB,0.66%
Porsche Automobil Holding SE Pref,PAH3,0.65%
United Internet AG,UTDI,0.65%
Societe Generale S.A. Class A,GLE,0.65%
Aegon NV,AGN,0.64%
Volkswagen AG Pref,VOW3,0.63%
A2A S.p.A.,A2A,0.63%
