FEZ: SPDR EURO STOXX 50 ETF
Inception Date: 2002-10-21
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1885070
Shares Outstanding: 44901000
Expense Ratio: 0.29%
Tracks This Index: EURO STOXX 50 Index
ETFdb.com Category: Europe Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FEZ


Holding,Symbol,Weighting
ASML Holding NV,ASML,6.56%
LVMH Moet Hennessy Louis Vuitton SE,MC,5.25%
SAP SE,SAP,4.54%
Linde plc,LIN,4.32%
Total SE,FP,3.63%
Sanofi,SAN,3.48%
Siemens AG,SIE,3.41%
Allianz SE,ALV,3.21%
L\'Oreal SA,OR,2.94%
Iberdrola SA,IBE,2.63%
Schneider Electric SE,SU,2.6%
Enel SpA,ENEL,2.49%
Air Liquide SA,AI,2.46%
BASF SE,BAS,2.3%
adidas AG,ADS,2.15%
Adyen NV,ADYEN,2.06%
Airbus SE,AIR,2.02%
BNP Paribas SA Class A,BNP,1.93%
Deutsche Telekom AG,DTE,1.88%
Daimler AG,DAI,1.88%
Anheuser-Busch InBev SA/NV,ABI,1.86%
Bayer AG,BAYN,1.83%
VINCI SA,DG,1.77%
Kering SA,KER,1.72%
Banco Santander S.A.,SAN,1.71%
Safran S.A.,SAF,1.58%
AXA SA,CS,1.56%
Deutsche Post AG,DPW,1.55%
Koninklijke Philips N.V.,PHIA,1.55%
Prosus N.V. Class N,PRX,1.52%
EssilorLuxottica SA,EL,1.47%
Intesa Sanpaolo S.p.A.,ISP,1.35%
Danone SA,BN,1.35%
Munich Reinsurance Company,MUV2,1.32%
Vonovia SE,VNA,1.23%
Pernod Ricard SA,RI,1.22%
ING Groep NV,INGA,1.15%
"Industria de Diseno Textil, S.A.",ITX,1.12%
Volkswagen AG Pref,VOW3,1.08%
CRH Plc,CRG,1.05%
Amadeus IT Group SA Class A,AMS,1.04%
Kone Oyj Class B,KNEBV,1.04%
Deutsche Boerse AG,DB1,1.03%
Flutter Entertainment Plc,FLTR,1.02%
Koninklijke Ahold Delhaize N.V.,AD,0.92%
ENGIE SA.,ENGI,0.9%
Bayerische Motoren Werke AG,BMW,0.9%
Vivendi SE,VIV,0.88%
Eni S.p.A.,ENI,0.83%
Nokia Oyj,NOKIA,0.65%
U.S. Dollar,Other,0.04%
State Street Institutional Liquid Reserves Fund,SSIXX,0.02%
