FIDI: Fidelity International High Dividend ETF
Inception Date: 2018-01-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	58676
Shares Outstanding: 3200000
Expense Ratio: 0.39%
Tracks This Index: Fidelity® International High Dividend Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FIDI


Holding,Symbol,Weighting
Toyota Motor Corp.,7203,4.02%
Daimler AG,DAI,3.91%
SSE plc,SSE,3.61%
E.ON SE,EOAN,3.45%
"Daito Trust Construction Co., Ltd.",1878,3.19%
Wharf Real Estate Investment Co. Ltd.,1997,3.12%
Bayerische Motoren Werke AG,BMW,3.08%
UBS Group AG,UBSG,2.94%
"Honda Motor Co., Ltd.",7267,2.67%
Klepierre SA,LI,2.57%
Total SE,FP,2.54%
Royal Dutch Shell Plc Class B,RDSB,2.4%
Enbridge Inc.,ENB,2.39%
AGL Energy Limited,AGL,2.36%
Toronto-Dominion Bank,TD,2.27%
Sands China Ltd.,1928,2.22%
"Kansai Electric Power Company, Incorporated",9503,2.2%
Canadian Apartment Properties Real Estate Investment Trust,CAR.UT,2.11%
Australia and New Zealand Banking Group Limited,ANZ,2.07%
"Sumitomo Mitsui Financial Group, Inc.",8316,2.04%
Hongkong Land Holdings Limited,H78,2.0%
DBS Group Holdings Ltd,D05,1.98%
Westpac Banking Corporation,WBC,1.93%
Bank of Nova Scotia,BNS,1.92%
Haseko Corporation,1808,1.85%
Woodside Petroleum Ltd,WPL,1.79%
Canadian Imperial Bank of Commerce,CM,1.76%
"JAPAN POST HOLDINGS Co., Ltd.",6178,1.71%
ING Groep NV,INGA,1.67%
Banco Santander S.A.,SAN,1.67%
BP p.l.c.,BP,1.63%
BOC Hong Kong (Holdings) Limited,2388,1.56%
Repsol SA,REP,1.45%
Inter Pipeline Ltd.,IPL,1.39%
Nestle S.A.,NESN,1.35%
Roche Holding Ltd,ROG,1.1%
Komatsu Ltd.,6301,1.06%
Novartis AG,NOVN,1.05%
Bouygues SA,EN,0.97%
"Mitsui & Co.,Ltd",8031,0.93%
Mitsubishi Corporation,8058,0.9%
Sumitomo Corporation,8053,0.73%
Adecco Group AG,ADEN,0.72%
"Otsuka Holdings Co., Ltd.",4578,0.7%
Astellas Pharma Inc.,4503,0.68%
SNC-Lavalin Group Inc.,SNC,0.65%
Sonic Healthcare Limited,SHL,0.65%
Jardine Matheson Holdings Limited,J36,0.64%
AstraZeneca PLC,AZN,0.64%
Novo Nordisk A/S Class B,NOVO.B,0.59%
Sanofi,SAN,0.55%
Sojitz Corp.,2768,0.54%
British American Tobacco p.l.c.,BATS,0.52%
Woolworths Group Ltd,WOW,0.49%
Japan Tobacco Inc.,2914,0.48%
GlaxoSmithKline plc,GSK,0.46%
"Asahi Group Holdings,Ltd.",2502,0.44%
Babcock International Group PLC,BAB,0.37%
Koninklijke Ahold Delhaize N.V.,AD,0.36%
Wm Morrison Supermarkets plc,MRW,0.34%
Imperial Brands PLC,IMB,0.34%
Bayer AG,BAYN,0.32%
Danone SA,BN,0.32%
Mowi ASA,MOWI,0.24%
Fidelity Revere Street Trust Taxable Cent Cash Fund,Other,0.16%
Orion Oyj Class B,ORNBV,0.15%
ASML Holding NV,ASML,0.14%
Tokyo Electron Ltd.,8035,0.13%
BHP Group Ltd,BHP,0.11%
Rio Tinto plc,RIO,0.11%
BASF SE,BAS,0.1%
EQUITY OTHER,Other,0.09%
BHP Group Plc,BHP,0.09%
Nutrien Ltd.,NTR,0.08%
SUMCO Corporation,3436,0.07%
U.S. Dollar,Other,0.05%
Repsol S.A. Rights 2020-08.01.21 For Shs,REP.D,0.05%
BE Semiconductor Industries N.V.,BESI,0.05%
Venture Corporation Limited,V03,0.04%
Canon Inc.,7751,0.04%
DERIVATIVE SECURITIES (OTHER),Other,-0.05%
