FILL: iShares MSCI Global Energy Producers ETF
Inception Date: 2012-01-31
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	51936
Shares Outstanding: 4000000
Expense Ratio: 0.39%
Tracks This Index: MSCI ACWI Select Energy Producers Investable Market Index
ETFdb.com Category: Energy Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FILL


Holding,Symbol,Weighting
Exxon Mobil Corporation,XOM,11.66%
Chevron Corporation,CVX,10.88%
Total SE,FP,7.29%
Royal Dutch Shell Plc Class A,RDSA,4.86%
BP p.l.c.,BP,4.72%
Royal Dutch Shell Plc Class B,RDSB,4.28%
Reliance Industries Limited,500325,3.01%
ConocoPhillips,COP,2.87%
Reliance Industries Limited Sponsored GDR 144A,RIGD,2.16%
Neste Corporation,NESTE,2.04%
"EOG Resources, Inc.",EOG,1.94%
Oil company LUKOIL PJSC,LKOH,1.94%
Canadian Natural Resources Limited,CNQ,1.9%
Marathon Petroleum Corporation,MPC,1.8%
Eni S.p.A.,ENI,1.78%
Petroleo Brasileiro SA Pfd,PETR4,1.73%
Suncor Energy Inc.,SU,1.71%
Valero Energy Corporation,VLO,1.54%
Petroleo Brasileiro SA,PETR3,1.39%
Saudi Arabian Oil Company (Saudi Aramco),2222,1.38%
Pioneer Natural Resources Company,PXD,1.24%
Woodside Petroleum Ltd,WPL,1.12%
CNOOC Limited,883,1.11%
Equinor ASA,EQNR,1.11%
Occidental Petroleum Corporation,OXY,1.07%
NOVATEK JSC Sponsored GDR RegS,NVTK,1.01%
Repsol SA,REP,0.99%
Hess Corporation,HES,0.98%
Concho Resources Inc.,CXO,0.77%
"ENEOS Holdings, Inc.",5020,0.74%
TATNEFT PJSC,TATN,0.65%
"SK Innovation Co., Ltd",096770,0.65%
Santos Limited,STO,0.57%
"Diamondback Energy, Inc.",FANG,0.51%
Rosneft Oil Co.,ROSN,0.45%
Cabot Oil & Gas Corporation,COG,0.44%
Cenovus Energy Inc.,CVE,0.43%
PetroChina Company Limited Class H,857,0.43%
China Shenhua Energy Co. Ltd. Class H,1088,0.43%
Devon Energy Corporation,DVN,0.4%
OMV AG,OMV,0.4%
Oil Search Limited,OSH,0.38%
INPEX CORPORATION,1605,0.37%
Apache Corporation,APA,0.36%
Cameco Corporation,CCO,0.36%
Marathon Oil Corporation,MRO,0.36%
GALP Energia SGPS SA Class B,GALP,0.36%
Lundin Energy AB,LUNE,0.33%
Imperial Oil Limited,IMO,0.32%
Texas Pacific Land Trust,TPL,0.31%
Polski Koncern Naftowy ORLEN S.A.,PKN,0.31%
PTT Exploration & Production Plc NVDR,PTTEP.R,0.3%
"Parsley Energy, Inc. Class A",PE,0.29%
"Idemitsu Kosan Co., Ltd.",5019,0.27%
HollyFrontier Corporation,HFC,0.27%
Surgutneftegas PJSC Pfd,SNGSP,0.26%
Cimarex Energy Co.,XEC,0.25%
Ovintiv Inc,OVV,0.25%
Bharat Petroleum Corporation Limited,500547,0.23%
Surgutneftegas PJSC,SNGS,0.23%
Tourmaline Oil Corp.,TOU,0.23%
"WPX Energy, Inc.",WPX,0.23%
EQT Corporation,EQT,0.22%
Ecopetrol SA,ECOPETROL,0.22%
Oil & Natural Gas Corp. Ltd.,500312,0.22%
PT United Tractors Tbk,UNTR,0.21%
MOL Hungarian Oil & Gas Plc Class A,MOL,0.2%
S-Oil Corporation,010950,0.19%
Washington H. Soul Pattinson and Co. Ltd.,SOL,0.17%
Indian Oil Corp. Ltd.,530965,0.17%
CNX Resources Corporation,CNX,0.16%
Beach Energy Limited,BPT,0.16%
Exxaro Resources Limited,EXX,0.16%
Coal India Ltd.,533278,0.15%
"PDC Energy, Inc.",PDCE,0.14%
U.S. Dollar,Other,0.13%
Thai Oil Public Co. Ltd. NVDR,TOP.R,0.13%
Hindustan Petroleum Corporation Limited,500104,0.13%
Parex Resources Inc.,PXT,0.13%
Southwestern Energy Company,SWN,0.13%
Husky Energy Inc.,HSE,0.12%
Turkiye Petrol Rafinerileri A.S.,TUPRS,0.12%
Murphy Oil Corporation,MUR,0.12%
PrairieSky Royalty Ltd,PSK,0.11%
ARC Resources Ltd.,ARX,0.11%
Cairn Energy PLC,CNE,0.11%
Banpu Public Co. Ltd. NVDR,BANPU.R,0.1%
BlackRock Cash Funds Prime SL Agency Shares,TBBYL4.F,0.1%
PT Adaro Energy Tbk,ADRO,0.1%
Petro Rio SA,PRIO3,0.1%
"Continental Resources, Inc.",CLR,0.1%
Seven Generations Energy Ltd. Class A,VII,0.1%
Range Resources Corporation,RRC,0.1%
Whitecap Resources Inc.,WCP,0.1%
"IRPC Public Co., Ltd. NVDR",IRPC.R,0.09%
Matador Resources Company,MTDR,0.09%
Whitehaven Coal Limited,WHC,0.08%
Yanzhou Coal Mining Co. Ltd. Class H,1171,0.08%
Antero Resources Corporation,AR,0.08%
Crescent Point Energy Corp.,CPG,0.08%
Delek US Holdings Inc,DK,0.08%
MOTOR OIL (HELLAS) CORINTH REFINERIES S.A.,MOH,0.07%
Paz Oil Co. Ltd.,PZOL,0.07%
Energean Plc,ENOG,0.07%
Grupa LOTOS S.A.,LTS,0.07%
Diversified Gas & Oil PLC,DGOC,0.07%
YPF SA Sponsored ADR Class D,YPF,0.06%
MEG Energy Corp.,MEG,0.06%
Kosmos Energy Ltd.,KOS,0.06%
Magnolia Oil & Gas Corp. Class A,MGY,0.06%
NexGen Energy Ltd.,NXE,0.06%
"Cosmo Energy Holdings Co., Ltd.",5021,0.06%
Bangchak Corporation Public Company Ltd NVDR,BCP.R,0.05%
PT Bukit Asam Tbk,PTBA,0.05%
Dana Gas,DANA,0.05%
PetroChina Company Limited Class A,601857,0.05%
"Shaanxi Coal Industry Co., Ltd. Class A",601225,0.05%
"PBF Energy, Inc. Class A",PBF,0.05%
Rabigh Refining & Petrochemical Co.,2380,0.05%
Vermilion Energy Inc.,VET,0.05%
Enerplus Corporation,ERF,0.05%
"Arch Resources, Inc. Class A",ARCH,0.04%
China Shenhua Energy Co. Ltd. Class A,601088,0.04%
Tullow Oil plc,TLW,0.04%
"Japan Petroleum Exploration Co., Ltd.",1662,0.04%
Viper Energy Partners LP,VNOM,0.04%
Inner Mongolia Yitai Coal Company Limited Class B,900948,0.04%
Equital Ltd.,EQTL,0.04%
Par Pacific Holdings Inc,PARR,0.04%
Star Petroleum Refining Public Co. Ltd. NVDR,SPRC.R,0.03%
Repsol S.A. Rights 2020-08.01.21 For Shs,REP.D,0.03%
Mari Petroleum Co. Ltd.,MARI,0.03%
SARAS S.p.A. - Raffinerie Sarde,SRS,0.03%
New Hope Corporation Limited,NHC,0.03%
"CVR Energy, Inc.",CVI,0.03%
PT Indo Tambangraya Megah Tbk,ITMG,0.03%
Oil Refineries Ltd.,ORL,0.03%
Peyto Exploration & Development Corp.,PEY,0.03%
Canacol Energy Ltd.,CNE,0.03%
Cooper Energy Limited,COE,0.03%
"Brigham Minerals, Inc. Class A",MNRL,0.03%
DNO ASA Class A,DNO,0.03%
Hellenic Petroleum SA,ELPE,0.03%
Oil India Limited,533106,0.03%
Esso Thailand Public Co. Ltd. NVDR,ESSO.R,0.02%
PT Medco Energi Internasional Tbk,MEDC,0.02%
Birchcliff Energy Ltd.,BIR,0.02%
Advantage Oil & Gas Ltd.,AAV,0.02%
Bonanza Creek Energy Inc,BCEI,0.02%
Pakistan Petroleum Limited,PPL,0.02%
Yanzhou Coal Mining Co. Ltd. Class A,600188,0.02%
"Shanxi Coking Coal Energy Group Co., Ltd Class A",000983,0.02%
"Shanxi Meijin Energy Co., Ltd. Class A",000723,0.02%
"Talos Energy, Inc.",TALO,0.02%
Serica Energy PLC,SQZ,0.02%
Semirara Mining & Power Corp.,SCC,0.02%
Oil & Gas Development Co. Ltd.,OGDC,0.02%
Pakistan Oilfields Limited,POL,0.02%
"Guanghui Energy Co., Ltd. Class A",600256,0.02%
Freehold Royalties Ltd.,FRU,0.02%
Naphtha Israel Petroleum Corp Ltd,NFTA,0.01%
Petron Corp.,PCOR,0.01%
Enauta Participacoes S.A.,ENAT3,0.01%
Surgutneftegas PJSC Sponsored ADR,SGGD,0.0%
