FIVA: Fidelity International Value Factor ETF
Inception Date: 2018-01-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	19686
Shares Outstanding: 900000
Expense Ratio: 0.39%
Tracks This Index: Fidelity® International Value Factor Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FIVA


Holding,Symbol,Weighting
Nestle S.A.,NESN,2.3%
Nutrien Ltd.,NTR,1.78%
Roche Holding Ltd,ROG,1.77%
Novartis AG,NOVN,1.69%
Fiat Chrysler Automobiles N.V.,FCA,1.69%
Sony Corporation,6758,1.57%
Shin-Etsu Chemical Co Ltd,4063,1.51%
Rio Tinto Limited,RIO,1.44%
AIA Group Limited,1299,1.41%
UBS Group AG,UBSG,1.38%
Volvo AB Class B,VOLV.B,1.38%
Imperial Brands PLC,IMB,1.38%
Allianz SE,ALV,1.37%
"Industria de Diseno Textil, S.A.",ITX,1.36%
BHP Group Plc,BHP,1.35%
Peugeot SA,UG,1.34%
BASF SE,BAS,1.32%
Bank of Nova Scotia,BNS,1.31%
J Sainsbury plc,SBRY,1.28%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,1.27%
SAP SE,SAP,1.26%
Siemens AG,SIE,1.24%
M&G Plc,MNG,1.21%
Vodafone Group Plc,VOD,1.19%
Aviva plc,AV,1.18%
BNP Paribas SA Class A,BNP,1.18%
Enel SpA,ENEL,1.17%
Itochu Corporation,8001,1.17%
Australia and New Zealand Banking Group Limited,ANZ,1.17%
Canadian National Railway Company,CNR,1.15%
Royal Dutch Shell Plc Class B,RDSB,1.14%
"Hitachi,Ltd.",6501,1.14%
Manulife Financial Corporation,MFC,1.1%
Enbridge Inc.,ENB,1.1%
Panasonic Corporation,6752,1.1%
Compagnie de Saint-Gobain SA,SGO,1.09%
"Mitsubishi UFJ Financial Group, Inc.",8306,1.08%
Mitsubishi Corporation,8058,1.08%
"Honda Motor Co., Ltd.",7267,1.07%
Vonovia SE,VNA,1.05%
Nippon Telegraph and Telephone Corporation,9432,1.04%
KDDI Corporation,9433,1.04%
ING Groep NV,INGA,1.03%
"Seven & I Holdings Co., Ltd.",3382,1.01%
Genting Singapore Limited,G13,1.01%
CSL Limited,CSL,1.01%
Central Japan Railway Company,9022,1.01%
Novo Nordisk A/S Class B,NOVO.B,1.0%
A.P. Moller - Maersk A/S Class B,MAERSK.B,1.0%
"Daiwa House Industry Co., Ltd.",1925,0.98%
Macquarie Group Limited,MQG,0.97%
Telefonica SA,TEF,0.96%
Sodexo SA,SW,0.96%
ORIX Corporation,8591,0.96%
Total SE,FP,0.96%
Fujitsu Limited,6702,0.96%
Bouygues SA,EN,0.94%
Compass Group PLC,CPG,0.94%
Sanofi,SAN,0.94%
Japan Tobacco Inc.,2914,0.94%
iA Financial Corporation Inc.,IAG,0.93%
HeidelbergCement AG,HEI,0.91%
LafargeHolcim Ltd.,LHN,0.91%
ENGIE SA.,ENGI,0.9%
Deutsche Post AG,DPW,0.9%
Jardine Matheson Holdings Limited,J36,0.88%
"Otsuka Holdings Co., Ltd.",4578,0.87%
Wilmar International Limited,F34,0.86%
RELX PLC,REL,0.85%
NEC Corp.,6701,0.85%
"Sekisui House, Ltd.",1928,0.83%
GlaxoSmithKline plc,GSK,0.82%
NN Group N.V.,NN,0.81%
TAISEI CORP,1801,0.81%
Capgemini SE,CAP,0.8%
Actividades de Construccion y Servicios SA,ACS,0.78%
Medipal Holdings Corporation,7459,0.77%
Alfresa Holdings Corporation,2784,0.76%
Obayashi Corporation,1802,0.71%
ams AG,AMS,0.69%
"Chubu Electric Power Company,Incorporated",9502,0.68%
Uniper SE,UN01,0.67%
CGI Inc. Class A,GIB.A,0.67%
BAE Systems plc,BA,0.64%
Dialog Semiconductor plc,DLG,0.64%
Atos SE,ATO,0.63%
Bayer AG,BAYN,0.62%
CK Asset Holdings Limited,1113,0.6%
Merck KGaA,MRK,0.55%
Danone SA,BN,0.55%
BOC Hong Kong (Holdings) Limited,2388,0.53%
Singapore Telecommunications Limited,Z74,0.51%
Koninklijke Ahold Delhaize N.V.,AD,0.46%
Fresenius SE & Co. KGaA,FRE,0.43%
Fresenius Medical Care AG & Co. KGaA,FME,0.42%
Essity AB Class B,ESSITY.B,0.41%
OMV AG,OMV,0.41%
Carrefour SA,CA,0.39%
Fortis Inc.,FTS,0.31%
INPEX CORPORATION,1605,0.31%
Fidelity Revere Street Trust Taxable Cent Cash Fund,Other,0.19%
Siemens Energy AG,ENR,0.16%
U.S. Dollar,Other,0.11%
FIXED INCOME (UNCLASSFIED),Other,0.05%
Canadian Apartment Properties Real Estate Investment Trust,CAR.UT,0.04%
Singapore Telecommunications Limited TEMP,Z77,0.01%
DERIVATIVE SECURITIES (OTHER),Other,-0.04%
