FIW: First Trust ISE Water Index Fund
Inception Date: 2007-05-11
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	688765
Shares Outstanding: 9550000
Expense Ratio: 0.55%
Tracks This Index: ISE Water Index
ETFdb.com Category: Water Equities 
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FIW


Holding,Symbol,Weighting
"IDEXX Laboratories, Inc.",IDXX,4.27%
Xylem Inc.,XYL,4.22%
"Agilent Technologies, Inc.",A,4.01%
Algonquin Power & Utilities Corp.,AQN,3.99%
"Advanced Drainage Systems, Inc.",WMS,3.7%
Ecolab Inc.,ECL,3.69%
"Essential Utilities, Inc.",WTRG,3.69%
IDEX Corporation,IEX,3.68%
AECOM,ACM,3.68%
Danaher Corporation,DHR,3.67%
"Tetra Tech, Inc.",TTEK,3.67%
"American Water Works Company, Inc.",AWK,3.61%
Flowserve Corporation,FLS,3.48%
"Valmont Industries, Inc.",VMI,3.47%
Rexnord Corporation,RXN,3.4%
Pentair plc,PNR,3.39%
"Roper Technologies, Inc.",ROP,3.33%
A. O. Smith Corporation,AOS,3.27%
"Franklin Electric Co., Inc.",FELE,2.93%
"Itron, Inc.",ITRI,2.72%
American States Water Company,AWR,2.61%
"Badger Meter, Inc.",BMI,2.5%
Evoqua Water Technologies Corp,AQUA,2.19%
"Watts Water Technologies, Inc. Class A",WTS,2.12%
Primo Water Corporation,PRMW,2.03%
California Water Service Group,CWT,2.0%
"Mueller Industries, Inc.",MLI,1.99%
"Mueller Water Products, Inc. Class A",MWA,1.9%
Middlesex Water Company,MSEX,1.88%
SJW Group,SJW,1.85%
"Forterra, Inc.",FRTA,1.36%
Lindsay Corporation,LNN,1.35%
Aegion Corporation,AEGN,1.23%
York Water Company,YORW,1.06%
Gorman-Rupp Company,GRC,1.05%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP Sponsored ADR,SBS,0.99%
Morgan Stanley Institutional Liquidity Funds treasury Portfolio Institutional,MISXX,0.04%
U.S. Dollar,Other,0.0%
