FJP: First Trust Japan AlphaDEX Fund
Inception Date: 2011-04-26
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	41135
Shares Outstanding: 800000
Expense Ratio: 0.8%
Tracks This Index: NASDAQ AlphaDEX Japan Index
ETFdb.com Category: Japan Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FJP


Holding,Symbol,Weighting
NIPPON PAINT HOLDINGS CO.LTD.,4612,2.18%
"M3, Inc.",2413,2.07%
"SG Holdings Co., Ltd.",9143,2.03%
"NGK SPARK PLUG CO., LTD.",5334,1.75%
Mitsubishi Corporation,8058,1.72%
NEC Corp.,6701,1.65%
Tosoh Corporation,4042,1.63%
"Nomura Research Institute,Ltd.",4307,1.63%
Taiheiyo Cement Corporation,5233,1.61%
"Kobe Bussan Co., Ltd.",3038,1.59%
COSMOS Pharmaceutical Corporation,3349,1.58%
"Open House Co., Ltd.",3288,1.57%
GMO Internet Inc.,9449,1.57%
"MonotaRO Co., Ltd.",3064,1.53%
K\'S Holdings Corporation,8282,1.5%
Z Holdings Corporation,4689,1.5%
Bridgestone Corporation,5108,1.49%
"Daiwa House Industry Co., Ltd.",1925,1.48%
Oji Holdings Corp.,3861,1.46%
ORIX Corporation,8591,1.45%
"Yaoko Co., Ltd.",8279,1.45%
"Mitsui & Co.,Ltd",8031,1.45%
"Chubu Electric Power Company,Incorporated",9502,1.43%
"Sugi Holdings Co., Ltd.",7649,1.42%
Showa Denko K.K.,4004,1.4%
"IBIDEN CO., LTD.",4062,1.39%
Toyota Tsusho Corp.,8015,1.38%
"Mercari, Inc.",4385,1.36%
Haseko Corporation,1808,1.35%
Nihon M&A Center Inc.,2127,1.33%
"Brother Industries, Ltd.",6448,1.32%
Kajima Corporation,1812,1.31%
"CyberAgent, Inc.",4751,1.27%
INPEX CORPORATION,1605,1.27%
NEC Networks & System Integration Corporation,1973,1.24%
"Net One Systems Co., Ltd.",7518,1.23%
"Toppan Printing Co., Ltd.",7911,1.22%
"Japan Airlines Co., Ltd.",9201,1.22%
"GMO Payment Gateway, Inc.",3769,1.18%
Justsystems Corporation,4686,1.18%
Otsuka Corporation,4768,1.16%
"Chugai Pharmaceutical Co., Ltd.",4519,1.15%
Itochu Techno-Solutions Corporation,4739,1.13%
"Welcia Holdings Co., Ltd.",3141,1.11%
SUBARU CORP,7270,1.11%
Asahi Kasei Corporation,3407,1.1%
Obayashi Corporation,1802,1.09%
"Koei Tecmo Holdings Co., Ltd.",3635,1.09%
Fujitsu Limited,6702,1.08%
"Yamato Holdings Co., Ltd.",9064,1.06%
Shimizu Corporation,1803,1.03%
Olympus Corp.,7733,0.97%
"Honda Motor Co., Ltd.",7267,0.96%
Isuzu Motors Limited,7202,0.91%
"Kansai Electric Power Company, Incorporated",9503,0.87%
"Nippon Television Holdings, Inc.",9404,0.87%
TAISEI CORP,1801,0.83%
Toshiba Corporation,6502,0.8%
Central Japan Railway Company,9022,0.8%
Itochu Corporation,8001,0.79%
"TOHO GAS Co., Ltd.",9533,0.79%
Panasonic Corporation,6752,0.79%
"Mitsubishi Heavy Industries, Ltd.",7011,0.77%
"Tokyo Electric Power Company Holdings, Incorporated",9501,0.77%
"Yamaha Motor Co., Ltd.",7272,0.75%
"AEON Mall Co., Ltd.",8905,0.73%
Oracle Corporation Japan,4716,0.68%
"OBIC Co., Ltd.",4684,0.68%
Nippon Telegraph and Telephone Corporation,9432,0.67%
"Sumitomo Electric Industries, Ltd.",5802,0.67%
"Electric Power Development Co., Ltd.",9513,0.67%
"Fukuoka Financial Group, Inc.",8354,0.65%
COMSYS Holdings Corporation,1721,0.63%
Nippo Corporation,1881,0.63%
"Nitori Holdings Co., Ltd.",9843,0.61%
Mitsubishi UFJ Lease & Finance Company Limited,8593,0.6%
Kinden Corporation,1944,0.58%
TIS Inc.,3626,0.57%
Anritsu Corporation,6754,0.56%
"Chugoku Electric Power Co., Inc.",9504,0.53%
U.S. Dollar,Other,0.52%
"Koito Manufacturing Co., Ltd.",7276,0.5%
SoftBank Group Corp.,9984,0.45%
"Taiyo Yuden Co., Ltd.",6976,0.45%
"AEON Co., Ltd.",8267,0.42%
"AMADA Co., Ltd.",6113,0.4%
"Sumitomo Chemical Co., Ltd.",4005,0.39%
"Iida Group Holdings Co., Ltd.",3291,0.37%
"Nomura Real Estate Holdings, Inc.",3231,0.35%
AGC Inc.,5201,0.35%
"ZOZO, Inc.",3092,0.34%
Sumitomo Corporation,8053,0.33%
"Sekisui House, Ltd.",1928,0.32%
FP Corporation,7947,0.31%
"ONO Pharmaceutical Co., Ltd.",4528,0.29%
KDDI Corporation,9433,0.29%
"JCR Pharmaceuticals Co., Ltd.",4552,0.27%
"TSURUHA Holdings, Inc.",3391,0.27%
"Toyo Suisan Kaisha, Ltd.",2875,0.26%
"Tohoku Electric Power Company, Incorporated",9506,0.26%
"Dai Nippon Printing Co., Ltd.",7912,0.24%
