FLAX: Franklin FTSE Asia ex Japan ETF
Inception Date: 2018-02-06
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	22216
Shares Outstanding: 800000
Expense Ratio: 0.19%
Tracks This Index: FTSE Asian ex Japan Capped Index
ETFdb.com Category: Asia Pacific Equities
Issuer: Franklin Templeton Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FLAX


Holding,Symbol,Weighting
"Taiwan Semiconductor Manufacturing Co., Ltd.",2330,6.35%
Tencent Holdings Ltd.,700,5.84%
Alibaba Group Holding Ltd. Sponsored ADR,BABA,5.74%
"Samsung Electronics Co., Ltd.",005930,4.91%
AIA Group Limited,1299,2.08%
Meituan Class B,3690,1.91%
Reliance Industries Limited,500325,1.19%
"JD.com, Inc. Sponsored ADR Class A",JD,1.08%
"Ping An Insurance (Group) Company of China, Ltd. Class H",2318,1.02%
China Construction Bank Corporation Class H,939,0.99%
Hong Kong Exchanges & Clearing Ltd.,388,0.96%
Infosys Limited,500209,0.87%
Housing Development Finance Corporation Limited,500010,0.85%
"Baidu, Inc. Sponsored ADR Class A",BIDU,0.81%
Xiaomi Corp. Class B,1810,0.8%
SK hynix Inc,000660,0.79%
Samsung Electronics Co Ltd Pfd  Non-Voting,005935,0.78%
NIO Inc. Sponsored ADR Class A,NIO,0.75%
Industrial and Commercial Bank of China Limited Class H,1398,0.72%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,0.71%
MediaTek Inc,2454,0.55%
Wuxi Biologics (Cayman) Inc.,2269,0.54%
Tata Consultancy Services Limited,532540,0.54%
"Hon Hai Precision Industry Co., Ltd.",2317,0.54%
"NetEase, Inc. Sponsored ADR",NTES,0.51%
NAVER Corp.,035420,0.49%
DBS Group Holdings Ltd,D05,0.48%
LG Chem Ltd.,051910,0.48%
"Celltrion, Inc.",068270,0.48%
"Samsung SDI Co., Ltd",006400,0.43%
China Mobile Limited,941,0.42%
Hindustan Unilever Limited,500696,0.41%
"Kweichow Moutai Co., Ltd. Class A",600519,0.41%
TAL Education Group Sponsored ADR Class A,TAL,0.39%
"New Oriental Education & Technology Group, Inc. Sponsored ADR",EDU,0.38%
Bank of China Limited Class H,3988,0.37%
Oversea-Chinese Banking Corporation Limited,O39,0.37%
