FLHY: Franklin Liberty High Yield Corporate ETF
Inception Date: 2018-05-30
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	227470
Shares Outstanding: 8600000
Expense Ratio: 0.4%
Tracks This Index: n/a
ETFdb.com Category: High Yield Bonds
Issuer: Franklin Templeton Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FLHY


Holding,Symbol,Weighting
CORPORATE BOND,Other,6.62%
U.S. Dollar,Other,2.32%
"TransDigm, Inc. 6.25% 15-MAR-2026",Other,1.47%
"Par Pharmaceutical, Inc. 7.5% 01-APR-2027",Other,1.35%
"Williams Scotsman International, Inc. 4.625% 15-AUG-2028",Other,1.33%
Emergent BioSolutions Inc. 3.875% 15-AUG-2028,Other,1.33%
"Gray Escrow, Inc. 7.0% 15-MAY-2027",Other,1.31%
"Bausch Health Americas, Inc. 9.25% 01-APR-2026",Other,1.24%
Comstock Escrow Corp. 9.75% 15-AUG-2026,Other,1.24%
"CSC Holdings, LLC 7.5% 01-APR-2028",Other,1.2%
Ashton Woods (USA) LLC 9.875% 01-APR-2027,Other,1.2%
Ply Gem Midco LLC 8.0% 15-APR-2026,Other,1.17%
Altice France Holding SA 10.5% 15-MAY-2027,Other,1.15%
Element Solutions Inc 3.875% 01-SEP-2028,Other,1.14%
Altice France SA 8.125% 01-FEB-2027,Other,1.13%
"Cheniere Energy, Inc. 4.625% 15-OCT-2028",Other,1.12%
"Spectrum Brands, Inc. 5.5% 15-JUL-2030",Other,1.1%
"HCA, Inc. 3.5% 01-SEP-2030",Other,1.08%
Wynn Las Vegas LLC 5.5% 01-MAR-2025,Other,1.07%
"CVR Energy, Inc. 5.25% 15-FEB-2025",Other,1.07%
"Manitowoc Company, Inc. 9.0% 01-APR-2026",Other,1.06%
Providence Service Corporation 5.875% 15-NOV-2025,Other,1.03%
Weekley Homes LLC 4.875% 15-SEP-2028,Other,1.02%
EQT Corporation 7.875% 01-FEB-2025,Other,1.01%
Trivium Packaging Finance BV 5.5% 15-AUG-2026,Other,0.99%
MPH Acquisition Holdings LLC 5.75% 01-NOV-2028,Other,0.96%
"Owens-Brockway Glass Container, Inc. 5.875% 15-AUG-2023",Other,0.95%
Five Point Operating Co. LP 7.875% 15-NOV-2025,Other,0.94%
CCO Holdings LLC 4.5% 15-AUG-2030,Other,0.94%
Vistra Operations Co. LLC 5.5% 01-SEP-2026,Other,0.93%
ON Semiconductor Corporation 3.875% 01-SEP-2028,Other,0.92%
Park Intermediate Holdings LLC 5.875% 01-OCT-2028,Other,0.9%
ATS Automation Tooling Systems Inc. 4.125% 15-DEC-2028,Other,0.9%
Clear Channel International BV 6.625% 01-AUG-2025,Other,0.89%
"Cheniere Energy Partners, L.P. 4.5% 01-OCT-2029",Other,0.89%
WMG-Acquisition Corp. 3.0% 15-FEB-2031,Other,0.87%
LCPR Senior Secured Financing DAC 6.75% 15-OCT-2027,Other,0.86%
Teva Pharmaceutical Finance Netherlands III BV 3.15% 01-OCT-2026,Other,0.85%
Gates Global LLC 6.25% 15-JAN-2026,Other,0.84%
"Post Holdings, Inc. 4.625% 15-APR-2030",Other,0.84%
"EnLink Midstream Partners, L.P. 4.15% 01-JUN-2025",Other,0.83%
Adient US LLC 7.0% 15-MAY-2026,Other,0.82%
JBS USA Food Company 5.5% 15-JAN-2030,Other,0.82%
Alliant Holdings Intermediate LLC 6.75% 15-OCT-2027,Other,0.81%
Centene Corporation 4.25% 15-DEC-2027,Other,0.8%
Springleaf Finance Corporation 5.375% 15-NOV-2029,Other,0.8%
"BWAY Holding Co., Inc. 7.25% 15-APR-2025",Other,0.76%
"JELD-WEN, Inc. 4.875% 15-DEC-2027",Other,0.75%
Goodyear Tire & Rubber Company 9.5% 31-MAY-2025,Other,0.75%
"Herc Holdings, Inc. 5.5% 15-JUL-2027",Other,0.75%
Clearway Energy Operating LLC 5.0% 15-SEP-2026,Other,0.74%
101178 BC Unlimited Liability Co. 4.0% 15-OCT-2030,Other,0.72%
Crestwood Midstream Partners LP 5.625% 01-MAY-2027,Other,0.7%
"PennyMac Financial Services, Inc. 5.375% 15-OCT-2025",Other,0.7%
Mauser Packaging Solutions 8.5% 15-APR-2024,Other,0.69%
MPT Operating Partnership LP 3.5% 15-MAR-2031,Other,0.69%
Sealed Air Corporation 5.125% 01-DEC-2024,Other,0.68%
"Beacon Roofing Supply, Inc. 4.875% 01-NOV-2025",Other,0.68%
Dana Incorporated 5.625% 15-JUN-2028,Other,0.67%
MPT Operating Partnership LP 5.0% 15-OCT-2027,Other,0.66%
United Shore Financial Services LLC 5.5% 15-NOV-2025,Other,0.66%
"Catalent Pharma Solutions, Inc. 5.0% 15-JUL-2027",Other,0.66%
Apache Corporation 4.875% 15-NOV-2027,Other,0.66%
H.J. Heinz Finance Co. 6.75% 15-MAR-2032,Other,0.65%
Quicken Loans LLC 3.875% 01-MAR-2031,Other,0.65%
Cenovus Energy Inc. 6.75% 15-NOV-2039,Other,0.65%
H.B. Fuller Company 4.25% 15-OCT-2028,Other,0.64%
Rain CII Carbon LLC 7.25% 01-APR-2025,Other,0.63%
Wynn Resorts Finance LLC 7.75% 15-APR-2025,Other,0.63%
"CommScope, Inc. 7.125% 01-JUL-2028",Other,0.62%
"Calumet Specialty Products Partners, L.P. 7.75% 15-APR-2023",Other,0.61%
"Lithia Motors, Inc. 4.625% 15-DEC-2027",Other,0.61%
Radian Group Inc. 6.625% 15-MAR-2025,Other,0.6%
"Global Net Lease, Inc. 3.75% 15-DEC-2027",Other,0.6%
"NMI Holdings, Inc. 7.375% 01-JUN-2025",Other,0.6%
Goodyear Tire & Rubber Company 4.875% 15-MAR-2027,Other,0.59%
Boyd Gaming Corporation 8.625% 01-JUN-2025,Other,0.59%
"H&E Equipment Services, Inc. 3.875% 15-DEC-2028",Other,0.58%
Melco Resorts Finance Ltd. 5.75% 21-JUL-2028,Other,0.57%
Talen Energy Supply LLC 7.625% 01-JUN-2028,Other,0.57%
