FLJP: Franklin FTSE Japan ETF
Inception Date: 2017-11-02
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	604860
Shares Outstanding: 20400000
Expense Ratio: 0.09%
Tracks This Index: FTSE Japan Capped Index
ETFdb.com Category: Japan Equities
Issuer: Franklin Templeton Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FLJP


Holding,Symbol,Weighting
Toyota Motor Corp.,7203,4.27%
Sony Corporation,6758,2.77%
SoftBank Group Corp.,9984,2.56%
Keyence Corporation,6861,2.28%
Shin-Etsu Chemical Co Ltd,4063,1.56%
"Nintendo Co., Ltd.",7974,1.53%
"Daiichi Sankyo Company, Limited",4568,1.46%
"DAIKIN INDUSTRIES, LTD.",6367,1.33%
Nidec Corporation,6594,1.31%
"Recruit Holdings Co., Ltd.",6098,1.26%
Takeda Pharmaceutical Co. Ltd.,4502,1.25%
Tokyo Electron Ltd.,8035,1.24%
"Mitsubishi UFJ Financial Group, Inc.",8306,1.24%
"Murata Manufacturing Co., Ltd.",6981,1.15%
KDDI Corporation,9433,1.13%
HOYA CORPORATION,7741,1.13%
"Honda Motor Co., Ltd.",7267,1.07%
Fanuc Corporation,6954,1.06%
"FAST RETAILING CO., LTD.",9983,1.03%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.89%
"M3, Inc.",2413,0.89%
Itochu Corporation,8001,0.88%
Kao Corp.,4452,0.82%
"Hitachi,Ltd.",6501,0.82%
SMC Corporation,6273,0.79%
SoftBank Corp.,9434,0.77%
"Chugai Pharmaceutical Co., Ltd.",4519,0.77%
"Tokio Marine Holdings, Inc.",8766,0.75%
"Mizuho Financial Group, Inc.",8411,0.72%
Nippon Telegraph and Telephone Corporation,9432,0.71%
"Oriental Land Co., Ltd.",4661,0.69%
Mitsubishi Electric Corp.,6503,0.67%
"Mitsui & Co.,Ltd",8031,0.67%
DERIVATIVE SECURITIES (OTHER),Other,0.66%
Mitsubishi Corporation,8058,0.66%
U.S. Dollar,Other,0.64%
Astellas Pharma Inc.,4503,0.64%
"Seven & I Holdings Co., Ltd.",3382,0.61%
Fujitsu Limited,6702,0.61%
Terumo Corporation,4543,0.6%
"Shiseido Company,Limited",4911,0.6%
DENSO CORPORATION,6902,0.59%
Central Japan Railway Company,9022,0.57%
Komatsu Ltd.,6301,0.56%
Panasonic Corporation,6752,0.55%
Japan Tobacco Inc.,2914,0.54%
East Japan Railway Company,9020,0.54%
Kubota Corporation,6326,0.53%
Olympus Corp.,7733,0.52%
"AEON Co., Ltd.",8267,0.51%
Sysmex Corporation,6869,0.51%
Suzuki Motor Corp.,7269,0.46%
