FLM: First Trust ISE Global Engineering and Construction ETF
Inception Date: 2008-10-13
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	7361
Shares Outstanding: 150000
Expense Ratio: 0.7%
Tracks This Index: ISE Global Engineering and Construction Index
ETFdb.com Category: Building & Construction 
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FLM


Holding,Symbol,Weighting
VINCI SA,DG,3.36%
Bouygues SA,EN,3.29%
Jacobs Engineering Group Inc.,J,3.29%
"Quanta Services, Inc.",PWR,3.28%
Actividades de Construccion y Servicios SA,ACS,3.23%
"MasTec, Inc.",MTZ,3.17%
Skanska AB Class B,SKA.B,3.08%
"KBR, Inc.",KBR,3.0%
Eiffage SA,FGR,2.9%
AECOM,ACM,2.87%
Kingspan Group Plc,KRX,2.79%
TAISEI CORP,1801,2.74%
Kajima Corporation,1812,2.73%
"EMCOR Group, Inc.",EME,2.58%
Kyowa Exeo Corporation,1951,2.55%
COMSYS Holdings Corporation,1721,2.54%
Obayashi Corporation,1802,2.53%
"Dycom Industries, Inc.",DY,2.42%
Shimizu Corporation,1803,2.39%
JGC Holdings Corporation,1963,2.3%
GS Engineering & Construction Corp.,006360,2.29%
Stantec Inc,STN,2.2%
Hochtief AG,HOT,2.16%
Fluor Corporation,FLR,2.12%
Downer EDI Limited,DOW,2.09%
"Penta-Ocean Construction Co., Ltd.",1893,1.86%
Kinden Corporation,1944,1.83%
China Railway Group Limited Class H,390,1.76%
"SHO BOND Holdings Co., Ltd.",1414,1.7%
Balfour Beatty plc,BBY,1.69%
Koninklijke Boskalis Westminster N.V.,BOKA,1.62%
SNC-Lavalin Group Inc.,SNC,1.54%
Peab AB Class B,PEAB.B,1.53%
CIMIC Group Limited,CIM,1.46%
NCC AB Class B,NCC.B,1.34%
"Daewoo Engineering & Construction Co., Ltd",047040,1.27%
Nippo Corporation,1881,1.25%
Granite Construction Incorporated,GVA,1.25%
China State Construction International Holdings Limited,3311,1.23%
"Nishimatsu Construction Co., Ltd.",1820,1.15%
Sacyr S.A.,SCYR,1.14%
Toda Corporation,1860,1.08%
Maeda Corporation,1824,1.02%
Arcadis NV,ARCAD,0.87%
Manila Electric Co.,MER,0.76%
"Kumagai Gumi Co., Ltd.",1861,0.73%
"Kandenko Co., Ltd.",1942,0.67%
U.S. Dollar,Other,0.56%
Tutor Perini Corporation,TPC,0.52%
"Raito Kogyo Co., Ltd.",1926,0.51%
Okumura Corporation,1833,0.43%
YIT Oyj,YIT,0.36%
"Maeda Road Construction Co., Ltd.",1883,0.31%
Monadelphous Group Limited,MND,0.27%
Aecon Group Inc.,ARE,0.19%
Webuild S.p.A.,WBD,0.11%
Chiyoda Corp.,6366,0.08%
