FLMX: Franklin FTSE Mexico ETF
Inception Date: 2017-11-03
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	5372
Shares Outstanding: 250000
Expense Ratio: 0.19%
Tracks This Index: FTSE Mexico Capped Index
ETFdb.com Category: Latin America Equities
Issuer: Franklin Templeton Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FLMX


Holding,Symbol,Weighting
America Movil SAB de CV Class L,AMXL,12.94%
Grupo Financiero Banorte SAB de CV Class O,GFNORTEO,9.54%
Wal-Mart de Mexico SAB de CV,WALMEX,8.75%
Fomento Economico Mexicano SAB de CV Units Cons. Of 1 ShsB And 4 ShsD,FEMSAUBD,8.37%
Grupo Mexico S.A.B. de C.V. Class B,GMEXICOB,8.22%
Cemex SAB de CV Cert Part Ord Repr 2 ShsA & 1 ShsB,CEMEXCPO,4.24%
Grupo Bimbo SAB de CV Class A,BIMBOA,3.4%
Grupo Aeroportuario del Pacifico SAB de CV Class B,GAPB,3.15%
Grupo Elektra SAB de CV,ELEKTRA,3.14%
"Grupo Televisa, S.A.B.",TLEVISACPO,2.9%
Fibra Uno Administracion SA de CV,FUNO11,2.84%
Grupo Aeroportuario del Sureste SA de CV Class B,ASURB,2.34%
Gruma SAB de CV Class B,GRUMAB,2.19%
Coca-Cola Femsa SAB de CV Units Cons of 5 Shs -L- + 3 Shs Series -B-,KOFUBL,2.08%
Orbia Advance Corp. SAB de CV,ORBIA,2.05%
Grupo Aeroportuario del Centro Norte SAB de CV Class B,OMAB,1.87%
Grupo Financiero Inbursa SAB de CV Class O,GFINBURO,1.85%
"Alfa, S.A.B. de C.V. Class A",ALFAA,1.85%
Arca Continental SAB de CV,AC,1.83%
Industrias Penoles SAB de CV,PE&OLES,1.81%
Infraestructura Energetica Nova SAB de CV,IENOVA,1.72%
Promotora y Operadora de Infraestructura SA,PINFRA,1.66%
GMexico Transportes SAB de CV,GMXT,1.59%
Grupo Carso SAB de CV Class A1,GCARSOA1,1.31%
Kimberly-Clark de Mexico SAB de CV Class A,KIMBERA,1.23%
Becle Sab De Cv,CUERVO,1.19%
Telesites SAB de CV Class B,SITESB.1,1.17%
Megacable Hldgs SAB de CV Cert Part Ord Cons of 2 A,MEGACPO,0.94%
Qualitas Controladora S.A.B. de C.V. Class I,Q,0.82%
El Puerto de Liverpool SAB de CV,LIVEPOLC.1,0.6%
Industrias Bachoco SAB de CV Class B,BACHOCOB,0.52%
Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santander Mexico Class B,BSMXB,0.5%
Grupo LALA SAB de CV Class B,LALAB,0.4%
Controladora Nemak SAB de CV,NMKA,0.34%
"Alpek, S.A.B. de C.V. Class A",ALPEKA,0.28%
Concentradora Fibra Danhos SA de CV,DANHOS13,0.24%
U.S. Dollar,Other,0.1%
