FLOT: iShares Floating Rate Bond ETF
Inception Date: 2011-06-14
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	5376550
Shares Outstanding: 106000000
Expense Ratio: 0.2%
Tracks This Index: Barclays Capital U.S. Floating Rate Note < 5 Years Index
ETFdb.com Category: Corporate Bonds
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FLOT


Holding,Symbol,Weighting
MUTUAL FUND (OTHER),Other,5.07%
CORPORATE BOND,Other,1.82%
Asian Development Bank FRN 15-DEC-2021,Other,1.3%
Inter-American Development Bank FRN 15-JUL-2021,Other,1.12%
JPMorgan Chase & Co. FRN 24-OCT-2023,Other,0.99%
"Goldman Sachs Group, Inc. FRN 23-FEB-2023",Other,0.91%
Wells Fargo & Company FRN 11-FEB-2022,Other,0.87%
Morgan Stanley FRN 24-OCT-2023,Other,0.87%
Morgan Stanley FRN 22-JUL-2022,Other,0.83%
International Finance Corporation FRN 15-DEC-2022,Other,0.79%
Standard Chartered PLC FRN 10-SEP-2022,Other,0.78%
"Goldman Sachs Group, Inc. FRN 29-NOV-2023",Other,0.77%
HSBC Holdings Plc FRN 18-MAY-2024,Other,0.74%
AT&T Inc. FRN 12-JUN-2024,Other,0.73%
"Goldman Sachs Group, Inc. FRN 26-APR-2022",Other,0.73%
Pacific Gas and Electric Company FRN 16-JUN-2022,Other,0.72%
European Bank for Reconstruction & Development FRN 11-MAY-2022,Other,0.71%
Morgan Stanley FRN 20-JAN-2022,Other,0.7%
Citigroup Inc. FRN 01-SEP-2023,Other,0.69%
Toronto-Dominion Bank FRN 17-MAR-2021,Other,0.68%
"US Bank Trust, NA (St. Paul, Minnesota) FRN 26-APR-2021",Other,0.64%
Verizon Communications Inc. FRN 16-MAR-2022,Other,0.64%
Svenska Handelsbanken AB FRN 24-MAY-2021,Other,0.62%
Toyota Motor Credit Corporation FRN 13-AUG-2021,Other,0.61%
Daimler Finance North America LLC FRN 15-FEB-2022,Other,0.6%
Citigroup Inc. FRN 25-APR-2022,Other,0.59%
Inter-American Development Bank FRN 15-MAR-2022,Other,0.59%
"PNC Bank, National Association FRN 22-JUL-2022",Other,0.58%
Bank of America Corporation FRN 24-APR-2023,Other,0.58%
Wells Fargo & Company FRN 31-OCT-2023,Other,0.56%
Barclays Plc FRN 16-MAY-2024,Other,0.56%
Wells Fargo & Company FRN 26-JUL-2021,Other,0.53%
"Mizuho Financial Group, Inc. FRN 11-SEP-2022",Other,0.52%
Morgan Stanley FRN 08-MAY-2024,Other,0.52%
Citigroup Inc. FRN 17-MAY-2024,Other,0.52%
JPMorgan Chase & Co. FRN 25-APR-2023,Other,0.5%
Wells Fargo & Company FRN 04-MAR-2021,Other,0.5%
CVS Health Corporation FRN 09-MAR-2021,Other,0.49%
Kommunalbanken AS (Norway) FRN 12-MAR-2021,Other,0.49%
"Mitsubishi UFJ Financial Group, Inc. FRN 26-JUL-2023",Other,0.48%
Inter-American Development Bank FRN 15-JUL-2022,Other,0.48%
"Mizuho Financial Group, Inc. FRN 28-FEB-2022",Other,0.47%
Asian Development Bank FRN 16-JUN-2021,Other,0.47%
International Business Machines Corporation FRN 13-MAY-2021,Other,0.45%
"Citibank, National Association FRN 20-MAY-2022",Other,0.45%
"Mitsubishi UFJ Financial Group, Inc. FRN 25-JUL-2022",Other,0.45%
Dominion Energy Gas Holdings LLC FRN 15-JUN-2021,Other,0.45%
Verizon Communications Inc. FRN 15-MAY-2025,Other,0.44%
Lloyds Banking Group plc FRN 21-JUN-2021,Other,0.44%
International Finance Corporation FRN 15-DEC-2021,Other,0.44%
Duke Energy Corporation FRN 14-MAY-2021,Other,0.43%
"Intercontinental Exchange, Inc. FRN 15-JUN-2023",Other,0.43%
Caterpillar Financial Services Corporation FRN 15-MAR-2021,Other,0.41%
NatWest Group Plc FRN 15-MAY-2023,Other,0.41%
Inter-American Development Bank FRN 25-OCT-2021,Other,0.41%
Chevron Corporation FRN 11-MAY-2023,Other,0.4%
HSBC Holdings Plc FRN 05-JAN-2022,Other,0.4%
Bank of America Corporation FRN 05-MAR-2024,Other,0.39%
Apple Inc. FRN 11-MAY-2022,Other,0.39%
Westpac Banking Corporation FRN 15-MAY-2023,Other,0.38%
"Gilead Sciences, Inc. FRN 29-SEP-2023",Other,0.37%
Landwirtschaftliche Rentenbank FRN 03-JUN-2021,Other,0.37%
