FLQD: Franklin LibertyQ Global Dividend ETF
Inception Date: 2016-06-01
Fund Holdings as of: 2020-12-03
Total Assets Under Management (in thousands):	25264
Shares Outstanding: 800000
Expense Ratio: 0.45%
Tracks This Index: LibertyQ Global Dividend Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Franklin Templeton Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FLQD


Holding,Symbol,Weighting
"Cisco Systems, Inc.",CSCO,2.12%
International Business Machines Corporation,IBM,2.09%
Toronto-Dominion Bank,TD,2.08%
Target Corporation,TGT,2.08%
Novartis AG,NOVN,2.08%
Commonwealth Bank of Australia,CBA,2.06%
Royal Bank of Canada,RY,2.04%
Allianz SE,ALV,2.03%
Qualcomm Inc,QCOM,2.02%
"Maxim Integrated Products, Inc.",MXIM,2.01%
"Paychex, Inc.",PAYX,2.01%
Philip Morris International Inc.,PM,2.01%
"Merck & Co., Inc.",MRK,2.01%
GlaxoSmithKline plc,GSK,2.01%
Macquarie Group Limited,MQG,2.0%
Johnson & Johnson,JNJ,2.0%
Coca-Cola Company,KO,1.99%
Altria Group Inc,MO,1.99%
"Gilead Sciences, Inc.",GILD,1.98%
"Taiwan Semiconductor Manufacturing Co., Ltd.",2330,1.97%
Zurich Insurance Group Ltd,ZURN,1.97%
"United Parcel Service, Inc. Class B",UPS,1.97%
Roche Holding Ltd,ROG,1.96%
Emerson Electric Co.,EMR,1.94%
KDDI Corporation,9433,1.94%
Procter & Gamble Company,PG,1.94%
Kimberly-Clark Corporation,KMB,1.93%
Unilever PLC,UNA,1.91%
Unilever PLC,ULVR,1.9%
Itau Unibanco Holding SA Pfd,ITUB4,1.87%
Cummins Inc.,CMI,1.87%
Kone Oyj Class B,KNEBV,1.86%
Canadian Imperial Bank of Commerce,CM,1.67%
LyondellBasell Industries NV,LYB,1.5%
"Tokio Marine Holdings, Inc.",8766,1.48%
DBS Group Holdings Ltd,D05,1.4%
Qatar National Bank QPSC,QNBK,1.39%
Eaton Corp. Plc,ETN,1.3%
Garmin Ltd.,GRMN,1.29%
ORIX Corporation,8591,1.26%
Legal & General Group Plc,LGEN,1.14%
SGS SA,SGSN,1.13%
Las Vegas Sands Corp.,LVS,1.12%
Seagate Technology PLC,STX,1.08%
Nippon Telegraph and Telephone Corporation,9432,0.92%
Sands China Ltd.,1928,0.9%
Al Rajhi Bank,1120,0.87%
Singapore Telecommunications Limited,Z74,0.83%
ASX Limited,ASX,0.82%
National Commercial Bank CJSC,1180,0.77%
"MS&AD Insurance Group Holdings, Inc.",8725,0.71%
"Daito Trust Construction Co., Ltd.",1878,0.71%
Longfor Group Holdings Ltd.,960,0.7%
Japan Tobacco Inc.,2914,0.67%
Packaging Corporation of America,PKG,0.6%
Hannover Rueck SE,HNR1,0.58%
TATNEFT PJSC,TATN,0.57%
"Sekisui House, Ltd.",1928,0.55%
Nucor Corporation,NUE,0.5%
Elisa Oyj Class A,ELISA,0.5%
UPM-Kymmene Oyj,UPM,0.5%
Spark New Zealand Limited,SPK,0.48%
PT Bank Rakyat Indonesia (Persero) Tbk Class B,BBRI,0.46%
"Fidelity National Financial, Inc. - FNF Group",FNF,0.45%
Chailease Holding Co. Ltd.,5871,0.41%
Smiths Group Plc,SMIN,0.4%
St. James\'s Place Plc,STJ,0.39%
Red Electrica Corp. SA,REE,0.38%
Swisscom AG,SCMN,0.36%
TELUS Corporation,T,0.34%
"China Vanke Co., Ltd Class H",2202,0.34%
Qatar Islamic Bank,QIBK,0.32%
Sonic Healthcare Limited,SHL,0.31%
Tryg A/S,TRYG,0.31%
Schroders PLC,SDR,0.3%
Masraf Al-Rayan QSC,MARK,0.25%
Orion Oyj Class B,ORNBV,0.24%
Venture Corporation Limited,V03,0.23%
Emirates Telecommunications Group Company PJSC,ETISALAT,0.23%
Orkla ASA,ORK,0.22%
Mr Price Group Limited,MRP,0.22%
Vanguard International Semiconductor Co.,5347,0.22%
Proximus SA de droit public,PROX,0.2%
IGM Financial Inc.,IGM,0.19%
Grupo Aeroportuario del Pacifico SAB de CV Class B,GAPB,0.19%
Jarir Marketing Co.,4190,0.18%
Polymetal International Plc,POLY,0.17%
"COWAY Co., Ltd.",021240,0.16%
Sino Land Co. Ltd.,83,0.15%
U.S. Dollar,Other,0.14%
"China Vanke Co., Ltd Class A",000002,0.14%
Far East Horizon Limited,3360,0.13%
"Nomura Real Estate Holdings, Inc.",3231,0.11%
Petronas Gas Bhd.,6033,0.1%
"Lawson, Inc.",2651,0.1%
Rand Merchant Investment Holdings Limited,RMI,0.08%
Ford Otomotiv Sanayi A.S.,FROTO,0.07%
Globe Telecom Inc.,GLO,0.06%
Qatar International Islamic Bank,QIIK,0.06%
Standard Foods Corporation,1227,0.03%
"HUBEI JUMPCAN PHARMACEUTICAL CO., LTD Class A",600566,0.01%
DERIVATIVE SECURITIES (OTHER),Other,-0.23%
