FLQM: Franklin LibertyQ U.S. Mid Cap Equity ETF
Inception Date: 2017-04-26
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	30384
Shares Outstanding: 800000
Expense Ratio: 0.3%
Tracks This Index: LibertyQ U.S. Mid Cap Equity Index
ETFdb.com Category: All Cap Equities
Issuer: Franklin Templeton Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FLQM


Holding,Symbol,Weighting
"Cadence Design Systems, Inc.",CDNS,1.13%
Discover Financial Services,DFS,1.11%
"Synopsys, Inc.",SNPS,1.09%
HP Inc.,HPQ,1.08%
"Align Technology, Inc.",ALGN,1.07%
MSCI Inc. Class A,MSCI,1.06%
"IDEXX Laboratories, Inc.",IDXX,1.05%
KLA Corporation,KLAC,1.0%
Hershey Company,HSY,0.99%
"O\'Reilly Automotive, Inc.",ORLY,0.98%
"Yum China Holdings, Inc.",YUMC,0.97%
Pool Corporation,POOL,0.96%
Trane Technologies plc,TT,0.96%
Clorox Company,CLX,0.96%
"Paychex, Inc.",PAYX,0.96%
Fastenal Company,FAST,0.96%
Cerner Corporation,CERN,0.96%
Mettler-Toledo International Inc.,MTD,0.96%
"Church & Dwight Co., Inc.",CHD,0.96%
Cummins Inc.,CMI,0.95%
"W.W. Grainger, Inc.",GWW,0.95%
Cintas Corporation,CTAS,0.95%
"Rockwell Automation, Inc.",ROK,0.95%
Carrier Global Corp.,CARR,0.95%
"AutoZone, Inc.",AZO,0.94%
"Xilinx, Inc.",XLNX,0.94%
Realty Income Corporation,O,0.93%
Tractor Supply Company,TSCO,0.93%
Kroger Co.,KR,0.93%
Otis Worldwide Corporation,OTIS,0.93%
MarketAxess Holdings Inc.,MKTX,0.93%
"Old Dominion Freight Line, Inc.",ODFL,0.93%
CDW Corp.,CDW,0.92%
Lululemon Athletica Inc,LULU,0.9%
PPL Corporation,PPL,0.9%
Waters Corporation,WAT,0.89%
Synchrony Financial,SYF,0.88%
"Best Buy Co., Inc.",BBY,0.88%
"NetApp, Inc.",NTAP,0.87%
Xylem Inc.,XYL,0.87%
"American Water Works Company, Inc.",AWK,0.86%
"Match Group, Inc.",MTCH,0.86%
"Consolidated Edison, Inc.",ED,0.86%
"VeriSign, Inc.",VRSN,0.84%
"Ventas, Inc.",VTR,0.83%
Ameren Corporation,AEE,0.82%
"Expeditors International of Washington, Inc.",EXPD,0.82%
Garmin Ltd.,GRMN,0.79%
"Citrix Systems, Inc.",CTXS,0.77%
Ulta Beauty Inc,ULTA,0.76%
"Nasdaq, Inc.",NDAQ,0.76%
Tiffany & Co.,TIF,0.75%
"AvalonBay Communities, Inc.",AVB,0.74%
Booz Allen Hamilton Holding Corporation Class A,BAH,0.74%
Kellogg Company,K,0.73%
Fair Isaac Corporation,FICO,0.73%
"Paycom Software, Inc.",PAYC,0.72%
ResMed Inc.,RMD,0.71%
Brown-Forman Corporation Class B,BF.B,0.7%
Cincinnati Financial Corporation,CINF,0.7%
Graco Inc.,GGG,0.67%
Omnicom Group Inc,OMC,0.65%
Avery Dennison Corporation,AVY,0.65%
Genuine Parts Company,GPC,0.65%
Dover Corporation,DOV,0.65%
"C.H. Robinson Worldwide, Inc.",CHRW,0.64%
"West Pharmaceutical Services, Inc.",WST,0.64%
"Arista Networks, Inc.",ANET,0.63%
Masimo Corporation,MASI,0.62%
FactSet Research Systems Inc.,FDS,0.61%
"Fortinet, Inc.",FTNT,0.6%
"NVR, Inc.",NVR,0.6%
"F5 Networks, Inc.",FFIV,0.6%
"Tyler Technologies, Inc.",TYL,0.58%
"Simon Property Group, Inc.",SPG,0.57%
Ally Financial Inc,ALLY,0.57%
"Molina Healthcare, Inc.",MOH,0.56%
"Host Hotels & Resorts, Inc.",HST,0.55%
"Brown & Brown, Inc.",BRO,0.54%
Nordson Corporation,NDSN,0.54%
