FLRU: Franklin FTSE Russia ETF
Inception Date: 2018-02-06
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	8799
Shares Outstanding: 350000
Expense Ratio: 0.19%
Tracks This Index: FTSE Russia Capped Index
ETFdb.com Category: Emerging Markets Equities
Issuer: Franklin Templeton Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FLRU


Holding,Symbol,Weighting
Sberbank Russia PJSC,SBER,15.65%
Gazprom PJSC,GAZP,12.87%
Oil company LUKOIL PJSC,LKOH,10.8%
NOVATEK JSC,NVTK,8.17%
MMC Norilsk Nickel PJSC,GMKN,4.42%
TATNEFT PJSC,TATN,3.41%
Polyus PJSC,PLZL,3.11%
Rosneft Oil Co.,ROSN,3.05%
Magnit PJSC,MGNT,3.03%
Severstal PAO,CHMF,2.8%
Mobile TeleSystems PJSC,MTSS,2.79%
ALROSA PJSC,ALRS,2.78%
Novolipetsk Steel,NLMK,2.68%
Transneft PJSC Pref.,TRNFP,2.55%
VTB Bank PJSC,VTBR,2.51%
Inter RAO UES PJSC,IRAO,2.51%
Moscow Exchange MICEX-RTS PJSC,MOEX,2.5%
Surgutneftegas PJSC Pfd,SNGSP,1.84%
Surgutneftegas PJSC,SNGS,1.48%
PhosAgro PJSC,PHOR,1.47%
Magnitogorsk Iron & Steel Works PJSC,MAGN,1.32%
Rostelecom PJSC,RTKM,1.24%
Federal Hydro-Generating Company - RusHydro PJSC,HYDR,1.2%
United Company RUSAL international PJSC,RUAL,1.2%
Sistema PJSFC,AFKS,1.1%
Aeroflot-Russian Airlines PJSC,AFLT,0.94%
Federal Grid Company of Unified Energy System PUBLIC JOINT-STOCK COMPANY,FEES,0.77%
ROSSETI PJSC,RSTI,0.69%
Unipro PJSC,UPRO,0.39%
TATNEFT PJSC Pref,TATNP,0.31%
Bashneft OJSC Pref.,BANEP,0.3%
MOSENERGO,MSNG,0.22%
U.S. Dollar,Other,-0.13%
