FLSP: Franklin Liberty Systematic Style Premia ETF
Inception Date: 2019-12-18
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	46968
Shares Outstanding: 2400000
Expense Ratio: 0.65%
Tracks This Index: n/a
ETFdb.com Category: Long-Short
Issuer: Franklin Templeton Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FLSP


Holding,Symbol,Weighting
U.S. Dollar,Other,15.3%
EQUITY OTHER,Other,4.49%
Microsoft Corporation,MSFT,2.24%
Alphabet Inc. Class C,GOOG,1.48%
"Facebook, Inc. Class A",FB,1.41%
Intel Corporation,INTC,1.27%
"Amazon.com, Inc.",AMZN,1.27%
Alphabet Inc. Class A,GOOGL,1.26%
Oracle Corporation,ORCL,1.24%
Thermo Fisher Scientific Inc.,TMO,1.22%
Texas Instruments Incorporated,TXN,1.22%
Amgen Inc.,AMGN,1.19%
Danaher Corporation,DHR,1.18%
Procter & Gamble Company,PG,1.18%
"United Parcel Service, Inc. Class B",UPS,1.16%
Adobe Inc.,ADBE,1.12%
"AbbVie, Inc.",ABBV,1.11%
Accenture Plc Class A,ACN,1.03%
McDonald\'s Corporation,MCD,1.01%
Intuit Inc.,INTU,0.98%
"ServiceNow, Inc.",NOW,0.98%
BHP Group Ltd,BHP,0.96%
Target Corporation,TGT,0.92%
"Home Depot, Inc.",HD,0.86%
Rio Tinto plc,RIO,0.86%
Deere & Company,DE,0.82%
"S&P Global, Inc.",SPGI,0.8%
L\'Oreal SA,OR,0.77%
Colgate-Palmolive Company,CL,0.72%
Canadian National Railway Company,CNR,0.72%
"Activision Blizzard, Inc.",ATVI,0.7%
Hong Kong Exchanges & Clearing Ltd.,388,0.68%
"Lowe\'s Companies, Inc.",LOW,0.67%
FedEx Corporation,FDX,0.67%
"Nintendo Co., Ltd.",7974,0.67%
DERIVATIVE SECURITIES (OTHER),Other,0.63%
Walmart Inc.,WMT,0.6%
Vertex Pharmaceuticals Incorporated,VRTX,0.6%
Enel SpA,ENEL,0.56%
Sherwin-Williams Company,SHW,0.55%
BHP Group Plc,BHP,0.55%
Dollar General Corporation,DG,0.54%
UBS Group AG,UBSG,0.54%
BNP Paribas SA Class A,BNP,0.54%
"Regeneron Pharmaceuticals, Inc.",REGN,0.52%
Canadian Pacific Railway Limited,CP,0.51%
Deutsche Post AG,DPW,0.51%
HOYA CORPORATION,7741,0.5%
