FNGU: MicroSectors FANG+™ Index 3X Inverse Leveraged ETN
Inception Date: 2018-01-22
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	1290730
Shares Outstanding: 4500000
Expense Ratio: 0.95%
Tracks This Index: NYSE FANG+ Index (+300%)
ETFdb.com Category: Leveraged Equities
Issuer: BMO Financial Group
Structure: ETN
ETF Home Page: https://etfdb.com/etf/FNGU


Holding,Symbol,Weighting
Twitter Inc,TWTR,12.885%
Tesla Inc,TSLA,12.1656%
Apple Inc,AAPL,9.988%
Facebook Inc,FB,9.8183%
Alphabet Inc,GOOGL,9.7354%
Alibaba Group Holding Ltd,BABA,9.5549%
Netflix Inc,NFLX,9.1816%
Amazon.com Inc,AMZN,9.1524%
Baidu Inc,BIDU,8.9715%
NVIDIA Corp,NVDA,8.5473%
