FNK: First Trust Mid Cap Value AlphaDEX Fund
Inception Date: 2011-04-19
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	35705
Shares Outstanding: 1000000
Expense Ratio: 0.7%
Tracks This Index: Defined Mid Cap Value Index
ETFdb.com Category: Small Cap Value Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FNK


Holding,Symbol,Weighting
Kohl\'s Corporation,KSS,1.23%
"First Citizens BancShares, Inc. Class A",FCNCA,1.05%
"MasTec, Inc.",MTZ,0.94%
"East West Bancorp, Inc.",EWBC,0.92%
Synovus Financial Corp.,SNV,0.89%
"Popular, Inc.",BPOP,0.89%
United Therapeutics Corporation,UTHR,0.89%
Western Alliance Bancorp,WAL,0.88%
"OneMain Holdings, Inc.",OMF,0.88%
Invesco Ltd.,IVZ,0.87%
Jones Lang LaSalle Incorporated,JLL,0.87%
Air Lease Corporation Class A,AL,0.85%
"Pinnacle Financial Partners, Inc.",PNFP,0.84%
"Discovery, Inc. Class A",DISCA,0.83%
Ally Financial Inc,ALLY,0.83%
"Mohawk Industries, Inc.",MHK,0.82%
Jefferies Financial Group Inc.,JEF,0.81%
"Avnet, Inc.",AVT,0.8%
MGIC Investment Corporation,MTG,0.8%
"Federated Hermes, Inc. Class B",FHI,0.8%
MGM Resorts International,MGM,0.8%
"Acadia Healthcare Company, Inc.",ACHC,0.8%
"Equitable Holdings, Inc.",EQH,0.8%
Radian Group Inc.,RDN,0.78%
Marathon Oil Corporation,MRO,0.78%
"Amkor Technology, Inc.",AMKR,0.78%
"Brighthouse Financial, Inc.",BHF,0.77%
Unum Group,UNM,0.77%
"Steel Dynamics, Inc.",STLD,0.75%
Kimco Realty Corporation,KIM,0.75%
TCF Financial Corporation,TCF,0.74%
Pilgrim\'s Pride Corporation,PPC,0.74%
"Universal Health Services, Inc. Class B",UHS,0.74%
SL Green Realty Corp.,SLG,0.73%
Enstar Group Limited,ESGR,0.73%
WestRock Company,WRK,0.72%
Xerox Holdings Corporation,XRX,0.7%
"ALLETE, Inc.",ALE,0.7%
"Zions Bancorporation, N.A.",ZION,0.69%
"NRG Energy, Inc.",NRG,0.69%
Reliance Steel & Aluminum Co.,RS,0.69%
Bank OZK,OZK,0.69%
"Cannae Holdings, Inc.",CNNE,0.68%
Portland General Electric Company,POR,0.68%
Comerica Incorporated,CMA,0.68%
Stifel Financial Corp.,SF,0.68%
Essent Group Ltd.,ESNT,0.67%
Kemper Corporation,KMPR,0.67%
Valley National Bancorp,VLY,0.67%
MDU Resources Group Inc,MDU,0.67%
Macquarie Infrastructure Corporation,MIC,0.66%
Timken Company,TKR,0.65%
Hexcel Corporation,HXL,0.65%
"Brixmor Property Group, Inc.",BRX,0.64%
Huntington Bancshares Incorporated,HBAN,0.64%
DISH Network Corporation Class A,DISH,0.64%
BOK Financial Corporation,BOKF,0.63%
Westlake Chemical Corporation,WLK,0.61%
Vistra Corp.,VST,0.6%
New Jersey Resources Corporation,NJR,0.6%
"New York Community Bancorp, Inc.",NYCB,0.6%
"People\'s United Financial, Inc.",PBCT,0.59%
"CF Industries Holdings, Inc.",CF,0.59%
LKQ Corporation,LKQ,0.59%
Equity Commonwealth,EQC,0.59%
First American Financial Corporation,FAF,0.59%
AMERCO,UHAL,0.59%
"Fidelity National Financial, Inc. - FNF Group",FNF,0.58%
Element Solutions Inc,ESI,0.58%
Signature Bank,SBNY,0.58%
"Sabra Health Care REIT, Inc.",SBRA,0.57%
Howmet Aerospace Inc.,HWM,0.57%
"Nexstar Media Group, Inc. Class A",NXST,0.56%
"Foot Locker, Inc.",FL,0.56%
NorthWestern Corporation,NWE,0.55%
"Acuity Brands, Inc.",AYI,0.55%
Oshkosh Corp,OSK,0.54%
SYNNEX Corporation,SNX,0.54%
Black Hills Corporation,BKH,0.53%
"United Bankshares, Inc.",UBSI,0.53%
"Affiliated Managers Group, Inc.",AMG,0.51%
Pinnacle West Capital Corporation,PNW,0.5%
UGI Corporation,UGI,0.5%
Ingredion Incorporated,INGR,0.49%
"Valmont Industries, Inc.",VMI,0.49%
"Hudson Pacific Properties, Inc.",HPP,0.49%
Molson Coors Beverage Company Class B,TAP,0.48%
"Cullen/Frost Bankers, Inc.",CFR,0.48%
"M.D.C. Holdings, Inc.",MDC,0.47%
"MSC Industrial Direct Co., Inc. Class A",MSM,0.47%
"Murphy USA, Inc.",MUSA,0.47%
Knight-Swift Transportation Holdings Inc. Class A,KNX,0.47%
"Prosperity Bancshares, Inc.(R)",PB,0.47%
"Raymond James Financial, Inc.",RJF,0.46%
BorgWarner Inc.,BWA,0.46%
Regal Beloit Corp,RBC,0.46%
White Mountains Insurance Group Ltd,WTM,0.46%
"Home BancShares, Inc.",HOMB,0.45%
Textron Inc.,TXT,0.45%
HollyFrontier Corporation,HFC,0.45%
"ITT, Inc.",ITT,0.45%
"AutoNation, Inc.",AN,0.45%
"Quanta Services, Inc.",PWR,0.45%
ASGN Inc,ASGN,0.45%
Eaton Vance Corp.,EV,0.44%
Carlisle Companies Incorporated,CSL,0.44%
"Arrow Electronics, Inc.",ARW,0.44%
"Southwest Gas Holdings, Inc.",SWX,0.44%
Athene Holding Ltd. Class A,ATH,0.43%
"Starwood Property Trust, Inc.",STWD,0.43%
"Werner Enterprises, Inc.",WERN,0.43%
"Hanover Insurance Group, Inc.",THG,0.43%
"Allison Transmission Holdings, Inc.",ALSN,0.42%
"Penske Automotive Group, Inc.",PAG,0.42%
Curtiss-Wright Corporation,CW,0.42%
"Toll Brothers, Inc.",TOL,0.41%
"Everest Re Group, Ltd.",RE,0.41%
"Huntington Ingalls Industries, Inc.",HII,0.41%
KB Home,KBH,0.41%
"Reinsurance Group of America, Incorporated",RGA,0.41%
Globe Life Inc.,GL,0.41%
"IDACORP, Inc.",IDA,0.4%
"Grand Canyon Education, Inc.",LOPE,0.4%
Snap-on Incorporated,SNA,0.4%
Sonoco Products Company,SON,0.4%
CACI International Inc Class A,CACI,0.4%
"ONE Gas, Inc.",OGS,0.39%
UniFirst Corporation,UNF,0.39%
"Hawaiian Electric Industries, Inc.",HE,0.37%
Lincoln National Corporation,LNC,0.37%
"Juniper Networks, Inc.",JNPR,0.37%
National Fuel Gas Company,NFG,0.36%
"Woodward, Inc.",WWD,0.35%
Meritage Homes Corporation,MTH,0.35%
Ralph Lauren Corporation Class A,RL,0.35%
Perrigo Co. Plc,PRGO,0.34%
"Dick\'s Sporting Goods, Inc.",DKS,0.34%
"UFP Industries, Inc.",UFPI,0.34%
Lear Corporation,LEA,0.34%
Middleby Corporation,MIDD,0.33%
"Interpublic Group of Companies, Inc.",IPG,0.33%
"Alaska Air Group, Inc.",ALK,0.32%
First Horizon Corporation,FHN,0.32%
"Host Hotels & Resorts, Inc.",HST,0.31%
Gentex Corporation,GNTX,0.31%
"EMCOR Group, Inc.",EME,0.31%
"Clean Harbors, Inc.",CLH,0.31%
"TriNet Group, Inc.",TNET,0.31%
"Selective Insurance Group, Inc.",SIGI,0.3%
"American Financial Group, Inc.",AFG,0.3%
Flowserve Corporation,FLS,0.3%
ManpowerGroup Inc.,MAN,0.29%
Packaging Corporation of America,PKG,0.29%
JetBlue Airways Corporation,JBLU,0.29%
Old Republic International Corporation,ORI,0.29%
"Builders FirstSource, Inc.",BLDR,0.29%
NewMarket Corporation,NEU,0.28%
"Insperity, Inc.",NSP,0.28%
EnerSys,ENS,0.28%
Graphic Packaging Holding Company,GPK,0.28%
"American Campus Communities, Inc.",ACC,0.28%
LCI Industries,LCII,0.28%
Spire Inc.,SR,0.28%
"Voya Financial, Inc.",VOYA,0.28%
Regency Centers Corporation,REG,0.27%
Robert Half International Inc.,RHI,0.27%
"Henry Schein, Inc.",HSIC,0.27%
"National Retail Properties, Inc.",NNN,0.27%
"Primerica, Inc.",PRI,0.27%
"Virtu Financial, Inc. Class A",VIRT,0.26%
"Spirit Realty Capital, Inc.",SRC,0.26%
"Assurant, Inc.",AIZ,0.26%
"MAXIMUS, Inc.",MMS,0.25%
Cboe Global Markets Inc,CBOE,0.25%
Taylor Morrison Home Corporation,TMHC,0.24%
Parsons Corporation,PSN,0.24%
"H&R Block, Inc.",HRB,0.23%
Silgan Holdings Inc.,SLGN,0.23%
"Casey\'s General Stores, Inc.",CASY,0.23%
"Qurate Retail, Inc. Class A",QRTEA,0.2%
"First Solar, Inc.",FSLR,0.18%
"Ormat Technologies, Inc.",ORA,0.18%
South State Corporation,SSB,0.17%
US Foods Holding Corp.,USFD,0.17%
"Harley-Davidson, Inc.",HOG,0.17%
"FLIR Systems, Inc.",FLIR,0.17%
Carnival Corporation,CCL,0.16%
"XPO Logistics, Inc.",XPO,0.16%
Howard Hughes Corporation,HHC,0.16%
Lazard Ltd Class A,LAZ,0.15%
Encompass Health Corporation,EHC,0.15%
"Lincoln Electric Holdings, Inc.",LECO,0.15%
"Lithia Motors, Inc. Class A",LAD,0.15%
IPG Photonics Corporation,IPGP,0.15%
Service Corporation International,SCI,0.14%
"Skechers U.S.A., Inc. Class A",SKX,0.14%
Eagle Materials Inc.,EXP,0.14%
"Blackstone Mortgage Trust, Inc. Class A",BXMT,0.14%
"Aptargroup, Inc.",ATR,0.14%
Jabil Inc.,JBL,0.14%
John Bean Technologies Corporation,JBT,0.14%
"Santander Consumer USA Holdings, Inc.",SC,0.14%
Acushnet Holdings Corp.,GOLF,0.14%
"United Airlines Holdings, Inc.",UAL,0.14%
"ICU Medical, Inc.",ICUI,0.14%
"Tetra Tech, Inc.",TTEK,0.14%
Science Applications International Corp.,SAIC,0.14%
"Commerce Bancshares, Inc.",CBSH,0.14%
Jazz Pharmaceuticals Plc,JAZZ,0.13%
Univar Solutions Inc.,UNVR,0.13%
Axis Capital Holdings Limited,AXS,0.13%
"Community Bank System, Inc.",CBU,0.13%
Alleghany Corporation,Y,0.13%
Huntsman Corporation,HUN,0.13%
JBG SMITH Properties,JBGS,0.13%
"Carter\'s, Inc.",CRI,0.12%
