FREL: Fidelity MSCI Real Estate Index ETF
Inception Date: 2015-02-02
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1189560
Shares Outstanding: 46900000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Real Estate Index
ETFdb.com Category: Real Estate
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FREL


Holding,Symbol,Weighting
American Tower Corporation,AMT,8.03%
"Prologis, Inc.",PLD,5.9%
Crown Castle International Corp,CCI,5.29%
"Equinix, Inc.",EQIX,4.31%
"Digital Realty Trust, Inc.",DLR,3.06%
Public Storage,PSA,3.01%
SBA Communications Corp. Class A,SBAC,2.62%
"Simon Property Group, Inc.",SPG,2.3%
"Welltower, Inc.",WELL,2.22%
Weyerhaeuser Company,WY,2.08%
"AvalonBay Communities, Inc.",AVB,1.86%
"Alexandria Real Estate Equities, Inc.",ARE,1.85%
Equity Residential,EQR,1.81%
"CBRE Group, Inc. Class A",CBRE,1.76%
Realty Income Corporation,O,1.74%
"Ventas, Inc.",VTR,1.53%
"Invitation Homes, Inc.",INVH,1.37%
"Essex Property Trust, Inc.",ESS,1.28%
"Healthpeak Properties, Inc.",PEAK,1.27%
Extra Space Storage Inc.,EXR,1.25%
Duke Realty Corporation,DRE,1.24%
"Mid-America Apartment Communities, Inc.",MAA,1.21%
"Sun Communities, Inc.",SUI,1.2%
"Boston Properties, Inc.",BXP,1.16%
VICI Properties Inc,VICI,1.04%
W. P. Carey Inc.,WPC,1.02%
"Medical Properties Trust, Inc.",MPW,0.98%
"UDR, Inc.",UDR,0.93%
"Equity LifeStyle Properties, Inc.",ELS,0.92%
"Host Hotels & Resorts, Inc.",HST,0.86%
Camden Property Trust,CPT,0.81%
"Gaming and Leisure Properties, Inc.",GLPI,0.77%
"CyrusOne, Inc.",CONE,0.72%
American Homes 4 Rent Class A,AMH,0.71%
"Iron Mountain, Inc.",IRM,0.71%
"Omega Healthcare Investors, Inc.",OHI,0.7%
"VEREIT, Inc.",VER,0.69%
STORE Capital Corporation,STOR,0.68%
Jones Lang LaSalle Incorporated,JLL,0.66%
Regency Centers Corporation,REG,0.65%
Americold Realty Trust,COLD,0.64%
Lamar Advertising Company Class A,LAMR,0.62%
"National Retail Properties, Inc.",NNN,0.6%
CubeSmart,CUBE,0.56%
Kimco Realty Corporation,KIM,0.55%
Redfin Corporation,RDFN,0.54%
Apartment Income REIT Corp,AIRC,0.52%
Federal Realty Investment Trust,FRT,0.51%
"Rexford Industrial Realty, Inc.",REXR,0.51%
"Healthcare Trust of America, Inc. Class A",HTA,0.51%
"American Campus Communities, Inc.",ACC,0.51%
Kilroy Realty Corporation,KRC,0.5%
Vornado Realty Trust,VNO,0.5%
"Life Storage, Inc.",LSI,0.48%
"EastGroup Properties, Inc.",EGP,0.47%
"First Industrial Realty Trust, Inc.",FR,0.46%
"Brixmor Property Group, Inc.",BRX,0.42%
Cousins Properties Incorporated,CUZ,0.42%
CoreSite Realty Corporation,COR,0.41%
"STAG Industrial, Inc.",STAG,0.41%
State Str Instl Invt Tr Treaplu Inv Cl G,TPVXX,0.4%
"Douglas Emmett, Inc",DEI,0.4%
SL Green Realty Corp.,SLG,0.37%
MGM Growth Properties LLC Class A,MGP,0.36%
"Spirit Realty Capital, Inc.",SRC,0.36%
"Park Hotels & Resorts, Inc.",PK,0.36%
"Highwoods Properties, Inc.",HIW,0.35%
Terreno Realty Corporation,TRNO,0.35%
Healthcare Realty Trust Incorporated,HR,0.33%
JBG SMITH Properties,JBGS,0.33%
Rayonier Inc.,RYN,0.33%
"QTS Realty Trust, Inc. Class A",QTS,0.32%
"Ryman Hospitality Properties, Inc.",RHP,0.32%
"Hudson Pacific Properties, Inc.",HPP,0.32%
"Sabra Health Care REIT, Inc.",SBRA,0.31%
Physicians Realty Trust,DOC,0.31%
PotlatchDeltic Corporation,PCH,0.31%
Agree Realty Corporation,ADC,0.29%
Howard Hughes Corporation,HHC,0.29%
Equity Commonwealth,EQC,0.28%
"National Health Investors, Inc.",NHI,0.27%
Corporate Office Properties Trust,OFC,0.25%
OUTFRONT Media Inc.,OUT,0.25%
Lexington Realty Trust,LXP,0.24%
Apple Hospitality REIT Inc,APLE,0.24%
"PS Business Parks, Inc.",PSB,0.23%
Weingarten Realty Investors,WRI,0.23%
Pebblebrook Hotel Trust,PEB,0.22%
EPR Properties,EPR,0.22%
RLJ Lodging Trust,RLJ,0.22%
"Colony Capital, Inc. Class A",CLNY,0.22%
"Sunstone Hotel Investors, Inc.",SHO,0.22%
National Storage Affiliates Trust,NSA,0.21%
Uniti Group Inc.,UNIT,0.2%
"Essential Properties Realty Trust, Inc.",EPRT,0.19%
"Kennedy-Wilson Holdings, Inc.",KW,0.19%
"Four Corners Property Trust, Inc.",FCPT,0.19%
CareTrust REIT Inc,CTRE,0.19%
Brandywine Realty Trust,BDN,0.18%
"eXp World Holdings, Inc.",EXPI,0.18%
"Piedmont Office Realty Trust, Inc. Class A",PDM,0.17%
"Retail Properties of America, Inc. Class A",RPAI,0.17%
Service Properties Trust,SVC,0.17%
Monmouth Real Estate Investment Corporation Class A,MNR,0.16%
"Xenia Hotels & Resorts, Inc.",XHR,0.16%
Realogy Holdings Corp.,RLGY,0.15%
