FRI: First Trust S&P REIT Index Fund
Inception Date: 2007-05-08
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	74342
Shares Outstanding: 3200000
Expense Ratio: 0.5%
Tracks This Index: S&P United States REIT Index
ETFdb.com Category: Real Estate
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FRI


Holding,Symbol,Weighting
"Prologis, Inc.",PLD,8.09%
"Equinix, Inc.",EQIX,7.04%
"Digital Realty Trust, Inc.",DLR,4.32%
Public Storage,PSA,3.82%
"Simon Property Group, Inc.",SPG,3.1%
"Welltower, Inc.",WELL,2.93%
"AvalonBay Communities, Inc.",AVB,2.48%
"Alexandria Real Estate Equities, Inc.",ARE,2.41%
Realty Income Corporation,O,2.4%
Equity Residential,EQR,2.25%
"Ventas, Inc.",VTR,2.0%
"Invitation Homes, Inc.",INVH,1.83%
"Sun Communities, Inc.",SUI,1.79%
"Healthpeak Properties, Inc.",PEAK,1.77%
"Essex Property Trust, Inc.",ESS,1.7%
Duke Realty Corporation,DRE,1.63%
Extra Space Storage Inc.,EXR,1.63%
"Mid-America Apartment Communities, Inc.",MAA,1.6%
VICI Properties Inc,VICI,1.51%
"Boston Properties, Inc.",BXP,1.47%
W. P. Carey Inc.,WPC,1.36%
"Medical Properties Trust, Inc.",MPW,1.27%
"UDR, Inc.",UDR,1.24%
"Equity LifeStyle Properties, Inc.",ELS,1.17%
"Host Hotels & Resorts, Inc.",HST,1.14%
Camden Property Trust,CPT,1.07%
"Gaming and Leisure Properties, Inc.",GLPI,1.01%
"CyrusOne, Inc.",CONE,0.96%
"Iron Mountain, Inc.",IRM,0.94%
"Omega Healthcare Investors, Inc.",OHI,0.91%
"",Other,0.89%
American Homes 4 Rent Class A,AMH,0.89%
STORE Capital Corporation,STOR,0.86%
Americold Realty Trust,COLD,0.83%
Regency Centers Corporation,REG,0.8%
"National Retail Properties, Inc.",NNN,0.78%
CubeSmart,CUBE,0.72%
Kimco Realty Corporation,KIM,0.71%
"Rexford Industrial Realty, Inc.",REXR,0.7%
Kilroy Realty Corporation,KRC,0.66%
Vornado Realty Trust,VNO,0.66%
Federal Realty Investment Trust,FRT,0.65%
"Healthcare Trust of America, Inc. Class A",HTA,0.65%
"Life Storage, Inc.",LSI,0.64%
"American Campus Communities, Inc.",ACC,0.64%
Apartment Income REIT Corp,AIRC,0.64%
"First Industrial Realty Trust, Inc.",FR,0.6%
"EastGroup Properties, Inc.",EGP,0.6%
CoreSite Realty Corporation,COR,0.59%
Cousins Properties Incorporated,CUZ,0.55%
"Brixmor Property Group, Inc.",BRX,0.53%
"Douglas Emmett, Inc",DEI,0.53%
"STAG Industrial, Inc.",STAG,0.52%
"Spirit Realty Capital, Inc.",SRC,0.49%
SL Green Realty Corp.,SLG,0.47%
Healthcare Realty Trust Incorporated,HR,0.45%
"Highwoods Properties, Inc.",HIW,0.45%
"QTS Realty Trust, Inc. Class A",QTS,0.45%
Innovative Industrial Properties Inc,IIPR,0.45%
"Park Hotels & Resorts, Inc.",PK,0.44%
Terreno Realty Corporation,TRNO,0.44%
Agree Realty Corporation,ADC,0.41%
"Sabra Health Care REIT, Inc.",SBRA,0.4%
Physicians Realty Trust,DOC,0.4%
"Ryman Hospitality Properties, Inc.",RHP,0.4%
"Hudson Pacific Properties, Inc.",HPP,0.4%
JBG SMITH Properties,JBGS,0.38%
