FSTA: Fidelity MSCI Consumer Staples Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	908809
Shares Outstanding: 22350000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Consumer Staples Index
ETFdb.com Category: Consumer Staples Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FSTA


Holding,Symbol,Weighting
Procter & Gamble Company,PG,15.13%
Coca-Cola Company,KO,9.68%
"PepsiCo, Inc.",PEP,8.93%
Walmart Inc.,WMT,8.81%
Philip Morris International Inc.,PM,4.71%
Costco Wholesale Corporation,COST,4.34%
"Mondelez International, Inc. Class A",MDLZ,3.82%
Colgate-Palmolive Company,CL,3.21%
Altria Group Inc,MO,3.18%
Estee Lauder Companies Inc. Class A,EL,2.73%
Kimberly-Clark Corporation,KMB,2.16%
Monster Beverage Corporation,MNST,1.76%
Sysco Corporation,SYY,1.72%
"Constellation Brands, Inc. Class A",STZ,1.68%
"General Mills, Inc.",GIS,1.62%
Walgreens Boots Alliance Inc,WBA,1.43%
Archer-Daniels-Midland Company,ADM,1.34%
Clorox Company,CLX,1.22%
Kroger Co.,KR,1.22%
Brown-Forman Corporation Class B,BF.B,1.17%
"McCormick & Company, Incorporated",MKC,1.11%
Kraft Heinz Company,KHC,1.1%
Hershey Company,HSY,1.06%
"Church & Dwight Co., Inc.",CHD,1.06%
"Tyson Foods, Inc. Class A",TSN,0.89%
"Conagra Brands, Inc.",CAG,0.85%
Kellogg Company,K,0.77%
Hormel Foods Corporation,HRL,0.67%
J.M. Smucker Company,SJM,0.63%
"Lamb Weston Holdings, Inc.",LW,0.58%
Darling Ingredients Inc.,DAR,0.57%
"Boston Beer Company, Inc. Class A",SAM,0.53%
Bunge Limited,BG,0.48%
Campbell Soup Company,CPB,0.44%
Molson Coors Beverage Company Class B,TAP,0.42%
Freshpet Inc,FRPT,0.39%
US Foods Holding Corp.,USFD,0.37%
"Casey\'s General Stores, Inc.",CASY,0.36%
"Post Holdings, Inc.",POST,0.34%
Herbalife Nutrition Ltd.,HLF,0.32%
Performance Food Group Company,PFGC,0.31%
Ingredion Incorporated,INGR,0.28%
"BJ\'s Wholesale Club Holdings, Inc.",BJ,0.28%
WD-40 Company,WDFC,0.27%
"Hain Celestial Group, Inc.",HAIN,0.26%
"Medifast, Inc.",MED,0.25%
"Spectrum Brands Holdings, Inc.",SPB,0.25%
"Flowers Foods, Inc.",FLO,0.24%
Keurig Dr Pepper Inc.,KDP,0.23%
Lancaster Colony Corporation,LANC,0.22%
Simply Good Foods Co,SMPL,0.21%
"Nu Skin Enterprises, Inc. Class A",NUS,0.19%
"PriceSmart, Inc.",PSMT,0.18%
"Sanderson Farms, Inc.",SAFM,0.17%
"Energizer Holdings, Inc.",ENR,0.17%
"Sprouts Farmers Markets, Inc.",SFM,0.16%
"Hostess Brands, Inc. Class A",TWNK,0.15%
J & J Snack Foods Corp.,JJSF,0.15%
Rite Aid Corporation,RAD,0.14%
"TreeHouse Foods, Inc.",THS,0.14%
Edgewell Personal Care Co.,EPC,0.14%
"B&G Foods, Inc.",BGS,0.14%
National Beverage Corp.,FIZZ,0.13%
Vector Group Ltd.,VGR,0.13%
Central Garden & Pet Company Class A,CENTA,0.13%
Coty Inc. Class A,COTY,0.12%
State Str Instl Invt Tr Treaplu Inv Cl G,TPVXX,0.11%
"Inter Parfums, Inc.",IPAR,0.11%
"Coca-Cola Consolidated, Inc.",COKE,0.11%
Universal Corp,UVV,0.1%
"Cal-Maine Foods, Inc.",CALM,0.1%
"Weis Markets, Inc.",WMK,0.1%
"United Natural Foods, Inc.",UNFI,0.1%
SpartanNash Company,SPTN,0.1%
"USANA Health Sciences, Inc.",USNA,0.1%
"e.l.f. Beauty, Inc.",ELF,0.1%
"Chefs\' Warehouse, Inc.",CHEF,0.09%
"Ingles Markets, Incorporated Class A",IMKTA,0.09%
Turning Point Brands Inc,TPB,0.09%
Pilgrim\'s Pride Corporation,PPC,0.09%
"Calavo Growers, Inc.",CVGW,0.09%
"John B. Sanfilippo & Son, Inc.",JBSS,0.08%
Fresh Del Monte Produce Inc.,FDP,0.08%
"Andersons, Inc.",ANDE,0.08%
Central Garden & Pet Company,CENT,0.07%
"MGP Ingredients, Inc.",MGPI,0.07%
Seaboard Corporation,SEB,0.07%
"Tootsie Roll Industries, Inc.",TR,0.06%
Landec Corporation,LNDC,0.05%
"Village Super Market, Inc. Class A",VLGEA,0.03%
Grocery Outlet Holding Corp.,GO,0.03%
U.S. Dollar,Other,0.02%
"Vital Farms, Inc.",VITL,0.01%
UTZ Brands Inc Class A,UTZ,0.01%
"Beyond Meat, Inc.",BYND,0.01%
"BellRing Brands, Inc. Class A",BRBR,0.01%
"Celsius Holdings, Inc.",CELH,0.01%
