FSZ: First Trust Switzerland AlphaDEX Fund
Inception Date: 2012-02-14
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	97353
Shares Outstanding: 1600000
Expense Ratio: 0.8%
Tracks This Index: NASDAQ AlphaDEX Switzerland Index
ETFdb.com Category: Europe Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FSZ


Holding,Symbol,Weighting
Bachem Holding AG Class B,BANB,5.71%
Bucher Industries AG,BUCN,5.25%
Logitech International S.A.,LOGN,4.89%
Swatch Group Ltd. Bearer,UHR,4.42%
Flughafen Zurich AG,FHZN,4.34%
LafargeHolcim Ltd.,LHN,4.08%
DKSH Holding AG,DKSH,3.8%
ALSO Holding AG,ALSN,3.78%
BKW AG,BKW,3.34%
SFS Group AG,SFSN,3.33%
Credit Suisse Group AG,CSGN,3.23%
Lonza Group AG,LONN,3.15%
Givaudan SA,GIVN,2.99%
Vontobel Holding AG,VONN,2.95%
Sika AG,SIKA,2.84%
Swiss Prime Site AG,SPSN,2.76%
Tecan Group AG,TECN,2.72%
Swisscom AG,SCMN,2.69%
U.S. Dollar,Other,2.61%
Partners Group Holding AG,PGHN,2.56%
Swiss Life Holding AG,SLHN,2.44%
UBS Group AG,UBSG,2.41%
PSP Swiss Property AG,PSPN,2.29%
Helvetia Holding Ltd,HELN,2.16%
Georg Fischer AG,FI.N,1.96%
Kuehne & Nagel International AG,KNIN,1.79%
VAT Group AG,VACN,1.78%
VZ Holding AG,VZN,1.62%
Baloise-Holding AG,BALN,1.52%
Allreal Holding AG,ALLN,1.51%
Novartis AG,NOVN,1.4%
Galenica AG,GALE,1.23%
Compagnie Financiere Richemont SA,CFR,0.93%
Julius Baer Gruppe AG,BAER,0.9%
Sonova Holding AG,SOON,0.85%
EMS-CHEMIE HOLDING AG,EMSN,0.83%
Zurich Insurance Group Ltd,ZURN,0.78%
Emmi AG,EMMN,0.77%
Banque Cantonale Vaudoise,BCVN,0.73%
Roche Holding Ltd,ROG,0.65%
