FTRI: First Trust Indxx Global Natural Resources Income ETF
Inception Date: 2010-03-11
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	8822
Shares Outstanding: 750000
Expense Ratio: 0.7%
Tracks This Index: Indxx Global Natural Resources Income Index
ETFdb.com Category: Commodity Producers Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FTRI


Holding,Symbol,Weighting
BHP Group Plc Sponsored ADR,BBL,10.32%
Rio Tinto plc Sponsored ADR,RIO,10.31%
Anglo American plc,AAL,8.47%
ConocoPhillips,COP,8.46%
Fortescue Metals Group Ltd,FMG,5.05%
Canadian Natural Resources Limited,CNQ,4.4%
Archer-Daniels-Midland Company,ADM,4.39%
MMC Norilsk Nickel PJSC,GMKN,4.38%
Nutrien Ltd.,NTR,4.33%
International Paper Company,IP,4.24%
"Tyson Foods, Inc. Class A",TSN,3.28%
CNOOC Limited Sponsored ADR,CEO,3.11%
TATNEFT PJSC,TATN,2.35%
China Steel Corporation,2002,2.26%
United Utilities Group PLC,UU,1.87%
"CF Industries Holdings, Inc.",CF,1.83%
Severn Trent Plc,SVT,1.68%
Yara International ASA,YAR,1.59%
Cenovus Energy Inc.,CVE,1.41%
Pennon Group Plc,PNN,1.2%
Guangdong Investment Limited,270,1.13%
Lundin Energy AB,LUNE,1.02%
Kumba Iron Ore Limited,KIO,0.97%
INPEX CORPORATION,1605,0.94%
PTT Exploration & Production Plc,PTTEP,0.86%
Ovintiv Inc,OVV,0.86%
ICL Group Ltd.,ICL,0.77%
Tourmaline Oil Corp.,TOU,0.77%
SalMar ASA,SALM,0.67%
Premium Brands Holdings Corp,PBH,0.64%
Aker BP ASA,AKRBP,0.6%
Glanbia Plc,GL9,0.57%
Exxaro Resources Limited,EXX,0.54%
Ferrexpo plc,FXPO,0.48%
Centamin plc,CEY,0.46%
Aperam SA,APAM,0.44%
PhosAgro PJSC,PHOR,0.44%
African Rainbow Minerals Limited,ARI,0.42%
Domtar Corporation,UFS,0.38%
Magnitogorsk Iron & Steel Works PJSC,MAGN,0.3%
"Taiwan Fertilizer Co., Ltd.",1722,0.3%
"TA Chen Stainless Pipe Co., Ltd.",2027,0.28%
U.S. Dollar,Other,0.27%
"Nippon Light Metal Holdings Co., Ltd.",5703,0.17%
"Itoham Yonekyu Holdings, Inc.",2296,0.15%
China Water Affairs Group Limited,855,0.13%
Delek Drilling LP,DEDR.L,0.13%
TTW Public Company Limited,TTW,0.12%
Oil India Limited,533106,0.12%
"Japan Petroleum Exploration Co., Ltd.",1662,0.11%
China Zhongwang Holdings Ltd.,1333,0.06%
