FTXG: First Trust Nasdaq Food & Beverage ETF
Inception Date: 2016-09-21
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	2332
Shares Outstanding: 100000
Expense Ratio: 0.6%
Tracks This Index: Nasdaq U.S. Smart Food & Beverage Index
ETFdb.com Category: Consumer Staples Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FTXG


Holding,Symbol,Weighting
Darling Ingredients Inc.,DAR,9.42%
Archer-Daniels-Midland Company,ADM,8.0%
J.M. Smucker Company,SJM,7.88%
"General Mills, Inc.",GIS,7.75%
"Medifast, Inc.",MED,7.54%
Ingredion Incorporated,INGR,4.08%
"Boston Beer Company, Inc. Class A",SAM,4.08%
"Mondelez International, Inc. Class A",MDLZ,4.03%
Corteva Inc,CTVA,4.0%
Molson Coors Beverage Company Class B,TAP,3.96%
"Conagra Brands, Inc.",CAG,3.93%
Hormel Foods Corporation,HRL,3.92%
"Tyson Foods, Inc. Class A",TSN,3.89%
Campbell Soup Company,CPB,3.88%
Kellogg Company,K,3.84%
Bunge Limited,BG,1.49%
Monster Beverage Corporation,MNST,1.42%
"Post Holdings, Inc.",POST,1.41%
"Constellation Brands, Inc. Class A",STZ,1.4%
Herbalife Nutrition Ltd.,HLF,1.39%
"Lamb Weston Holdings, Inc.",LW,1.39%
Kraft Heinz Company,KHC,1.38%
US Foods Holding Corp.,USFD,1.37%
Coca-Cola Company,KO,1.36%
Hershey Company,HSY,1.36%
"PepsiCo, Inc.",PEP,1.33%
Brown-Forman Corporation Class B,BF.B,1.29%
"Sanderson Farms, Inc.",SAFM,1.25%
"Beyond Meat, Inc.",BYND,1.2%
"McCormick & Company, Incorporated",MKC,0.67%
U.S. Dollar,Other,0.08%
