FUD: E-TRACS UBS Bloomberg CMCI Food ETN
Inception Date: 2008-04-01
Fund Holdings as of: 2020-09-25
Total Assets Under Management (in thousands):	6320
Shares Outstanding: 368000
Expense Ratio: 0.65%
Tracks This Index: UBS Bloomberg CMCI Food Index Total Return
ETFdb.com Category: Agricultural Commodities
Issuer: UBS
Structure: ETN
ETF Home Page: https://etfdb.com/etf/FUD


Holding,Symbol,Weighting
Sugar,FSB,24.47%
Soybean,S,18.53%
Corn,C,15.69%
Wheat,W,10.27%
Live Cattle,LC,7.36%
Soybean Oil,BO,7.0%
Lean Hogs,LH,5.09%
Soybean Meal,SM,4.72%
Coffee 'C',KC,3.97%
Cocoa,CC,2.9%
