FVD: First Trust Value Line Dividend Index
Inception Date: 2003-08-26
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	10148600
Shares Outstanding: 289191000
Expense Ratio: 0.7%
Tracks This Index: Value Line Dividend Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FVD


Holding,Symbol,Weighting
Infosys Limited Sponsored ADR,INFY,0.58%
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM,0.57%
Novartis AG Sponsored ADR,NVS,0.57%
"Avnet, Inc.",AVT,0.57%
Intel Corporation,INTC,0.57%
"ALLETE, Inc.",ALE,0.57%
Sanofi SA Sponsored ADR,SNY,0.56%
GlaxoSmithKline plc Sponsored ADR,GSK,0.56%
Unilever PLC Sponsored ADR,UL,0.56%
NorthWestern Corporation,NWE,0.56%
OGE Energy Corp.,OGE,0.56%
Lancaster Colony Corporation,LANC,0.56%
NiSource Inc,NI,0.56%
Fresenius Medical Care AG & Co. KGaA Sponsored ADR,FMS,0.55%
ABB Ltd. Sponsored ADR,ABB,0.55%
SAP SE Sponsored ADR,SAP,0.55%
NewMarket Corporation,NEU,0.55%
"Evergy, Inc.",EVRG,0.55%
American States Water Company,AWR,0.55%
Allstate Corporation,ALL,0.55%
Pinnacle West Capital Corporation,PNW,0.55%
CMS Energy Corporation,CMS,0.55%
Black Hills Corporation,BKH,0.55%
"Analog Devices, Inc.",ADI,0.55%
Atmos Energy Corporation,ATO,0.55%
Cboe Global Markets Inc,CBOE,0.55%
Target Corporation,TGT,0.55%
"Goldman Sachs Group, Inc.",GS,0.55%
CVS Health Corporation,CVS,0.55%
"Gilead Sciences, Inc.",GILD,0.55%
Rogers Communications Inc. Class B,RCI.B,0.55%
Johnson & Johnson,JNJ,0.55%
"Merck & Co., Inc.",MRK,0.55%
JPMorgan Chase & Co.,JPM,0.55%
Sun Life Financial Inc.,SLF,0.55%
"PNC Financial Services Group, Inc.",PNC,0.55%
Avista Corporation,AVA,0.55%
New Jersey Resources Corporation,NJR,0.55%
PPL Corporation,PPL,0.55%
Chesapeake Utilities Corporation,CPK,0.55%
TE Connectivity Ltd.,TEL,0.55%
Northwest Natural Holding Co.,NWN,0.55%
Spire Inc.,SR,0.55%
"Essential Utilities, Inc.",WTRG,0.55%
MDU Resources Group Inc,MDU,0.55%
"Commerce Bancshares, Inc.",CBSH,0.55%
U.S. Bancorp,USB,0.55%
M&T Bank Corporation,MTB,0.55%
Toyota Motor Corp. Sponsored ADR,TM,0.54%
Astrazeneca PLC Sponsored ADR,AZN,0.54%
Diageo plc Sponsored ADR,DEO,0.54%
Duke Energy Corporation,DUK,0.54%
"Avangrid, Inc.",AGR,0.54%
"Air Products and Chemicals, Inc.",APD,0.54%
Crown Castle International Corp,CCI,0.54%
Coca-Cola Company,KO,0.54%
Toronto-Dominion Bank,TD,0.54%
Bank of New York Mellon Corporation,BK,0.54%
American Tower Corporation,AMT,0.54%
Bank of Hawaii Corporation,BOH,0.54%
Garmin Ltd.,GRMN,0.54%
J.M. Smucker Company,SJM,0.54%
Packaging Corporation of America,PKG,0.54%
"Mondelez International, Inc. Class A",MDLZ,0.54%
Texas Instruments Incorporated,TXN,0.54%
Otter Tail Corporation,OTTR,0.54%
Medtronic Plc,MDT,0.54%
Comcast Corporation Class A,CMCSA,0.54%
Kellogg Company,K,0.54%
Shaw Communications Inc. Class B,SJR.B,0.54%
Xcel Energy Inc.,XEL,0.54%
Norfolk Southern Corporation,NSC,0.54%
Avery Dennison Corporation,AVY,0.54%
Quest Diagnostics Incorporated,DGX,0.54%
Alliant Energy Corp,LNT,0.54%
Campbell Soup Company,CPB,0.54%
Union Pacific Corporation,UNP,0.54%
Open Text Corporation,OTEX,0.54%
Hershey Company,HSY,0.54%
"Motorola Solutions, Inc.",MSI,0.54%
Archer-Daniels-Midland Company,ADM,0.54%
Thomson Reuters Corporation,TRI,0.54%
Sensient Technologies Corporation,SXT,0.54%
Eversource Energy,ES,0.54%
BCE Inc.,BCE,0.54%
Fortis Inc.,FTS,0.54%
TELUS Corporation,T,0.54%
"Hartford Financial Services Group, Inc.",HIG,0.54%
"Assurant, Inc.",AIZ,0.54%
Amdocs Limited,DOX,0.54%
Caterpillar Inc.,CAT,0.54%
"General Mills, Inc.",GIS,0.54%
WEC Energy Group Inc,WEC,0.54%
Entergy Corporation,ETR,0.54%
"BlackRock, Inc.",BLK,0.54%
UGI Corporation,UGI,0.54%
Procter & Gamble Company,PG,0.54%
Abbott Laboratories,ABT,0.54%
International Business Machines Corporation,IBM,0.54%
Starbucks Corporation,SBUX,0.54%
Royal Bank of Canada,RY,0.54%
AT&T Inc.,T,0.54%
DTE Energy Company,DTE,0.54%
Bank of Nova Scotia,BNS,0.54%
Canadian National Railway Company,CNR,0.54%
"Consolidated Edison, Inc.",ED,0.54%
"Juniper Networks, Inc.",JNPR,0.54%
Novo Nordisk A/S Sponsored ADR Class B,NVO,0.53%
Eli Lilly and Company,LLY,0.53%
"Prologis, Inc.",PLD,0.53%
AmerisourceBergen Corporation,ABC,0.53%
Kimberly-Clark Corporation,KMB,0.53%
"Dow, Inc.",DOW,0.53%
Clorox Company,CLX,0.53%
