FXH: First Trust Health Care AlphaDEX Fund
Inception Date: 2007-05-08
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	1432860
Shares Outstanding: 13300000
Expense Ratio: 0.62%
Tracks This Index: StrataQuant Health Care Index
ETFdb.com Category: Health & Biotech Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FXH


Holding,Symbol,Weighting
"Teladoc Health, Inc.",TDOC,2.8%
United Therapeutics Corporation,UTHR,2.7%
NovoCure Ltd.,NVCR,2.57%
"Universal Health Services, Inc. Class B",UHS,2.24%
"Viatris, Inc.",VTRS,2.22%
"Avantor, Inc.",AVTR,2.16%
Cigna Corporation,CI,2.16%
"Guardant Health, Inc.",GH,2.02%
10x Genomics Inc Class A,TXG,2.0%
Royalty Pharma Plc Class A,RPRX,1.98%
"Bio-Rad Laboratories, Inc. Class A",BIO,1.98%
"Charles River Laboratories International, Inc.",CRL,1.96%
HCA Healthcare Inc,HCA,1.86%
Repligen Corporation,RGEN,1.83%
Exact Sciences Corporation,EXAS,1.79%
"IDEXX Laboratories, Inc.",IDXX,1.78%
Humana Inc.,HUM,1.77%
"Amedisys, Inc.",AMED,1.74%
Veeva Systems Inc Class A,VEEV,1.73%
"Acadia Healthcare Company, Inc.",ACHC,1.72%
"Anthem, Inc.",ANTM,1.68%
Horizon Therapeutics Public Limited Company,HZNP,1.66%
"PerkinElmer, Inc.",PKI,1.65%
"Align Technology, Inc.",ALGN,1.62%
"Henry Schein, Inc.",HSIC,1.61%
"Moderna, Inc.",MRNA,1.59%
Thermo Fisher Scientific Inc.,TMO,1.52%
Biogen Inc.,BIIB,1.52%
Insulet Corporation,PODD,1.51%
Pfizer Inc.,PFE,1.5%
"West Pharmaceutical Services, Inc.",WST,1.47%
"Varian Medical Systems, Inc.",VAR,1.45%
DaVita Inc.,DVA,1.37%
Boston Scientific Corporation,BSX,1.31%
"Seagen, Inc.",SGEN,1.22%
"Molina Healthcare, Inc.",MOH,1.19%
"Tandem Diabetes Care, Inc.",TNDM,1.17%
"ABIOMED, Inc.",ABMD,1.15%
Adaptive Biotechnologies Corp.,ADPT,1.15%
UnitedHealth Group Incorporated,UNH,1.13%
"Intuitive Surgical, Inc.",ISRG,1.13%
"Hologic, Inc.",HOLX,1.11%
Acceleron Pharma Inc,XLRN,1.11%
Laboratory Corporation of America Holdings,LH,1.09%
Centene Corporation,CNC,1.07%
Abbott Laboratories,ABT,1.01%
"SAGE Therapeutics, Inc.",SAGE,1.0%
"Zoetis, Inc. Class A",ZTS,0.99%
Perrigo Co. Plc,PRGO,0.98%
"Alexion Pharmaceuticals, Inc.",ALXN,0.97%
Encompass Health Corporation,EHC,0.9%
"Syneos Health, Inc. Class A",SYNH,0.9%
"DexCom, Inc.",DXCM,0.87%
Quidel Corporation,QDEL,0.87%
"Agilent Technologies, Inc.",A,0.83%
"Hill-Rom Holdings, Inc.",HRC,0.83%
Masimo Corporation,MASI,0.8%
IQVIA Holdings Inc,IQV,0.8%
Medtronic Plc,MDT,0.79%
Edwards Lifesciences Corporation,EW,0.79%
STERIS Plc,STE,0.76%
Quest Diagnostics Incorporated,DGX,0.75%
Johnson & Johnson,JNJ,0.75%
Bristol-Myers Squibb Company,BMY,0.72%
"Merck & Co., Inc.",MRK,0.69%
"Alnylam Pharmaceuticals, Inc",ALNY,0.62%
"Exelixis, Inc.",EXEL,0.6%
Haemonetics Corporation,HAE,0.46%
Globus Medical Inc Class A,GMED,0.43%
Bio-Techne Corporation,TECH,0.43%
"PRA Health Sciences, Inc.",PRAH,0.41%
"AbbVie, Inc.",ABBV,0.4%
Teleflex Incorporated,TFX,0.4%
"Sarepta Therapeutics, Inc.",SRPT,0.39%
"ICU Medical, Inc.",ICUI,0.39%
Jazz Pharmaceuticals Plc,JAZZ,0.38%
"Cardinal Health, Inc.",CAH,0.38%
Stryker Corporation,SYK,0.38%
Chemed Corporation,CHE,0.37%
Premier Inc. Class A,PINC,0.36%
"Cooper Companies, Inc.",COO,0.36%
Amgen Inc.,AMGN,0.3%
"Penumbra, Inc.",PEN,0.3%
"Regeneron Pharmaceuticals, Inc.",REGN,0.29%
Vertex Pharmaceuticals Incorporated,VRTX,0.28%
Morgan Stanley Institutional Liquidity Funds treasury Portfolio Institutional,MISXX,0.08%
U.S. Dollar,Other,0.0%
