FYC: First Trust Small Cap Growth AlphaDEX Fund
Inception Date: 2011-04-19
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	261936
Shares Outstanding: 4250000
Expense Ratio: 0.7%
Tracks This Index: Defined Small Cap Growth Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FYC


Holding,Symbol,Weighting
"Stitch Fix, Inc. Class A",SFIX,1.02%
Cerence Inc.,CRNC,1.02%
"TPI Composites, Inc.",TPIC,0.96%
Plug Power Inc.,PLUG,0.94%
Appian Corporation Class A,APPN,0.87%
Twist Bioscience Corp.,TWST,0.86%
"Calix, Inc.",CALX,0.81%
"Intellia Therapeutics, Inc.",NTLA,0.81%
"Endurance International Group Holdings, Inc.",EIGI,0.81%
"Domo, Inc. Class B",DOMO,0.8%
Sleep Number Corporation,SNBR,0.8%
"Digital Turbine, Inc.",APPS,0.79%
"Upwork, Inc.",UPWK,0.76%
"Ameresco, Inc. Class A",AMRC,0.75%
"TG Therapeutics, Inc.",TGTX,0.75%
"eXp World Holdings, Inc.",EXPI,0.75%
Bloom Energy Corporation Class A,BE,0.75%
"CareDx, Inc.",CDNA,0.74%
Altra Industrial Motion Corp.,AIMC,0.73%
Sunnova Energy International Inc,NOVA,0.73%
"Maxar Technologies, Inc.",MAXR,0.72%
"Coeur Mining, Inc.",CDE,0.72%
"Forterra, Inc.",FRTA,0.71%
"Trupanion, Inc.",TRUP,0.71%
"Crocs, Inc.",CROX,0.71%
Realogy Holdings Corp.,RLGY,0.69%
R1 RCM Inc,RCM,0.67%
"Mr. Cooper Group, Inc.",COOP,0.67%
Michaels Companies Inc,MIK,0.67%
Infinera Corporation,INFN,0.66%
"Shockwave Medical, Inc.",SWAV,0.66%
"TechTarget, Inc.",TTGT,0.66%
"Ensign Group, Inc.",ENSG,0.65%
"Phreesia, Inc.",PHR,0.65%
"ACM Research, Inc. Class A",ACMR,0.64%
Evolent Health Inc Class A,EVH,0.64%
Avaya Holdings Corp.,AVYA,0.62%
"Sonos, Inc.",SONO,0.6%
"PJT Partners, Inc. Class A",PJT,0.6%
"Virtus Investment Partners, Inc.",VRTS,0.6%
"Goosehead Insurance, Inc. Class A",GSHD,0.6%
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",HASI,0.59%
Vista Outdoor Inc,VSTO,0.59%
"Smith & Wesson Brands, Inc.",SWBI,0.58%
"Medifast, Inc.",MED,0.58%
St. Joe Company,JOE,0.58%
"Covetrus, Inc.",CVET,0.57%
"BrightSphere Investment Group, Inc.",BSIG,0.57%
Denali Therapeutics Inc.,DNLI,0.57%
"NanoString Technologies, Inc.",NSTG,0.57%
"Gibraltar Industries, Inc.",ROCK,0.57%
"RealReal, Inc.",REAL,0.57%
"Owens & Minor, Inc.",OMI,0.56%
"Cardlytics, Inc.",CDLX,0.56%
Scientific Games Corporation,SGMS,0.56%
Innovative Industrial Properties Inc,IIPR,0.56%
"1-800-FLOWERS.COM, Inc. Class A",FLWS,0.54%
Range Resources Corporation,RRC,0.53%
"Avis Budget Group, Inc.",CAR,0.53%
"Shutterstock, Inc.",SSTK,0.52%
"Focus Financial Partners, Inc. Class A",FOCS,0.52%
"At Home Group, Inc.",HOME,0.52%
"GenMark Diagnostics, Inc.",GNMK,0.52%
"TTEC Holdings, Inc.",TTEC,0.52%
Quanterix Corporation,QTRX,0.51%
"FormFactor, Inc.",FORM,0.5%
"Installed Building Products, Inc.",IBP,0.5%
"Editas Medicine, Inc.",EDIT,0.5%
"Artisan Partners Asset Management, Inc. Class A",APAM,0.5%
Callaway Golf Company,ELY,0.5%
Rent-A-Center Inc,RCII,0.5%
"Simulations Plus, Inc.",SLP,0.49%
Evoqua Water Technologies Corp,AQUA,0.49%
"Comfort Systems USA, Inc.",FIX,0.49%
"CryoPort, Inc.",CYRX,0.49%
"Sangamo Therapeutics, Inc.",SGMO,0.49%
"Air Transport Services Group, Inc.",ATSG,0.49%
"B&G Foods, Inc.",BGS,0.49%
Malibu Boats Inc Class A,MBUU,0.49%
"Patterson Companies, Inc.",PDCO,0.48%
"National Vision Holdings, Inc.",EYE,0.48%
"Upland Software, Inc.",UPLD,0.48%
"Workiva, Inc. Class A",WK,0.47%
"Patrick Industries, Inc.",PATK,0.47%
"Axonics Modulation Technologies, Inc.",AXNX,0.47%
"Big Lots, Inc.",BIG,0.47%
ANGI Homeservices Inc Class A,ANGI,0.46%
"Meridian Bioscience, Inc.",VIVO,0.46%
StoneX Group Inc.,SNEX,0.45%
"Atlas Air Worldwide Holdings, Inc.",AAWW,0.45%
"CEVA, Inc.",CEVA,0.45%
"United Natural Foods, Inc.",UNFI,0.45%
Jack in the Box Inc.,JACK,0.45%
Endo International Plc,ENDP,0.45%
"PGT Innovations, Inc.",PGTI,0.45%
"Camping World Holdings, Inc. Class A",CWH,0.44%
Uniti Group Inc.,UNIT,0.44%
"PagerDuty, Inc.",PD,0.44%
"PetIQ, Inc. Class A",PETQ,0.43%
"Veritex Holdings, Inc.",VBTX,0.43%
O-I Glass Inc,OI,0.43%
"Perficient, Inc.",PRFT,0.43%
"Silk Road Medical, Inc.",SILK,0.43%
Corcept Therapeutics Incorporated.,CORT,0.43%
"8x8, Inc.",EGHT,0.43%
"Astec Industries, Inc.",ASTE,0.42%
Veracyte Inc,VCYT,0.42%
Heska Corporation,HSKA,0.42%
"Palomar Holdings, Inc.",PLMR,0.42%
"Vocera Communications, Inc.",VCRA,0.42%
"CommScope Holding Co., Inc.",COMM,0.42%
"NextGen Healthcare, Inc.",NXGN,0.41%
"Compass Minerals International, Inc.",CMP,0.41%
"CSW Industrials, Inc.",CSWI,0.41%
Griffon Corporation,GFF,0.41%
Inseego Corp.,INSG,0.41%
"Kratos Defense & Security Solutions, Inc.",KTOS,0.4%
"nLIGHT, Inc.",LASR,0.4%
"e.l.f. Beauty, Inc.",ELF,0.4%
Altair Engineering Inc. Class A,ALTR,0.4%
"Pacira Biosciences, Inc.",PCRX,0.39%
"Flagstar Bancorp, Inc.",FBC,0.39%
Central Garden & Pet Company Class A,CENTA,0.39%
"NantKwest, Inc.",NK,0.39%
"Altimmune, Inc.",ALT,0.38%
NexPoint Residential Trust Inc,NXRT,0.37%
"ExlService Holdings, Inc.",EXLS,0.37%
"Merit Medical Systems, Inc.",MMSI,0.36%
Kadant Inc.,KAI,0.36%
Addus HomeCare Corporation,ADUS,0.36%
"NMI Holdings, Inc. Class A",NMIH,0.36%
CorVel Corporation,CRVL,0.36%
"Pluralsight, Inc. Class A",PS,0.35%
"Watts Water Technologies, Inc. Class A",WTS,0.35%
"RadNet, Inc.",RDNT,0.35%
"MacroGenics, Inc.",MGNX,0.35%
"Winnebago Industries, Inc.",WGO,0.34%
"Health Catalyst, Inc.",HCAT,0.34%
"Franklin Electric Co., Inc.",FELE,0.34%
"Arvinas, Inc.",ARVN,0.34%
Vicor Corporation,VICR,0.34%
"Ambarella, Inc.",AMBA,0.34%
"Arcturus Therapeutics Holdings, Inc.",ARCT,0.33%
"PDF Solutions, Inc.",PDFS,0.33%
Rite Aid Corporation,RAD,0.33%
Safehold Inc.,SAFE,0.33%
Workhorse Group Inc.,WKHS,0.33%
Skyline Champion Corp.,SKY,0.32%
"FARO Technologies, Inc.",FARO,0.32%
Plexus Corp.,PLXS,0.32%
"EVERTEC, Inc.",EVTC,0.32%
Six Flags Entertainment Corporation,SIX,0.32%
"BioTelemetry, Inc.",BEAT,0.31%
"USANA Health Sciences, Inc.",USNA,0.31%
MaxLinear inc,MXL,0.3%
Industrial Logistics Properties Trust,ILPT,0.3%
Commercial Metals Company,CMC,0.3%
"Arcus Biosciences, Inc.",RCUS,0.3%
iRobot Corporation,IRBT,0.3%
"Model N, Inc.",MODN,0.29%
SmileDirectClub Inc Class A,SDC,0.29%
"Travere Therapeutics, Inc.",TVTX,0.29%
"MEDNAX, Inc.",MD,0.29%
Umpqua Holdings Corporation,UMPQ,0.28%
"Translate Bio, Inc.",TBIO,0.28%
"EverQuote, Inc. Class A",EVER,0.28%
"PRA Group, Inc.",PRAA,0.28%
"Mersana Therapeutics, Inc.",MRSN,0.28%
"Wyndham Destinations, Inc.",WYND,0.28%
Transocean Ltd.,RIG,0.28%
Glaukos Corp,GKOS,0.28%
"Vapotherm, Inc.",VAPO,0.28%
"Inovalon Holdings, Inc. Class A",INOV,0.27%
"Coherus BioSciences, Inc.",CHRS,0.27%
"Badger Meter, Inc.",BMI,0.27%
"Athenex, Inc.",ATNX,0.27%
Moelis & Co. Class A,MC,0.26%
Verra Mobility Corp. Class A,VRRM,0.26%
Lindsay Corporation,LNN,0.26%
Southwestern Energy Company,SWN,0.26%
"Shake Shack, Inc. Class A",SHAK,0.25%
AppFolio Inc Class A,APPF,0.25%
"Sorrento Therapeutics, Inc.",SRNE,0.25%
National Bank Holdings Corporation Class A,NBHC,0.24%
Progress Software Corporation,PRGS,0.24%
ServisFirst Bancshares Inc,SFBS,0.23%
"Karyopharm Therapeutics, Inc.",KPTI,0.23%
Glu Mobile Inc.,GLUU,0.23%
"World Wrestling Entertainment, Inc. Class A",WWE,0.23%
Option Care Health Inc,OPCH,0.23%
"Sturm, Ruger & Company, Inc.",RGR,0.22%
"Redwood Trust, Inc.",RWT,0.22%
"GCP Applied Technologies, Inc.",GCP,0.22%
"CSG Systems International, Inc.",CSGS,0.22%
Federal Signal Corporation,FSS,0.22%
SJW Group,SJW,0.22%
"Four Corners Property Trust, Inc.",FCPT,0.22%
"Revance Therapeutics, Inc.",RVNC,0.21%
Premier Inc. Class A,PINC,0.21%
"Yext, Inc.",YEXT,0.21%
National Storage Affiliates Trust,NSA,0.21%
KKR Real Estate Finance Trust Inc.,KREF,0.21%
"EVO Payments, Inc. Class A",EVOP,0.21%
OneSpan Inc.,OSPN,0.2%
"Cavco Industries, Inc.",CVCO,0.19%
Community Healthcare Trust Incorporated,CHCT,0.19%
"Cytokinetics, Incorporated",CYTK,0.18%
"OraSure Technologies, Inc.",OSUR,0.18%
Luminex Corp,LMNX,0.18%
"eHealth, Inc.",EHTH,0.17%
Brink\'s Company,BCO,0.16%
"Esperion Therapeutics, Inc.",ESPR,0.15%
Cimarex Energy Co.,XEC,0.15%
"New York Mortgage Trust, Inc.",NYMT,0.14%
"AeroVironment, Inc.",AVAV,0.14%
"Helios Technologies, Inc.",HLIO,0.14%
"American Axle & Manufacturing Holdings, Inc.",AXL,0.14%
"AtriCure, Inc.",ATRC,0.13%
"U.S. Physical Therapy, Inc.",USPH,0.13%
"Zuora, Inc. Class A",ZUO,0.13%
Lakeland Financial Corporation,LKFN,0.13%
NIC Inc.,EGOV,0.13%
Independent Bank Corp.,INDB,0.13%
Heron Therapeutics Inc,HRTX,0.13%
"CommVault Systems, Inc.",CVLT,0.13%
"Douglas Dynamics, Inc.",PLOW,0.12%
"Bottomline Technologies (de), Inc.",EPAY,0.12%
"Supernus Pharmaceuticals, Inc.",SUPN,0.12%
"Ironwood Pharmaceuticals, Inc. Class A",IRWD,0.12%
California Water Service Group,CWT,0.12%
iStar Inc.,STAR,0.12%
Monmouth Real Estate Investment Corporation Class A,MNR,0.12%
"Stock Yards Bancorp, Inc.",SYBT,0.12%
ESCO Technologies Inc.,ESE,0.12%
"Dicerna Pharmaceuticals, Inc.",DRNA,0.12%
Vector Group Ltd.,VGR,0.12%
"Innoviva, Inc.",INVA,0.12%
City Holding Company,CHCO,0.12%
Rambus Inc.,RMBS,0.12%
CareTrust REIT Inc,CTRE,0.12%
"Cornerstone Ondemand, Inc.",CSOD,0.11%
"Essential Properties Realty Trust, Inc.",EPRT,0.11%
"Xencor, Inc.",XNCR,0.11%
Hamilton Lane Incorporated Class A,HLNE,0.11%
Tennant Company,TNC,0.11%
"Cardiovascular Systems, Inc.",CSII,0.11%
Cerus Corporation,CERS,0.11%
"Independence Realty Trust, Inc.",IRT,0.11%
"Mesa Laboratories, Inc.",MLAB,0.11%
"AssetMark Financial Holdings, Inc.",AMK,0.11%
PennyMac Mortgage Investment Trust,PMT,0.1%
"Comstock Resources, Inc.",CRK,0.1%
Office Properties Income Trust,OPI,0.1%
"Tabula Rasa Healthcare, Inc.",TRHC,0.1%
"Easterly Government Properties, Inc.",DEA,0.1%
Global Net Lease Inc,GNL,0.1%
Amphastar Pharmaceuticals Inc,AMPH,0.1%
Chase Corporation,CCF,0.1%
"US Ecology, Inc.",ECOL,0.1%
Centerspace,CSR,0.1%
Shenandoah Telecommunications Company,SHEN,0.09%
OrthoPediatrics Corp.,KIDS,0.08%
U.S. Dollar,Other,-0.01%
