FYLD: Cambria Foreign Shareholder Yield ETF
Inception Date: 2013-12-03
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	25525
Shares Outstanding: 1050000
Expense Ratio: 0.59%
Tracks This Index: n/a
ETFdb.com Category: Global Equities
Issuer: Cambria
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FYLD


Holding,Symbol,Weighting
Fortescue Metals Group Ltd,FMG,1.86%
Betsson AB Class B,BETS.B,1.82%
Rio Tinto plc,RIO,1.76%
Magna International Inc.,MG,1.75%
Munich Reinsurance Company,MUV2,1.74%
U.S. Dollar,Other,1.66%
Zurich Insurance Group Ltd,ZURN,1.55%
Stora Enso Oyj Class R(Alien Mkt),STE.R,1.53%
Rexel SA,RXL,1.52%
"Mitsubishi Gas Chemical Company, Inc.",4182,1.51%
KDDI Corporation,9433,1.49%
Shougang Fushan Resources Group Limited,639,1.46%
Nitto Denko Corp.,6988,1.46%
South32 Ltd.,S32,1.43%
BHP Group Ltd,BHP,1.33%
ageas SA/NV,AGS,1.31%
Barratt Developments PLC,BDEV,1.3%
Seven Generations Energy Ltd. Class A,VII,1.29%
Nokian Renkaat Oyj,TYRES,1.29%
Solvay SA,SOLB,1.27%
KunLun Energy Co. Ltd.,135,1.26%
Teck Resources Limited Class B,TECK.B,1.25%
Scandinavian Tobacco Group A/S,STG,1.24%
NN Group N.V.,NN,1.23%
Labrador Iron Ore Royalty Corporation,LIF,1.23%
Inchcape plc,INCH,1.2%
Glencore plc,GLEN,1.17%
UMS Holdings Limited,558,1.15%
LafargeHolcim Ltd.,LHN,1.12%
Man Group PLC,EMG,1.09%
"Gungho Online Entertainment, Inc.",3765,1.08%
Ebara Corporation,6361,1.07%
Kingboard Laminates Holdings Limited,1888,1.06%
Norbord Inc.,OSB,1.05%
Nine Dragons Paper Holdings Ltd.,2689,1.05%
ASR Nederland NV,ASRNL,1.04%
Whitecap Resources Inc.,WCP,1.03%
Mondi plc,MNDI,1.03%
"Mixi, Inc.",2121,1.02%
Tourmaline Oil Corp.,TOU,1.02%
Tate & Lyle PLC,TATE,1.0%
Aperam SA,APAM,1.0%
Swatch Group Ltd. Registered,UHRN,0.98%
NSK Ltd.,6471,0.98%
TORC Oil & Gas Ltd.,TOG,0.97%
Sampo Oyj Class A,SAMPO,0.97%
Ushio Inc.,6925,0.95%
"Nippon Carbon Co., Ltd.",5302,0.94%
Standard Life Aberdeen PLC,SLA,0.94%
WPP Plc,WPP,0.94%
Aviva plc,AV,0.93%
"AMADA Co., Ltd.",6113,0.9%
New World Development Co. Ltd.,17,0.9%
Crescent Point Energy Corp.,CPG,0.9%
"Nippon Light Metal Holdings Co., Ltd.",5703,0.89%
Legal & General Group Plc,LGEN,0.89%
"UBE Industries, Ltd.",4208,0.89%
Kingboard Holdings Limited,148,0.88%
Euronav NV,EURN,0.88%
"Concordia Financial Group, Ltd.",7186,0.86%
Koninklijke Ahold Delhaize N.V.,AD,0.84%
UPM-Kymmene Oyj,UPM,0.83%
Direct Line Insurance Group Plc,DLG,0.82%
TransAlta Corporation,TA,0.82%
Japan Tobacco Inc.,2914,0.82%
Canadian Natural Resources Limited,CNQ,0.81%
Eni S.p.A.,ENI,0.81%
Ferrexpo plc,FXPO,0.81%
Quilter Plc,QLT,0.8%
Bridgestone Corporation,5108,0.8%
Imperial Oil Limited,IMO,0.8%
Telia Company AB,TELIA,0.8%
DWS Group GmbH & Co. KGaA,DWS,0.79%
VTech Holdings Limited,303,0.78%
Yue Yuen Industrial (Holdings) Limited,551,0.78%
Berkeley Group Holdings plc,BKG,0.75%
Worley Limited,WOR,0.75%
Canadian Western Bank,CWB,0.74%
Yara International ASA,YAR,0.74%
UnipolSai Assicurazioni S.p.A.,US,0.74%
Cowell e Holdings Inc.,1415,0.74%
Venture Corporation Limited,V03,0.73%
Sun Life Financial Inc.,SLF,0.73%
Telenor ASA,TEL,0.7%
Royal Dutch Shell Plc Class A,RDSA,0.7%
Vodafone Group Plc,VOD,0.7%
United Internet AG,UTDI,0.7%
Repsol SA,REP,0.69%
Great-West Lifeco Inc.,GWO,0.68%
AGL Energy Limited,AGL,0.66%
Transcontinental Inc. Class A,TCL.A,0.65%
Alumina Limited,AWC,0.64%
"Kaken Pharmaceutical Co., Ltd.",4521,0.64%
China Resources Power Holdings Co. Ltd.,836,0.61%
China Resources Cement Holdings Limited,1313,0.59%
KURABO INDUSTRIES LTD.,3106,0.58%
"Shandong Chenming Paper Holdings Co., Ltd. Class H",1812,0.56%
Suncor Energy Inc.,SU,0.55%
TUI AG,TUI1,0.51%
Nikon Corp.,7731,0.46%
International Bank for Reconstruction & Development 1.305% 07-OCT-2025,Other,0.02%
Hong Kong & China Gas Co. Ltd.,3,0.0%
