GAL: SPDR SSgA Global Allocation ETF
Inception Date: 2012-04-25
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	259443
Shares Outstanding: 6080000
Expense Ratio: 0.35%
Tracks This Index: n/a
ETFdb.com Category: Diversified Portfolio
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GAL


Holding,Symbol,Weighting
SPDR S&P 500 ETF Trust,SPY,21.68%
SPDR Portfolio Developed World ex-US ETF,SPDW,18.22%
SPDR Portfolio Emerging Markets ETF,SPEM,7.12%
SPDR Bloomberg Barclays High Yield Bond ETF,JNK,7.01%
SPDR Portfolio Intermediate Term Corporate Bond ETF,SPIB,6.46%
MUTUAL FUND (OTHER),Other,5.27%
SPDR Portfolio TIPS ETF,SPIP,4.98%
Invesco DB Gold Fund,DGL,4.04%
SPDR Portfolio S&P 600 Small Cap ETF,SPSM,4.0%
SPDR Portfolio Long Term Corporate Bond ETF,SPLB,3.99%
SPDR S&P International Small Cap ETF,GWX,3.06%
Consumer Discretionary Select Sector SPDR Fund,XLY,2.03%
Consumer Staples Select Sector SPDR Fund,XLP,2.02%
SPDR S&P Midcap 400 ETF Trust,MDY,1.99%
Vanguard FTSE Pacific ETF,VPL,1.03%
SPDR Dow Jones International Real Estate ETF,RWX,1.02%
SPDR S&P Emerging Markets Small Cap ETF,EWX,1.02%
Communication Services Select Sector SPDR Fund,XLC,1.02%
SPDR Dow Jones REIT ETF,RWR,1.01%
Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,PDBC,1.01%
Materials Select Sector SPDR Fund,XLB,1.01%
SPDR Bloomberg Barclays Emerging Markets Local Bond ETF,EBND,1.0%
