GBIL: Goldman Sachs Treasury Access 0-1 Year ETF
Inception Date: 2016-09-06
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	2587360
Shares Outstanding: 25840000
Expense Ratio: 0.12%
Tracks This Index: Citi US Treasury 0 to 1 Year Composite Select Index
ETFdb.com Category: Government Bonds
Issuer: Goldman Sachs
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GBIL


Holding,Symbol,Weighting
United States Treasury Bills 0.0% 25-FEB-2021,Other,23.95%
United States Treasury Bills 0.0% 25-MAR-2021,Other,21.53%
United States Treasury Bills 0.0% 22-APR-2021,Other,15.27%
TREASURY ISSUES (SHORT-TERM),Other,10.01%
United States Treasury Bills 0.0% 17-JUN-2021,Other,7.52%
United States Treasury Bills 0.0% 15-JUL-2021,Other,4.75%
United States Treasury Bills 0.0% 12-AUG-2021,Other,3.75%
United States Treasury Notes 2.0% 31-OCT-2021,Other,3.74%
United States Treasury Notes 2.875% 15-NOV-2021,Other,3.49%
United States Treasury Notes 2.75% 15-SEP-2021,Other,3.48%
United States Treasury Bills 0.0% 07-OCT-2021,Other,1.25%
United States Treasury Bills 0.0% 02-DEC-2021,Other,1.25%
