GDXJ: VanEck Vectors Junior Gold Miners ETF
Inception Date: 2009-11-10
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	6314960
Shares Outstanding: 116387000
Expense Ratio: 0.54%
Tracks This Index: MVIS Global Junior Gold Miners Index
ETFdb.com Category: Materials
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GDXJ


Holding,Symbol,Weighting
Pan American Silver Corp.,PAAS,5.88%
Gold Fields Limited Sponsored ADR,GFI,5.09%
Northern Star Resources Ltd,NST,4.96%
Yamana Gold Inc.,AUY,4.36%
B2Gold Corp.,BTG,3.76%
Evolution Mining Limited,EVN,3.67%
SSR Mining Inc,SSRM,3.22%
Saracen Mineral Holdings Limited,SAR,2.67%
Alamos Gold Inc.,AGI,2.26%
Hecla Mining Company,HL,2.11%
First Majestic Silver Corp.,AG,2.03%
Endeavour Mining Corporation,EDV,1.98%
Industrias Penoles SAB de CV,PE&OLES,1.87%
Equinox Gold Corp.,EQX,1.85%
Compania de Minas Buenaventura SAA Sponsored ADR,BVN,1.84%
Eldorado Gold Corporation,EGO,1.77%
Greatland Gold plc,GGP,1.76%
Novagold Resources Inc,NG,1.72%
Harmony Gold Mining Co. Ltd. Sponsored ADR,HMY,1.68%
PT Merdeka Copper Gold Tbk,MDKA,1.64%
"Coeur Mining, Inc.",CDE,1.54%
Centerra Gold Inc.,CG,1.48%
Pretium Resources Inc.,PVG,1.47%
MAG Silver Corp.,MAG,1.31%
Fortuna Silver Mines Inc.,FSM,1.22%
Centamin plc,CEY,1.2%
IAMGOLD Corporation,IAG,1.19%
"SilverCrest Metals, Inc.",SILV,1.13%
Sandstorm Gold Ltd.,SAND,1.12%
Seabridge Gold Inc,SA,1.1%
Osisko Gold Royalties Ltd,OR,1.07%
New Gold Inc.,NGD,1.05%
Regis Resources Limited,RRL,1.05%
"K92 Mining, Inc.",KNT,0.98%
OceanaGold Corporation,OGC,0.98%
St. Barbara Ltd.,SBM,0.97%
"Zhaojin Mining Industry Co., Ltd. Class H",1818,0.95%
Silvercorp Metals Inc.,SVM,0.95%
Perseus Mining Limited,PRU,0.92%
Teranga Gold Corporation,TGZ,0.92%
Petropavlovsk PLC,POG,0.9%
Wesdome Gold Mines Ltd.,WDO,0.89%
Silver Lake Resources Limited,SLR,0.86%
Dundee Precious Metals Inc.,DPM,0.83%
Torex Gold Resources Inc.,TXG,0.76%
Ramelius Resources Limited,RMS,0.74%
Endeavour Silver Corp.,EXK,0.71%
Sabina Gold & Silver Corp.,SBB,0.69%
De Grey Mining Ltd,DEG,0.68%
Gold Road Resources Ltd,GOR,0.67%
Hochschild Mining plc,HOC,0.66%
Osisko Mining Inc,OSK,0.63%
Westgold Resources Ltd,WGX,0.62%
Orla Mining Ltd.,OLA,0.61%
Lundin Gold Inc.,LUG,0.6%
Koza Altin Isletmeleri A.S.,KOZAL,0.54%
West African Resources Ltd,WAF,0.54%
Great Bear Resources Ltd. Class A,GBR,0.52%
Pure Gold Mining Inc.,PGM,0.52%
Argonaut Gold Inc.,AR,0.51%
Bellevue Gold Limited,BGL,0.48%
New Pacific Metals Corp,NUAG,0.48%
Metalla Royalty & Streaming Ltd.,MTA,0.42%
Resolute Mining Limited,RSG,0.4%
Alexco Resource Corp.,AXU,0.37%
Roxgold Inc.,ROXG,0.31%
Wallbridge Mining Co. Ltd.,WM,0.31%
Premier Gold Mines Limited,PG,0.31%
Aurelia Metals Limited,AMI,0.31%
"Karora Resources, Inc.",KRR,0.3%
McEwen Mining Inc.,MUX,0.29%
GoldMining Inc.,GOLD,0.29%
DRDGold Ltd Sponsored ADR,DRD,0.28%
Americas Gold and Silver Corp.,USAS,0.27%
Great Panther Mining Limited,GPL,0.27%
Gran Colombia Gold Corp.,GCM,0.27%
Alkane Resources Ltd,ALK,0.27%
Red 5 Limited,RED,0.25%
"Gatos Silver, Inc.",GATO,0.24%
Novo Resources Corp.,NVO,0.23%
Victoria Gold Corp.,VGCX,0.22%
Golden Star Resources Ltd.,GSS,0.19%
U.S. Dollar,Other,0.17%
New Found Gold Corp,NFG,0.17%
Gold Resource Corporation,GORO,0.17%
Dacian Gold Ltd.,DCN,0.14%
Gold Standard Ventures Corp.,GSV,0.14%
Freegold Ventures Limited,FVL,0.13%
DRDGOLD Limited,DRD,0.1%
DERIVATIVE SECURITIES (OTHER),Other,0.02%
Fortitude Gold Corp.,Other,0.02%
EQUITY OTHER,Other,0.0%
Australian Strategic Materials Ltd,Other,0.0%
Sulliden Mining Capital Inc,SMC,0.0%
