GII: SPDR S&P Global Infrastructure ETF
Inception Date: 2007-01-31
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	368100
Shares Outstanding: 7350000
Expense Ratio: 0.4%
Tracks This Index: Macquarie Global Infrastructure 100 Index
ETFdb.com Category: Large Cap Value Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GII


Holding,Symbol,Weighting
Aena SME SA,AENA,5.3%
"NextEra Energy, Inc.",NEE,4.82%
Transurban Group Ltd.,TCL,4.59%
Enbridge Inc.,ENB,4.41%
Atlantia S.p.A,ATL,3.76%
Iberdrola SA,IBE,3.28%
TC Energy Corporation,TRP,3.21%
Getlink SE,GET,3.12%
Enel SpA,ENEL,3.1%
Auckland International Airport Limited,AIA,2.73%
Sydney Airport,SYD,2.71%
Duke Energy Corporation,DUK,2.67%
Southern Company,SO,2.57%
Dominion Energy Inc,D,2.5%
Kinder Morgan Inc Class P,KMI,2.23%
"Williams Companies, Inc.",WMB,2.04%
Atlas Arteria,ALX,1.99%
Grupo Aeroportuario del Pacifico SAB de CV Sponsored ADR Class B,PAC,1.82%
Qube Holdings Ltd.,QUB,1.79%
National Grid plc,NG,1.76%
"American Electric Power Company, Inc.",AEP,1.64%
Exelon Corporation,EXC,1.63%
Signature Aviation Plc,SIG,1.6%
Sempra Energy,SRE,1.46%
Orsted,ORSTED,1.45%
Aeroports de Paris SA,ADP,1.44%
"ONEOK, Inc.",OKE,1.43%
Xcel Energy Inc.,XEL,1.39%
Flughafen Zurich AG,FHZN,1.39%
Grupo Aeroportuario del Sureste SA de CV Sponsored ADR Class B,ASR,1.36%
Public Service Enterprise Group Inc,PEG,1.17%
Eversource Energy,ES,1.17%
"Cheniere Energy, Inc.",LNG,1.16%
WEC Energy Group Inc,WEC,1.15%
Macquarie Infrastructure Corporation,MIC,1.14%
RWE AG,RWE,1.13%
"American Water Works Company, Inc.",AWK,1.1%
Pembina Pipeline Corporation,PPL,1.09%
ENGIE SA.,ENGI,1.08%
E.ON SE,EOAN,0.99%
"Consolidated Edison, Inc.",ED,0.96%
Grupo Aeroportuario del Centro Norte SAB de CV Sponsored ADR Class B,OMAB,0.92%
Fraport AG,FRA,0.92%
Shenzhen International Holdings Limited,152,0.75%
"China Merchants Port Holdings Co., Ltd.",144,0.68%
"Beijing Capital International Airport Co., Ltd. Class H",694,0.65%
ASTM S.p.A.,AT,0.65%
Jiangsu Expressway Co. Ltd. Class H,177,0.57%
Targa Resources Corp.,TRGP,0.52%
COSCO SHIPPING Ports Limited,1199,0.5%
Zhejiang Expressway Co. Ltd. Class H,576,0.5%
ENAV S.p.A.,ENAV,0.46%
Hutchison Port Holdings Trust,NS8U,0.41%
Inter Pipeline Ltd.,IPL,0.34%
Keyera Corp.,KEY,0.33%
China Gas Holdings Limited,384,0.32%
Ultrapar Participacoes S.A. Sponsored ADR,UGP,0.3%
Hainan Meilan International Airport Company Limited Class H,357,0.3%
Royal Vopak NV,VPK,0.29%
Equitrans Midstream Corp.,ETRN,0.27%
"Shenzhen Expressway Co., Ltd. Class H",548,0.27%
Yuexiu Transport Infrastructure Limited,1052,0.26%
State Street Institutional Liquid Reserves Fund,SSIXX,0.22%
Westshore Terminals Investment Corporation,WTE,0.21%
Guangdong Investment Limited,270,0.21%
Gibson Energy Inc.,GEI,0.2%
China Resources Gas Group Limited,1193,0.19%
Enel Americas S.A. Sponsored ADR,ENIA,0.18%
Gaztransport & Technigaz SA,GTT,0.18%
Hamburger Hafen und Logistik AG,HHFA,0.18%
Enbridge Inc.,ENB,0.17%
KunLun Energy Co. Ltd.,135,0.14%
U.S. Dollar,Other,0.13%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP Sponsored ADR,SBS,0.12%
Centrais Eletricas Brasileiras SA-Eletrobras Sponsored ADR,EBR,0.1%
"CGN Power Co., Ltd. Class H",1816,0.09%
China Resources Power Holdings Co. Ltd.,836,0.08%
Beijing Enterprises Water Group Limited,371,0.08%
