GNR: SPDR S&P Global Natural Resources ETF
Inception Date: 2010-09-13
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1273350
Shares Outstanding: 28350000
Expense Ratio: 0.4%
Tracks This Index: S&P Global Natural Resources Index
ETFdb.com Category: Commodity Producers Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GNR


Holding,Symbol,Weighting
BHP Group Ltd,BHP,4.98%
Exxon Mobil Corporation,XOM,3.93%
Total SE,FP,3.9%
Chevron Corporation,CVX,3.67%
Nutrien Ltd.,NTR,3.45%
UPM-Kymmene Oyj,UPM,2.85%
Vale S.A. Sponsored ADR,VALE,2.74%
Royal Dutch Shell Plc Class A,RDSA,2.6%
BP p.l.c.,BP,2.52%
Anglo American plc,AAL,2.34%
"Freeport-McMoRan, Inc.",FCX,1.95%
Reliance Industries Limited Sponsored GDR 144A,RIGD,1.85%
Glencore plc,GLEN,1.8%
Rio Tinto Limited,RIO,1.69%
Stora Enso Oyj Class R,STERV,1.69%
Corteva Inc,CTVA,1.67%
Mondi plc,MNDI,1.64%
Archer-Daniels-Midland Company,ADM,1.61%
Smurfit Kappa Group Plc,SK3,1.58%
Fortescue Metals Group Ltd,FMG,1.55%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,1.5%
Weyerhaeuser Company,WY,1.44%
Wilmar International Limited,F34,1.44%
Newmont Corporation,NGT,1.27%
Barrick Gold Corporation,GOLD,1.25%
Franco-Nevada Corporation,FNV,1.24%
Newmont Corporation,NEM,1.22%
International Paper Company,IP,1.13%
Neste Corporation,NESTE,1.12%
POSCO Sponsored ADR,PKX,1.04%
Yara International ASA,YAR,1.03%
Canadian Natural Resources Limited,CNQ,1.02%
DS Smith Plc,SMDS,1.01%
Wheaton Precious Metals Corp,WPM,0.97%
ConocoPhillips,COP,0.97%
SIG Combibloc Group Ltd,SIGN,0.96%
Eni S.p.A.,ENI,0.95%
Suncor Energy Inc.,SU,0.92%
MMC Norilsk Nickel PJSC ADR,MNOD,0.9%
Agnico Eagle Mines Limited,AEM,0.88%
FMC Corporation,FMC,0.86%
Sociedad Quimica Y Minera De Chile S.A. Sponsored ADR Pfd Class B,SQM,0.85%
Barrick Gold Corporation,ABX,0.84%
Newcrest Mining Limited,NCM,0.84%
Oji Holdings Corp.,3861,0.83%
ArcelorMittal SA,MT,0.83%
Nucor Corporation,NUE,0.83%
Packaging Corporation of America,PKG,0.75%
Avery Dennison Corporation,AVY,0.75%
Gazprom PJSC Sponsored ADR,OGZD,0.71%
Schlumberger NV,SLB,0.69%
Phillips 66,PSX,0.69%
Amcor PLC,AMCR,0.68%
"EOG Resources, Inc.",EOG,0.66%
WestRock Company,WRK,0.65%
Equinor ASA,EQNR,0.65%
"Sumitomo Metal Mining Co., Ltd.",5713,0.63%
NIPPON STEEL CORP.,5401,0.63%
Marathon Petroleum Corporation,MPC,0.61%
Woodside Petroleum Ltd,WPL,0.6%
Kirkland Lake Gold Ltd.,KL,0.59%
Bunge Limited,BG,0.53%
Repsol SA,REP,0.52%
Valero Energy Corporation,VLO,0.52%
Oil company LUKOIL PJSC Sponsored ADR,LKOD,0.51%
ICL Group Ltd.,ICL,0.5%
Nutrien Ltd.,NTR,0.5%
South32 Ltd.,S32,0.48%
"CF Industries Holdings, Inc.",CF,0.47%
Kinross Gold Corporation,K,0.47%
Scotts Miracle-Gro Company Class A,SMG,0.46%
AngloGold Ashanti Limited Sponsored ADR,AU,0.45%
Mosaic Company,MOS,0.45%
Petroleo Brasileiro SA Sponsored ADR,PBR,0.44%
Pioneer Natural Resources Company,PXD,0.42%
Sealed Air Corporation,SEE,0.41%
Amcor PLC Shs Chess Depository Interests Repr 1 Sh,AMC,0.4%
Gold Fields Limited Sponsored ADR,GFI,0.39%
Halliburton Company,HAL,0.37%
Antofagasta plc,ANTO,0.35%
Nine Dragons Paper Holdings Ltd.,2689,0.34%
NOVATEK JSC Sponsored GDR RegS,NVTK,0.33%
Occidental Petroleum Corporation,OXY,0.33%
CNOOC Limited,883,0.31%
Ingredion Incorporated,INGR,0.3%
Polymetal International Plc,POLY,0.3%
Polyus PJSC Sponsored GDR Class S,PLZL,0.29%
Rosneft Oil Co. Sponsored GDR RegS,ROSN,0.26%
Southern Copper Corporation,SCCO,0.26%
"Korea Zinc Co., Ltd.",010130,0.24%
Rayonier Inc.,RYN,0.23%
TATNEFT PJSC Sponsored ADR,ATAD,0.22%
U.S. Dollar,Other,0.19%
Fresnillo PLC,FRES,0.15%
State Street Institutional Liquid Reserves Fund,SSIXX,0.12%
Ecopetrol SA Sponsored ADR,EC,0.07%
Repsol S.A. Rights 2020-08.01.21 For Shs,REP.D,0.02%
TATNEFT PJSC Sponsored ADR,OAOFY,0.0%
