GOAU: US Global GO GOLD and Precious Metal Miners ETF
Inception Date: 2017-06-28
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	108128
Shares Outstanding: 5450000
Expense Ratio: 0.6%
Tracks This Index: U.S. Global GO GOLD and Precious Metal Miners Index
ETFdb.com Category: Materials
Issuer: U.S. Global Investors
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GOAU


Holding,Symbol,Weighting
Wheaton Precious Metals Corp,WPM,9.85%
"Royal Gold, Inc.",RGLD,9.42%
Franco-Nevada Corporation,FNV,9.16%
Osisko Gold Royalties Ltd,OR,4.36%
Centerra Gold Inc.,CG,4.31%
Eldorado Gold Corporation,ELD,4.05%
Torex Gold Resources Inc.,TXG,3.76%
Sandstorm Gold Ltd.,SSL,3.75%
Metalla Royalty & Streaming Ltd.,MTA,3.74%
Jaguar Mining Inc.,JAG,3.3%
Sibanye Stillwater Limited Sponsored ADR,SBSW,3.21%
Argonaut Gold Inc.,AR,3.18%
New Gold Inc.,NGD,3.1%
Great Panther Mining Limited,GPR,3.04%
IAMGOLD Corporation,IMG,3.03%
B2Gold Corp.,BTO,2.91%
Alamos Gold Inc.,AGI,2.84%
China Gold International Resources Corp. Ltd.,CGG,2.25%
Perseus Mining Limited,PRU,2.25%
Impala Platinum Holdings Limited,IMP,2.18%
African Rainbow Minerals Limited,ARI,2.1%
Westgold Resources Ltd,WGX,2.06%
Regis Resources Limited,RRL,2.03%
Centamin plc,CEY,2.01%
Royal Bafokeng Platinum Limited,RBP,1.97%
Silver Lake Resources Limited,SLR,1.96%
Ramelius Resources Limited,RMS,1.92%
St. Barbara Ltd.,SBM,1.89%
Fidelity Institutional Cash Portfolios Fund Money Market Government Fund I,FIGXX,0.38%
U.S. Dollar,Other,-0.03%
