GSEU: Goldman Sachs ActiveBeta Europe Equity ETF
Inception Date: 2016-03-02
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	18243
Shares Outstanding: 550000
Expense Ratio: 0.25%
Tracks This Index: Goldman Sachs ActiveBeta Europe Equity Index
ETFdb.com Category: Europe Equities
Issuer: Goldman Sachs
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GSEU


Holding,Symbol,Weighting
Nestle S.A.,NESN,3.1%
Roche Holding Ltd,ROG,2.42%
Novartis AG,NOVN,1.73%
ASML Holding NV,ASML,1.55%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.5%
Novo Nordisk A/S Class B,NOVO.B,1.24%
Unilever PLC,ULVR,1.18%
L\'Oreal SA,OR,1.11%
SAP SE,SAP,1.05%
AstraZeneca PLC,AZN,1.04%
Sanofi,SAN,0.98%
adidas AG,ADS,0.92%
GlaxoSmithKline plc,GSK,0.83%
ArcelorMittal SA,MT,0.81%
Total SE,FP,0.76%
Ferguson Plc,FERG,0.75%
Deutsche Post AG,DPW,0.75%
Koninklijke Ahold Delhaize N.V.,AD,0.75%
Admiral Group plc,ADM,0.74%
Siemens AG,SIE,0.71%
Iberdrola SA,IBE,0.7%
Kuehne & Nagel International AG,KNIN,0.69%
Zalando SE,ZAL,0.67%
Diageo plc,DGE,0.67%
HelloFresh SE,HFG,0.66%
Enel SpA,ENEL,0.63%
Partners Group Holding AG,PGHN,0.63%
Schneider Electric SE,SU,0.63%
Hermes International SCA,RMS,0.62%
Koninklijke Philips N.V.,PHIA,0.61%
British American Tobacco p.l.c.,BATS,0.6%
Evolution Gaming Group AB,EVO,0.6%
Allianz SE,ALV,0.58%
Atos SE,ATO,0.56%
PUMA SE,PUM,0.56%
J Sainsbury plc,SBRY,0.55%
"Industria de Diseno Textil, S.A.",ITX,0.54%
Auto Trader Group PLC,AUTO,0.54%
Rio Tinto plc,RIO,0.54%
SGS SA,SGSN,0.53%
Actividades de Construccion y Servicios SA,ACS,0.53%
Swedish Match AB,SWMA,0.52%
BNP Paribas SA Class A,BNP,0.51%
La Francaise des Jeux SA,FDJ,0.5%
Air Liquide SA,AI,0.5%
Uniper SE,UN01,0.48%
Bayer AG,BAYN,0.48%
Moncler SpA,MONC,0.48%
Orion Oyj Class B,ORNBV,0.46%
Glencore plc,GLEN,0.46%
Burberry Group plc,BRBY,0.46%
JD Sports Fashion Plc,JD,0.45%
Ipsen SA,IPN,0.45%
HeidelbergCement AG,HEI,0.44%
voestalpine AG,VOE,0.44%
Danone SA,BN,0.42%
STMicroelectronics NV,STM,0.41%
Daimler AG,DAI,0.41%
Randstad NV,RAND,0.41%
Hargreaves Lansdown plc,HL,0.4%
Bollore SA,BOL,0.4%
Logitech International S.A.,LOGN,0.4%
Sartorius Stedim Biotech SA,DIM,0.39%
Fresenius SE & Co. KGaA,FRE,0.38%
Straumann Holding AG,STMN,0.38%
London Stock Exchange Group plc,LSE,0.38%
Orsted,ORSTED,0.38%
Kering SA,KER,0.38%
A.P. Moller - Maersk A/S Class B,MAERSK.B,0.38%
Reckitt Benckiser Group plc,RB,0.38%
Deutsche Telekom AG,DTE,0.37%
Merck KGaA,MRK,0.37%
Compagnie de Saint-Gobain SA,SGO,0.37%
Wolters Kluwer NV,WKL,0.37%
Coloplast A/S Class B,COLO.B,0.36%
Aviva plc,AV,0.36%
RWE AG,RWE,0.36%
Capgemini SE,CAP,0.35%
Royal Dutch Shell Plc Class A,RDSA,0.35%
M&G Plc,MNG,0.34%
Kinnevik AB Class B,KINV.B,0.34%
HSBC Holdings Plc,HSBA,0.34%
RELX PLC,REL,0.34%
A.P. Moller - Maersk A/S Class A,MAERSK.A,0.34%
VINCI SA,DG,0.34%
SUEZ SA,SEV,0.34%
Carrefour SA,CA,0.34%
Credit Suisse Group AG,CSGN,0.33%
Vodafone Group Plc,VOD,0.33%
H&M Hennes & Mauritz AB Class B,HM.B,0.33%
Ferrari NV,RACE,0.33%
EssilorLuxottica SA,EL,0.33%
Givaudan SA,GIVN,0.33%
Lonza Group AG,LONN,0.32%
Zurich Insurance Group Ltd,ZURN,0.32%
Beiersdorf AG,BEI,0.32%
Publicis Groupe SA,PUB,0.32%
OMV AG,OMV,0.32%
Adyen NV,ADYEN,0.31%
Schibsted ASA Class B,SCHB,0.31%
Pernod Ricard SA,RI,0.31%
Skanska AB Class B,SKA.B,0.31%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.31%
Deutsche Boerse AG,DB1,0.31%
BASF SE,BAS,0.31%
"Jeronimo Martins, SGPS S.A.",JMT,0.31%
Sage Group plc,SGE,0.3%
Johnson Matthey Plc,JMAT,0.3%
Etablissementen Franz Colruyt N.V.,COLR,0.3%
Aegon NV,AGN,0.3%
Eiffage SA,FGR,0.3%
Volkswagen AG Pref,VOW3,0.29%
Worldline SA,WLN,0.29%
Bouygues SA,EN,0.29%
ABB Ltd.,ABBN,0.29%
DiaSorin S.p.A.,DIA,0.29%
Investor AB Class B,INVE.B,0.29%
Norsk Hydro ASA,NHY,0.29%
Knorr-Bremse AG,KBX,0.29%
EDP-Energias de Portugal SA,EDP,0.29%
Experian PLC,EXPN,0.29%
Pandora A/S,PNDORA,0.28%
Prosus N.V. Class N,PRX,0.28%
Brenntag AG,BNR,0.28%
Chocoladefabriken Lindt & Spruengli AG Partizipsch.,LISP,0.27%
Next plc,NXT,0.27%
Sika AG,SIKA,0.27%
Nemetschek SE,NEM,0.27%
Credit Agricole SA,ACA,0.27%
Royal Dutch Shell Plc Class B,RDSB,0.27%
RATIONAL AG,RAA,0.27%
Telecom Italia Rsp,TITR,0.26%
Fresenius Medical Care AG & Co. KGaA,FME,0.26%
BHP Group Plc,BHP,0.26%
Legrand SA,LR,0.26%
Vestas Wind Systems A/S,VWS,0.25%
National Grid plc,NG,0.25%
Compagnie Financiere Richemont SA,CFR,0.25%
bioMerieux SA,BIM,0.25%
Tesco PLC,TSCO,0.25%
Kingfisher Plc,KGF,0.24%
Atlas Copco AB Class A,ATCO.A,0.24%
Anheuser-Busch InBev SA/NV,ABI,0.24%
Vonovia SE,VNA,0.24%
Teleperformance SE,TEP,0.23%
UCB S.A.,UCB,0.23%
Infineon Technologies AG,IFX,0.23%
Sonova Holding AG,SOON,0.23%
Koninklijke DSM N.V.,DSM,0.23%
Telecom Italia S.p.A.,TIT,0.23%
Volkswagen AG,VOW,0.23%
Kone Oyj Class B,KNEBV,0.23%
Fuchs Petrolub SE Pref,FPE3,0.22%
CNP Assurances SA,CNP,0.22%
Siemens Energy AG,ENR,0.22%
CRH Plc,CRG,0.22%
BP p.l.c.,BP,0.22%
Tenaris S.A.,TEN,0.22%
LafargeHolcim Ltd.,LHN,0.22%
SEGRO plc,SGRO,0.21%
UBS Group AG,UBSG,0.21%
Ocado Group PLC,OCDO,0.21%
Genmab A/S,GMAB,0.21%
ENGIE SA.,ENGI,0.21%
DSV Panalpina A/S,DSV,0.21%
Raiffeisen Bank International AG,RBI,0.21%
St. James\'s Place Plc,STJ,0.21%
Dassault Systemes SA,DSY,0.21%
Halma plc,HLMA,0.21%
Carlsberg A/S Class B,CARL.B,0.21%
Smith & Nephew plc,SN,0.2%
Anglo American plc,AAL,0.2%
Hexagon AB Class B,HEXA.B,0.2%
Sandvik AB,SAND,0.2%
Cellnex Telecom S.A.,CLNX,0.2%
Imperial Brands PLC,IMB,0.2%
Berkeley Group Holdings plc,BKG,0.19%
Croda International Plc,CRDA,0.19%
E.ON SE,EOAN,0.19%
SEB SA,SK,0.19%
Ubisoft Entertainment SA,UBI,0.19%
ING Groep NV,INGA,0.19%
Deutsche Wohnen SE,DWNI,0.19%
Coca-Cola European Partners Plc,CCEP,0.19%
Recordati Industria Chimica e Farmaceutica S.p.A.,REC,0.19%
"Alcon, Inc.",ALC,0.19%
NN Group N.V.,NN,0.19%
ageas SA/NV,AGS,0.18%
Evraz PLC,EVR,0.18%
Kerry Group Plc Class A,KRZ,0.18%
Symrise AG,SY1,0.18%
Akzo Nobel N.V.,AKZA,0.18%
Safran S.A.,SAF,0.18%
Intesa Sanpaolo S.p.A.,ISP,0.18%
Delivery Hero SE,DHER,0.18%
Geberit AG,GEBN,0.18%
Adecco Group AG,ADEN,0.18%
Flutter Entertainment Plc,FLTR,0.18%
Sartorius AG Pref,SRT3,0.17%
Heineken NV,HEIA,0.17%
Vivendi SE,VIV,0.17%
ASSA ABLOY AB Class B,ASSA.B,0.17%
Snam S.p.A.,SRG,0.17%
EMS-CHEMIE HOLDING AG,EMSN,0.17%
SSE plc,SSE,0.17%
Standard Chartered PLC,STAN,0.16%
Terna S.p.A.,TRN,0.16%
Spirax-Sarco Engineering PLC,SPX,0.16%
WPP Plc,WPP,0.16%
Danske Bank A/S,DANSKE,0.16%
Neste Corporation,NESTE,0.16%
Scout24 AG,G24,0.16%
Veolia Environnement SA,VIE,0.15%
Bunzl plc,BNZL,0.15%
Gjensidige Forsikring ASA,GJF,0.15%
BAE Systems plc,BA,0.15%
Carl Zeiss Meditec AG,AFX,0.15%
Edenred SA,EDEN,0.15%
Atlas Copco AB Class B,ATCO.B,0.15%
Endesa S.A.,ELE,0.15%
Barry Callebaut AG,BARN,0.14%
Amadeus IT Group SA Class A,AMS,0.14%
Poste Italiane SpA,PST,0.14%
Kesko Oyj Class B,KESKOB,0.14%
"Siemens Gamesa Renewable Energy, S.A.",SGRE,0.14%
FinecoBank SpA,FBK,0.14%
QIAGEN NV,QIA,0.14%
Nokia Oyj,NOKIA,0.14%
Volvo AB Class B,VOLV.B,0.14%
Barclays PLC,BARC,0.14%
Legal & General Group Plc,LGEN,0.14%
Swatch Group Ltd. Bearer,UHR,0.13%
Sofina SA,SOF,0.13%
Banque Cantonale Vaudoise,BCVN,0.13%
Coca-Cola HBC AG,CCH,0.13%
Smurfit Kappa Group Plc,SK3,0.13%
Rentokil Initial plc,RTO,0.13%
Heineken Holding N.V.,HEIO,0.13%
Ashtead Group plc,AHT,0.13%
Elisa Oyj Class A,ELISA,0.13%
Alstom SA,ALO,0.13%
Associated British Foods plc,ABF,0.13%
AVEVA Group plc,AVV,0.13%
Swisscom AG,SCMN,0.13%
Henkel AG & Co. KGaA Pref,HEN3,0.12%
Fresnillo PLC,FRES,0.12%
Orkla ASA,ORK,0.12%
Essity AB Class B,ESSITY.B,0.12%
Kingspan Group Plc,KRX,0.12%
NIBE Industrier AB Class B,NIBE.B,0.12%
Severn Trent Plc,SVT,0.12%
Husqvarna AB Class B,HUSQ.B,0.12%
Iliad,ILD,0.12%
"Ferrovial, S.A.",FER,0.12%
Prudential plc,PRU,0.12%
Hikma Pharmaceuticals Plc,HIK,0.12%
Schindler Holding AG Pref,SCHP,0.11%
AXA SA,CS,0.11%
Novozymes A/S Class B,NZYM.B,0.11%
L E Lundbergforetagen AB Class B,LUND.B,0.11%
Prysmian S.p.A.,PRY,0.11%
Wm Morrison Supermarkets plc,MRW,0.11%
Latour AB Investment Class B,LATO.B,0.11%
Entain PLC,ENT,0.11%
Assicurazioni Generali S.p.A.,G,0.11%
arGEN-X SE,ARGX,0.1%
Swiss Prime Site AG,SPSN,0.1%
Royal Vopak NV,VPK,0.1%
LEG Immobilien AG,LEG,0.1%
Schibsted Asa Class A,SCHA,0.1%
Telenor ASA,TEL,0.1%
United Utilities Group PLC,UU,0.1%
Orange SA,ORA,0.1%
"Naturgy Energy Group, S.A.",NTGY,0.1%
CNH Industrial NV,CNHI,0.1%
Swatch Group Ltd. Registered,UHRN,0.1%
Compagnie Generale des Etablissements Michelin SCA,ML,0.1%
Davide Campari-Milano N.V.,CPR,0.1%
Enagas SA,ENG,0.1%
VERBUND AG Class A,VER,0.1%
UPM-Kymmene Oyj,UPM,0.1%
"Grifols, S.A. Class A",GRF,0.1%
Arkema SA,AKE,0.1%
Siemens Healthineers AG,SHL,0.09%
Nordea Bank Abp,NDA.SE,0.09%
Eurofins Scientific Societe Europeenne,ERF,0.09%
Telefonica SA,TEF,0.09%
Infrastrutture Wireless Italiane S.p.A.,INW,0.09%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,0.09%
Industrivarden AB Class C,INDU.C,0.09%
DCC Plc,DCC,0.09%
Remy Cointreau SA,RCO,0.09%
Skandinaviska Enskilda Banken AB Class A,SEB.A,0.09%
Fortum Oyj,FORTUM,0.09%
Securitas AB Class B,SECU.B,0.09%
Bayerische Motoren Werke AG,BMW,0.09%
Deutsche Bank AG,DBK,0.09%
United Internet AG,UTDI,0.09%
Electricite de France SA,EDF,0.09%
EQT AB,EQT,0.09%
Mondi plc,MNDI,0.09%
KION GROUP AG,KGX,0.09%
Bechtle AG,BC8,0.08%
Elia Group SA/NV,ELI,0.08%
Direct Line Insurance Group Plc,DLG,0.08%
Schindler Holding AG,SCHN,0.08%
GN Store Nord A/S,GN,0.08%
Groupe Bruxelles Lambert SA,GBLB,0.08%
Nexi S.p.A.,NEXI,0.08%
Covestro AG,1COV,0.08%
Royal KPN NV,KPN,0.08%
Peugeot SA,UG,0.08%
Red Electrica Corp. SA,REE,0.08%
Henkel AG & Co. KGaA,HEN,0.08%
Hochtief AG,HOT,0.08%
Bureau Veritas SA,BVI,0.08%
Baloise-Holding AG,BALN,0.08%
Intertek Group plc,ITRK,0.08%
Munich Reinsurance Company,MUV2,0.08%
Telia Company AB,TELIA,0.08%
Schroders PLC,SDR,0.08%
Adevinta ASA,ADE,0.08%
BT Group plc,BT.A,0.07%
Swedbank AB Class A,SWED.A,0.07%
